;2010;2011;2012;2013;2014;2015;2016;2017
Téléphone mobile;1.12;0.73;0.53;0.41;0.32;0.27;0.23;0.23
Prépayé;1.31;0.8;0.56;0.4;0.3;0.26;0.23;0.22
Post payé;0.83;0.61;0.47;0.44;0.36;0.29;0.23;0.24
