Date,y,ajuste
2019-04-01,0.9167239799280154,0.9134456766197563
2019-07-01,0.41581148976615623,0.43475236640814646
2019-10-01,0.3150698249490098,0.24559559887132654
2020-01-01,-1.683352602557381,-1.7009680301304475
2020-04-01,0.7606772126855965,0.7974172071240945
2020-07-01,0.45719986074941943,0.4652357879765755
2020-10-01,0.3747550758678706,0.41890172152285815
2021-01-01,-1.550923548990852,-1.6133887806138667
2021-04-01,0.911596012144841,0.7829441650207598
2021-07-01,0.4611519291326722,0.3649793557886619
2021-10-01,0.35798696093883464,0.38873158094958227
2022-01-01,-1.5154336874747223,-1.5158127661982144
2022-04-01,0.9720502408970759,0.9724370713880158
2022-07-01,0.4396464092898391,0.4707349273384065
2022-10-01,0.3165218853542662,0.2821317420426123
2023-01-01,-1.7351620028098438,-1.656074251971238
2023-04-01,0.9378801512842223,0.96531151078377
2023-07-01,0.42703485622167037,0.4358696275061706
2023-10-01,0.3282852707677151,0.32291033755743753
2024-01-01,-1.6533233465738846,-1.6945620754271395
2024-04-01,0.9345062536411177,0.9210672386043895
2024-07-01,0.4370803662818439,0.4534803934521449
2024-10-01,0.33511329055667005,0.3479475668986756
2025-01-01,-1.7171885095986248,-1.6742705295039169
2025-04-01,0.9708768405637471,0.9675991450972424
2025-07-01,0.44767213983077525,0.4524868590903742
2025-10-01,0.32714780989719827,0.35351282519682925
2026-01-01,-1.7290348344849065,-1.713864711615556
2026-04-01,0.9035165702824095,0.9753343387633
