Date,facteur
2010-04-01,3.7810531084277574
2010-07-01,0.7185351267380845
2010-10-01,-1.6613847296871112
2011-01-01,3.742966437735747
2011-04-01,1.009120534026288
2011-07-01,0.1460841024271317
2011-10-01,0.017690622977952396
2012-01-01,0.9449983559337057
2012-04-01,-0.0032178119867843358
2012-07-01,1.1108742417836504
2012-10-01,-1.8632802308708019
2013-01-01,0.2738910410690858
2013-04-01,-1.7841765612606137
2013-07-01,-0.5000981859734203
2013-10-01,-2.250938142686707
2014-01-01,1.9560132830688233
2014-04-01,3.7128531351091856
2014-07-01,-1.6901732097770934
2014-10-01,1.530800033789755
2015-01-01,-0.7764582917155736
2015-04-01,0.7530051813910623
2015-07-01,-0.3806135936767933
2015-10-01,-1.2169497787404064
2016-01-01,0.0760940735665152
2016-04-01,-0.7573823166134172
2016-07-01,-1.6547018212715288
2016-10-01,0.4819784054322141
2017-01-01,-1.4059720853266904
2017-04-01,1.3058338440593427
2017-07-01,-1.364620366829302
2017-10-01,-4.7096910843504904
2018-01-01,0.38612474529334484
2018-04-01,1.1517438371649802
2018-07-01,-0.14384491019500453
2018-10-01,-1.148168118443885
2019-01-01,-2.9815162109864164
2019-04-01,1.7567813125368579
2019-07-01,-0.3083020132887687
2019-10-01,0.5531459352323468
2020-01-01,-2.3686639197811843
2020-04-01,1.771864533323684
2020-07-01,-1.9825849100820958
2020-10-01,-1.526569153577125
2021-01-01,-1.7428413638051556
2021-04-01,1.4843927912643609
2021-07-01,1.0119847689237529
2021-10-01,0.5375399357436312
2022-01-01,-1.3763136261943067
2022-04-01,2.798356602573139
2022-07-01,1.527645317178061
2022-10-01,0.7356339256709787
2023-01-01,-3.3251495974312024
2023-04-01,1.909322568670919
2023-07-01,0.5275522285529322
2023-10-01,1.753074449979931
2024-01-01,-2.296314111502747
2024-04-01,0.49314825044275695
2024-07-01,1.0779045357781858
2024-10-01,0.9680090907824291
2025-01-01,-1.6769491732148318
2025-04-01,0.4868768289154486
2025-07-01,0.0892722267343825
2025-10-01,0.9534068016777727
2026-01-01,-2.07309515467879
2026-04-01,1.434398259972053
