Estimate,Std. Error,t value,Pr(>|t|),variable
-0.015497172738147099,0.011826263178789558,-1.310403168258705,0.20034371972529033,(Intercept)
-0.8976470551118896,0.1307192924839221,-6.866982203275742,1.5238411061957194e-7,y_lag1
-0.7906556395811379,0.14842913813203873,-5.326822277158216,1.022879421247412e-5,y_lag2
-0.70768010509114,0.12955663252899496,-5.462322470698365,7.023399980726777e-6,y_lag3
0.03800647551700632,0.0061102686678109865,6.220098915981414,8.723593177538248e-7,f_lag0
0.03589259656802315,0.007971129421935844,4.5028244641530835,1.0074542970920871e-4,f_lag1
0.04199321210320096,0.008029936600665503,5.229582024311457,1.340056029819733e-5,f_lag2
0.03304176417622573,0.008108442981778513,4.074982613860389,3.2624455775471015e-4,f_lag3
