Date,y,ajuste
2015-07-01,-0.078,0.012140021469504962
2016-07-01,0.183,0.017245839673866448
2017-10-01,-0.086,-0.012209960760129292
2018-01-01,-0.033,0.012311504685559038
2018-04-01,0.042,0.013592830989938139
2018-07-01,0.008,0.0509378716534082
2018-10-01,0.091,0.022249652233682873
2019-01-01,-0.134,0.050166203313277216
2019-04-01,-0.03,0.001398744367524657
2019-07-01,0.037000000000000005,0.019649955672018014
2020-01-01,-0.32899999999999996,0.016966646319088636
2020-04-01,-0.382,-0.014873380037805323
2020-07-01,0.9620000000000001,0.009443004136799743
2020-10-01,0.397,0.04270670420566132
2021-04-01,0.22,0.012377015163380776
2021-07-01,-0.451,-0.0040895125627949565
2021-10-01,0.43200000000000005,-0.03274665522354692
2022-01-01,-0.098,-0.015503029966977753
2022-04-01,0.081,-0.10802483135321846
2022-07-01,0.113,-0.058511105697492904
2022-10-01,-0.055,-0.034934458664898485
2023-01-01,-0.17300000000000001,-0.055921394482113085
2023-04-01,-0.10300000000000001,-0.03890284483472946
2023-10-01,-0.013999999999999999,-0.008563078798884533
2024-01-01,-0.14300000000000002,0.02197292872092154
2024-04-01,-0.067,-0.023152829763302806
2024-07-01,-0.304,-0.008929267171878818
2024-10-01,0.42700000000000005,0.026064480288375186
2025-01-01,-0.293,-0.0123037590124103
2025-04-01,-0.151,0.05050258437406954
2025-07-01,0.157,0.004851555721025566
2025-10-01,0.15,0.04746999025203881
2026-01-01,-0.384,-0.011381424909957315
2026-04-01,NA,-0.01778421039315445
