serie,charge
"Crédit bancaire Électricité, gaz et eau (MDH) (déflaté, réel)",0.5008214758983788
"Comptes débiteurs et crédits de trésorerie — Électricité, gaz, eau (MDH) (déflaté, réel)",0.4876079503958951
"Production d'électricité

",0.5022831852826425
"Consommation de combustibles (Fioul, Charbon, Gaz oil) Tonnes",0.509046105742895
