Date,y,ajuste
2019-04-01,0.9303683489691146,0.8811335219695284
2019-07-01,0.49940983725100097,0.46269620051888205
2019-10-01,0.3158301587980432,0.304795595037707
2020-01-01,-1.7637807264703014,-1.644362548057987
2020-04-01,0.8718753155051875,0.9481464190447129
2020-07-01,0.5180591047706233,0.5152451234955432
2020-10-01,0.3311949957007201,0.32416291701271255
2021-01-01,-1.7219521655774965,-1.7614117596631693
2021-04-01,0.940335793590048,0.8820907908710917
2021-07-01,0.5160229367707423,0.5175549499958014
2021-10-01,0.3262926329343827,0.32081120671099156
2022-01-01,-1.7418797367733205,-1.74716314290364
2022-04-01,0.9339675710148061,0.949688554791691
2022-07-01,0.5079075462147937,0.5299919892669224
2022-10-01,0.3102287829831827,0.32935573626578707
2023-01-01,-1.7897481612068216,-1.7693226165165092
2023-04-01,0.9590452811438741,0.9586730277504723
2023-07-01,0.5274297283986265,0.527211848293595
2023-10-01,0.322563499349231,0.3280816273450373
2024-01-01,-1.7361326651355569,-1.8107700500718888
2024-04-01,0.90693243904302,0.938465516425316
2024-07-01,0.5280215703897184,0.5413616063338831
2024-10-01,0.32665134358165204,0.3292674953223546
2025-01-01,-1.7110905874444757,-1.7535217437620658
2025-04-01,0.9161671443202959,0.8930715693605005
2025-07-01,0.5231363225832162,0.5215958218076613
2025-10-01,0.3264044711435119,0.32321487291195455
2026-01-01,-1.7738615907035875,-1.7406653384126551
2026-04-01,NA,0.9279235592003026
