Estimate,Std. Error,t value,Pr(>|t|),variable
0.011783157030238862,0.016129146432513272,0.7305505644419145,0.46809921148002387,(Intercept)
-0.48460998066003735,0.05511864893795067,-8.79212371851826,3.916063646256192e-12,y_lag1
-0.554129821997427,0.06539027966098333,-8.474192569145131,1.2903221367737092e-11,y_lag2
-0.6428916355194167,0.0710363086464175,-9.05018360004323,1.496273896993887e-12,y_lag3
0.40104823066893,0.06150991686491121,6.5200580834748445,2.141393375578047e-8,y_lag4
0.2907917911234899,0.029529683074296865,9.847440299032534,7.957721741844796e-14,f_lag0
0.2970107248081225,0.03889284553542735,7.63664166813345,3.0701716759978847e-10,f_lag1
0.403078716333422,0.04540068233303338,8.878252387853284,2.8387759431679714e-12,f_lag2
0.4393124983709033,0.04909798620374124,8.9476683737678009,2.191357089583133e-12,f_lag3
0.1440145218713621,0.044956133536826634,3.2034454598589974,0.0022416736084751587,f_lag4
