Estimate,Std. Error,t value,Pr(>|t|),variable
0.014871983147662082,0.017767720326090832,0.8370225822287098,0.4102077932852153,(Intercept)
-0.6522729241581929,0.1896170791905174,-3.4399481678695354,0.0019751145589552207,y_lag1
-0.431365574766389,0.22394846272881708,-1.926182343518637,0.06508113930513815,y_lag2
-0.3445477219926636,0.26418266083350184,-1.3042026335324517,0.20359283105752501,y_lag3
0.3908120440455127,0.2425224881150909,1.6114466212306457,0.11915717716252287,y_lag4
0.06838143698565492,0.009165218429186025,7.460971881248222,6.377188656569035e-8,f_lag0
0.04523205067195824,0.018546826936903436,2.4388026494148196,0.021872306810508346,f_lag1
0.026773746996101154,0.020873735764212135,1.2826523866419994,0.21093144623239202,f_lag2
0.019657120733626323,0.024456549476540836,0.8037569139702961,0.4288251220817517,f_lag3
-0.03797216656970363,0.021567633074219744,-1.7606088919925378,0.0900646889504386,f_lag4
