serie,charge
Masse monétaire (M3),0.2855962350742659
Crédit bancaire,0.44856729466174605
Secteur privé,0.4755333732786289
Sociétés non financières privées,0.46386570221545154
"Comptes débiteurs et crédits de trésorerie (déflaté, réel)",0.44975232291832273
"Primes versées (MDH) (déflaté, réel)",-0.27136993552572164
