Date,y,ajuste
2017-04-01,-0.05913885163251642,-0.08431813311807719
2017-07-01,-0.006110887632799766,-0.01370518411897064
2017-10-01,-0.06605747919091076,0.007755578827029436
2018-01-01,0.11726320407010782,0.13602688644788385
2018-04-01,-0.07782664028462527,-0.04763645100988331
2018-07-01,0.05765788940100425,0.032081685224007755
2018-10-01,-0.04692433375789484,-0.059279186450862116
2019-01-01,0.06709308464151587,0.09163965273014076
2019-04-01,-0.0494559431554098,-0.061879058218940575
2019-07-01,0.034367643504207734,0.048559399277745954
2019-10-01,-0.04491255668082239,-0.026611174554923442
2020-01-01,0.13220542557941872,0.07459838412816723
2020-04-01,-0.13220542557941872,-0.1263401416203373
2020-07-01,0.004407234987407804,0.0925440788778962
2020-10-01,0.0035118561115394797,0.016791567282859715
2021-01-01,0.16151053341960253,0.12576054437086373
2021-04-01,-0.13385103462820247,-0.1625794676653615
2021-07-01,0.05393260459106575,0.012007527520085387
2021-10-01,0.024732014469845964,-0.020608574426235815
2022-01-01,0.042428268782566114,0.07224305250144533
2022-04-01,-0.04164055704431657,-0.104515987718934
2022-07-01,0.056633341630457856,0.019872698109006257
2022-10-01,-0.021053409197832273,-0.014683373114855689
2023-01-01,0.01283520829344642,0.027722609604504806
2023-04-01,-0.10511048440261739,-0.03111370698342828
2023-07-01,0.1110940475055866,0.12476130851399567
2023-10-01,-0.08640143491521535,-0.0076906443627112655
2024-01-01,0.1063356498160335,0.07034989140402796
2024-04-01,-0.20270329911329554,-0.11190839992980058
2024-07-01,0.26915884124052347,0.1946875992909648
2024-10-01,-0.14869364036420052,-0.14453705731206246
2025-01-01,0.08879549878313142,0.09460536083715536
2025-04-01,-0.12269705045881274,-0.17430354804590298
2025-07-01,0.2895276589491953,0.22175070601652605
2025-10-01,-0.16103768859759882,-0.21897390544939746
2026-01-01,-0.04127335990819336,0.03332139236835194
2026-04-01,NA,-0.05916099020652878
