Estimate,Std. Error,t value,Pr(>|t|),variable
0.025327134914074467,0.009503964490223058,2.6649020985010052,0.009670923681312872,(Intercept)
0.06398633660869103,0.11128534239406425,0.5749754211306083,0.5672628742939401,y_lag1
0.15024011062932488,0.11116351940486187,1.3515235162908485,0.18114206851787384,y_lag2
-0.003080452271006162,0.10267470293336635,-0.03000205681632513,0.9761559533551818,y_lag3
0.40904521594023174,0.104017143675808,3.9324788345958614,2.043416022788021e-4,y_lag4
0.04979473983829993,0.003935590751326673,12.652418146250168,2.6118850421268627e-19,f_lag0
-0.002138235728181071,0.005625462582248578,-0.3800995379346009,0.705092001702252,f_lag1
-0.0028354130837420824,0.0056217875999443785,-0.5043614745904196,0.6156870927050375,f_lag2
0.001453191128226874,0.005034849229309489,0.2886265431281194,0.7737717502475376,f_lag3
-0.021944194567251933,0.006397353658638758,-3.4301987568905585,0.001044539715181526,f_lag4
