Estimate,Std. Error,t value,Pr(>|t|),variable
0.005886951970842316,0.0031212735202384065,1.8860737236487572,0.06368627918524242,(Intercept)
0.06398633660869094,0.11128534239406425,0.5749754211306075,0.5672628742939405,y_lag1
0.15024011062932557,0.11116351940486181,1.3515235162908554,0.18114206851787162,y_lag2
-0.003080452271006083,0.10267470293336631,-0.030002056816324375,0.9761559533551825,y_lag3
0.40904521594022986,0.10401714367580797,3.9324788345958446,2.043416022788134e-4,y_lag4
0.019750895198895467,0.0020769000374701086,9.509795773779377,5.454986328282851e-14,f_lag0
-0.0018168128403877348,0.002801166079920894,-0.6485916181160677,0.518852778252638,f_lag1
-0.00541904595978124,0.002807940118061065,-1.9299008283421628,0.05791872715277178,f_lag2
-6.250925239995856e-4,0.0027706982574208436,-0.22560830011906988,0.822203241018121,f_lag3
-0.007247374129860735,0.002949199418777741,-2.4574038919566585,0.016629593863696154,f_lag4
