Date,delta_log
1998-04-01,-0.032713578689238076
1998-07-01,-0.012244497532273968
1998-10-01,0.005880215740019068
1999-01-01,0.021528401389817375
1999-04-01,0.029338120253999733
1999-07-01,0.011984453454166655
1999-10-01,0.011842525578989793
2000-01-01,0.004057976583100142
2000-04-01,0.008831774791314473
2000-07-01,0.0048434555613798835
2000-10-01,0.011668611426355113
2001-01-01,0.010269354472370651
2001-04-01,0.009759607823427885
2001-07-01,0.008843607533650655
2001-10-01,0.016611948509657637
2002-01-01,0.011077278229830512
2002-04-01,0.018362383806140414
2002-07-01,0.01636799695915947
2002-10-01,0.01772426525339199
2003-01-01,0.0177469022801926
2003-04-01,0.01776292291498116
2003-07-01,0.015948683490870863
2003-10-01,0.013994249117111224
2004-01-01,0.0229486022671459
2004-04-01,0.011096644472067041
2004-07-01,0.006647878382418426
2004-10-01,0.013029941904294517
2005-01-01,0.0252257640590674
2005-04-01,0.013566605155121536
2005-07-01,0.01562688029758519
2005-10-01,0.01292702645535826
2006-01-01,4.197242412473656e-5
2006-04-01,0.019658048196001587
2006-07-01,0.010928324978987547
2006-10-01,0.01865871232853955
2007-01-01,0.03639428029478786
2007-04-01,0.015659861952247667
2007-07-01,0.015630022154166312
2007-10-01,0.0032557127945160858
2008-01-01,0.004616830514905246
2008-04-01,-0.016108700023329092
2008-07-01,0.005831066236025251
2008-10-01,-0.0035872123860176686
2009-01-01,0.037418892625114
2009-04-01,0.011393332890962782
2009-07-01,0.008490174551525342
2009-10-01,0.008406972863394202
2010-01-01,-0.00969663151928124
2010-04-01,0.006855120084795274
2010-07-01,0.017564861219216965
2010-10-01,0.011053391179661531
2011-01-01,0.013145388115633594
2011-04-01,0.021189904828951
2011-07-01,0.002260859979170249
2011-10-01,0.0101165405888608
2012-01-01,-0.0018556121202006892
2012-04-01,0.01977499182856235
2012-07-01,0.015264713086335036
2012-10-01,0.017650530895368277
2013-01-01,-0.018695457555327977
2013-04-01,0.010703490191369625
2013-07-01,0.008385749752466864
2013-10-01,0.00732914072105828
2014-01-01,-0.04491048514641527
2014-04-01,0.04946662893213549
2014-07-01,0.03428711785709204
2014-10-01,0.005898674616222621
2015-01-01,0.027529212596348884
2015-04-01,0.029294209799688886
2015-07-01,0.011630347488688741
2015-10-01,0.01863464472962484
2016-01-01,0.03239135213076416
2016-04-01,-0.011375129236881776
2016-07-01,0.01825476325041997
2016-10-01,0.010270120493172996
2017-01-01,0.006388049515724248
2017-04-01,0.027426850727300334
2017-07-01,0.007675344919405802
2017-10-01,0.006121044752482874
2018-01-01,0.01469742988040501
2018-04-01,0.03671160612372759
2018-07-01,0.0036375945145614708
2018-10-01,8.976661285018395e-4
2019-01-01,0.034125842357342506
2019-04-01,0.06372522795665603
2019-07-01,-0.018840629092565564
2019-10-01,-0.01653930836246076
2020-01-01,-0.04846866894141222
2020-04-01,-0.26337617935458013
2020-07-01,0.18041233607165275
2020-10-01,0.05381028289677481
2021-01-01,0.023684990953821483
2021-04-01,-0.025327640468260526
2021-07-01,0.042579607034639366
2021-10-01,0.024725890096554792
2022-01-01,0.04676400570938277
2022-04-01,0.010881697664729018
2022-07-01,0.022032630955299837
2022-10-01,0.012256676526074983
2023-01-01,0.018193499150472192
2023-04-01,0.01581515243309184
2023-07-01,0.01979868616673741
2023-10-01,0.011904827279415997
2024-01-01,0.00835699534889045
2024-04-01,0.013328415510487801
2024-07-01,0.025344699422404915
2024-10-01,0.016033539384297413
2025-01-01,-0.015356574437808135
2025-04-01,0.01621135344106861
2025-07-01,0.011820939447085621
2025-10-01,0.020958048704157406
2026-01-01,-0.029185130889983313
