Date,delta_log
1998-04-01,0.026005570332053196
1998-07-01,0.012637597702347847
1998-10-01,0.0195715806548602
1999-01-01,0.01671075075560502
1999-04-01,0.014071689717928493
1999-07-01,0.021212327531312525
1999-10-01,0.0092366252598719
2000-01-01,-0.0018516886824642143
2000-04-01,0.012485758414880976
2000-07-01,0.026709879377985857
2000-10-01,0.0217039710017648
2001-01-01,0.047616024826393044
2001-04-01,0.016368062635621072
2001-07-01,0.01767246459548666
2001-10-01,0.0012590902316329533
2002-01-01,-0.030606319085089595
2002-04-01,0.009386942203891024
2002-07-01,0.006561385412497955
2002-10-01,0.0035134199621769113
2003-01-01,0.0314172893595277
2003-04-01,0.013908954077283653
2003-07-01,0.0021490983619223414
2003-10-01,0.007593756949150432
2004-01-01,-0.00957917451942869
2004-04-01,0.007670666400755977
2004-07-01,0.010318055645740287
2004-10-01,0.0127930919771444
2005-01-01,0.029121402502587657
2005-04-01,0.011400667963929578
2005-07-01,0.016175653502161325
2005-10-01,0.005213501356900352
2006-01-01,-0.0010803512191905895
2006-04-01,0.012726333172208726
2006-07-01,0.015024882291559294
2006-10-01,0.017212128881121558
2007-01-01,0.02344384920312592
2007-04-01,0.009886218119945056
2007-07-01,4.0762120720749806e-4
2007-10-01,0.00529054935914175
2008-01-01,0.01843116390705113
2008-04-01,0.0030188363561194365
2008-07-01,0.005749617802141671
2008-10-01,0.0033667498864780043
2009-01-01,-0.0010405762177470024
2009-04-01,0.003940854346899059
2009-07-01,0.009615640229881706
2009-10-01,0.01162481608724697
2010-01-01,0.015583039818807265
2010-04-01,0.009698244036803416
2010-07-01,0.009013075808034898
2010-10-01,0.006516739662924209
2011-01-01,-0.003584019839497188
2011-04-01,0.006349567411675139
2011-07-01,0.004134033548350402
2011-10-01,0.0014272657313618708
2012-01-01,0.03516041463256059
2012-04-01,0.016774779824737962
2012-07-01,0.022003112237989342
2012-10-01,0.018009024498235604
2013-01-01,0.00686820302135871
2013-04-01,0.010521129822583575
2013-07-01,0.007636658158197918
2013-10-01,0.006480260564899254
2014-01-01,5.884573993881759e-4
2014-04-01,0.0013942505041892872
2014-07-01,0.001542853441497627
2014-10-01,0.0016959485426379928
2015-01-01,0.0018430894559635647
2015-04-01,0.0019945750056553635
2015-07-01,0.002139997877419475
2015-10-01,0.002289619765862838
2016-01-01,0.0025714937808132277
2016-04-01,0.0025239933430256656
2016-07-01,0.002609440910790184
2016-10-01,0.002699290656414277
2017-01-01,-0.0017562574350886706
2017-04-01,0.004701872379357042
2017-07-01,0.006565852466984268
2017-10-01,0.008408216897397125
2018-01-01,0.017913409684725323
2018-04-01,0.008794014247129667
2018-07-01,0.007511144485762955
2018-10-01,0.006246862001665576
2019-01-01,0.0038212397993824254
2019-04-01,0.004282702641432934
2019-07-01,0.0035438961951292924
2019-10-01,0.0028223190147418364
2020-01-01,-0.004013300908825457
2020-04-01,0.003843051114133189
2020-07-01,0.005546556120524571
2020-10-01,0.007221804494259132
2021-01-01,0.008249674763307624
2021-04-01,0.010714552730856752
2021-07-01,0.012498711373341465
2021-10-01,0.014215353044276569
2022-01-01,0.022832253514964762
2022-04-01,0.014561704098650097
2022-07-01,0.013433047369330708
2022-10-01,0.012338240241012599
2023-01-01,0.005546242531361045
2023-04-01,0.012598044347150505
2023-07-01,0.013797040445757247
2023-10-01,0.014948876217092177
2024-01-01,0.016907816168565404
2024-04-01,0.017082579244560137
2024-07-01,0.018063476186904737
2024-10-01,0.01899064733318845
2025-01-01,0.012105126691125179
2025-04-01,0.012363590523728263
2025-07-01,0.018061895470737
2025-10-01,0.02653372044509794
2026-01-01,0.004135567739549373
