Date,delta_log
1998-04-01,0.010968048191500657
1998-07-01,-0.05141330941179767
1998-10-01,0.058118624419513765
1999-01-01,-0.1678144278459648
1999-04-01,-0.06337069569388554
1999-07-01,0.042028753431329946
1999-10-01,-0.016727241549871152
2000-01-01,-0.1013282175682928
2000-04-01,-0.1226552177581226
2000-07-01,0.12639297243940106
2000-10-01,-0.0569568005991794
2001-01-01,0.18667083570115572
2001-04-01,-7.571377229069753e-4
2001-07-01,0.013820686180903152
2001-10-01,0.057781199517407345
2002-01-01,0.027624693974500403
2002-04-01,-0.014469901127325713
2002-07-01,-2.982757390093127e-4
2002-10-01,0.047028560538322495
2003-01-01,0.06075382802048601
2003-04-01,0.2598676616166813
2003-07-01,-0.13125442808087406
2003-10-01,-0.039377493461030255
2004-01-01,0.012211490311342388
2004-04-01,0.1735995521974356
2004-07-01,-0.10912385996630114
2004-10-01,-0.018003908536034174
2005-01-01,-0.14006585710127695
2005-04-01,-0.03512928390405712
2005-07-01,0.08255638074713723
2005-10-01,0.024583878742037157
2006-01-01,0.13072097851873288
2006-04-01,0.04294968304035862
2006-07-01,-0.029833744233874526
2006-10-01,0.09658030504697379
2007-01-01,-0.31230555458364506
2007-04-01,-0.011829104509004651
2007-07-01,0.005328762072288384
2007-10-01,0.02426685304439502
2008-01-01,0.05435005394528858
2008-04-01,0.07194083530429296
2008-07-01,0.06175139812977193
2008-10-01,0.055198214256419575
2009-01-01,0.07511769574574068
2009-04-01,0.059664554219947874
2009-07-01,0.035758472797116525
2009-10-01,0.017689174105262495
2010-01-01,-0.058090500893174024
2010-04-01,0.028959101161259326
2010-07-01,0.019252974647269383
2010-10-01,0.014372366271135917
2011-01-01,0.007167469295163542
2011-04-01,0.028584629673193973
2011-07-01,0.004462572484904115
2011-10-01,-0.01206254954051289
2012-01-01,-0.13244033748530093
2012-04-01,0.02562376254930321
2012-07-01,0.02055774701228863
2012-10-01,0.026725824190387826
2013-01-01,0.06639354744523018
2013-04-01,0.05428275339573396
2013-07-01,0.02449641481002196
2013-10-01,0.00900157000487134
2014-01-01,-0.10002080339856256
2014-04-01,0.036471439616885704
2014-07-01,0.02357441775955671
2014-10-01,0.025302568885063437
2015-01-01,0.052144997947978666
2015-04-01,0.031767249060058234
2015-07-01,0.032927271973214545
2015-10-01,0.0050779992286127396
2016-01-01,-0.2658326466745926
2016-04-01,0.007481131046253253
2016-07-01,0.0239103237598961
2016-10-01,0.004796421860341127
2017-01-01,0.15641141883282295
2017-04-01,0.03121599899570704
2017-07-01,-0.0015899538386729972
2017-10-01,-0.005720291237581776
2018-01-01,0.033613953651912
2018-04-01,0.03153963577480745
2018-07-01,-0.0076855501979054
2018-10-01,-0.007081898951602383
2019-01-01,-0.06742258812720436
2019-04-01,0.02695762773755206
2019-07-01,-0.0037879036785568587
2019-10-01,-0.005457962857816412
2020-01-01,-0.07334681225591311
2020-04-01,0.009649808121393377
2020-07-01,-0.03413402168650492
2020-10-01,-0.009721204206034173
2021-01-01,0.19808834907713546
2021-04-01,0.007369293056294524
2021-07-01,-0.0021791748407409273
2021-10-01,-0.009469652247478422
2022-01-01,-0.10665071869027187
2022-04-01,-0.007147549226848682
2022-07-01,0.0022277626879922963
2022-10-01,-0.009198793483498946
2023-01-01,0.03507572800124947
2023-04-01,-0.012270181679479464
2023-07-01,-0.003787599149289278
2023-10-01,-0.007880853163509727
2024-01-01,-0.03658474203865225
2024-04-01,-0.006641885060915342
2024-07-01,-0.011210414268022717
2024-10-01,-0.004352619319169193
2025-01-01,0.10035963299050898
2025-04-01,-0.0047331142791318115
2025-07-01,-0.014078753024708845
2025-10-01,-0.0014821458397111797
2026-01-01,0.18938657124622615
