Date,delta_log
1998-04-01,-0.0022567005345921487
1998-07-01,6.587305559797585e-4
1998-10-01,0.027648110474578047
1999-01-01,0.012549041647483605
1999-04-01,0.036903247269527206
1999-07-01,-0.005939919630928436
1999-10-01,0.04681068495281071
2000-01-01,0.03854199574225081
2000-04-01,0.011835404047157105
2000-07-01,8.740911995204215e-4
2000-10-01,0.047692697692840014
2001-01-01,-0.01556926816906401
2001-04-01,-0.024684920903930596
2001-07-01,-0.002288962679013906
2001-10-01,-0.11333816776997807
2002-01-01,-0.07772954593637937
2002-04-01,-0.18320199017714334
2002-07-01,0.0029826797379239878
2002-10-01,-0.08333180690213737
2003-01-01,-0.015938092287937522
2003-04-01,0.027573326904099638
2003-07-01,-0.10077673092739481
2003-10-01,-0.038856004929423094
2004-01-01,-0.023045462740916456
2004-04-01,0.0686839136379298
2004-07-01,-0.010190997907685961
2004-10-01,-0.021396357686262135
2005-01-01,0.08936895105894482
2005-04-01,0.18789909996264775
2005-07-01,-0.05711487405546389
2005-10-01,-0.030925611403567643
2006-01-01,0.02868396061058487
2006-04-01,0.15296377414314666
2006-07-01,-0.39616806505626556
2006-10-01,-0.22931596737971205
2007-01-01,0.2845724910912457
2007-04-01,-0.011987611199860027
2007-07-01,-0.06175586304568981
2007-10-01,0.0749614187766463
2008-01-01,0.16563821418697788
2008-04-01,0.05267899441631396
2008-07-01,-0.05096146951938074
2008-10-01,-0.27777818365564144
2009-01-01,0.24746403386110227
2009-04-01,-0.10431284662538243
2009-07-01,0.1317628139039444
2009-10-01,-0.015959630987684825
2010-01-01,-0.09418001895653472
2010-04-01,-0.0037215314045990766
2010-07-01,-0.017509039472807686
2010-10-01,-0.44700697439145287
2011-01-01,0.65467087112052
2011-04-01,-0.07262899017529278
2011-07-01,-0.013001391215880176
2011-10-01,-0.038845566390079966
2012-01-01,0.025907569027808997
2012-04-01,0.08465250443476346
2012-07-01,0.05891749239302779
2012-10-01,0.09890680838745158
2013-01-01,0.2711838387834806
2013-04-01,-0.17589876536747706
2013-07-01,-0.023540460437400768
2013-10-01,-0.06203402000101921
2014-01-01,-0.10041938976143161
2014-04-01,0.23888434853197182
2014-07-01,-0.08425859905488853
2014-10-01,0.09719253330130684
2015-01-01,-0.018266431263008087
2015-04-01,0.011268171916779757
2015-07-01,-0.02403789127710443
2015-10-01,0.07119972438895417
2016-01-01,0.05227888305557116
2016-04-01,-0.06928377167196409
2016-07-01,-0.0707389562407208
2016-10-01,0.10075629289691523
2017-01-01,-0.09813011165838148
2017-04-01,-0.019950167070711622
2017-07-01,0.020933209666465835
2017-10-01,-0.06590958534717117
2018-01-01,-0.11852670899934825
2018-04-01,0.0565619820165848
2018-07-01,-0.05204286635828215
2018-10-01,0.05194981280589506
2019-01-01,0.16588660074461536
2019-04-01,-0.10051090919398042
2019-07-01,0.10718938618718354
2019-10-01,-0.17844497708069795
2020-01-01,0.2504195643237459
2020-04-01,-0.18274429424385463
2020-07-01,0.44986742344204256
2020-10-01,-0.5491132530840712
2021-01-01,0.3018313288657355
2021-04-01,0.08645161660009304
2021-07-01,-0.08809605982627833
2021-10-01,0.10292463538761432
2022-01-01,-0.2517941153865211
2022-04-01,0.03090753746307673
2022-07-01,-0.4243623482895318
2022-10-01,0.5378060488361811
2023-01-01,-0.19642281400834083
2023-04-01,0.1086531381865008
2023-07-01,0.08330313140320555
2023-10-01,-0.16972255818494908
2024-01-01,0.13773626322914723
2024-04-01,-0.12439310006679705
2024-07-01,0.34098474390239986
2024-10-01,-0.3149031921866179
2025-01-01,0.08797050453119759
2025-04-01,-0.2024381833676836
2025-07-01,0.14148867449372737
2025-10-01,-0.18108942849674925
2026-01-01,0.22287485277316144
