indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
Masse monétaire (M3),0.004931474613788573,0.37947905315084557,0.08530869912476098,0.06884817454390502,0.04667789298542668,-249.3716126190825,44
Crédit bancaire,0.0035116736173453856,0.6315238674461033,3.5936472544255654e-4,0.264120993551347,0.24660006482637908,-259.72730433929274,44
Secteur privé,0.00455820505130407,0.5125964398539754,0.001539807288971506,0.2146449734126767,0.1959460442082167,-256.8642169953333,44
Sociétés non financières privées,0.007036651722493493,0.289416358957297,0.00757024182766528,0.15787220010056385,0.13782153819819642,-253.7931971591791,44
"Comptes débiteurs et crédits de trésorerie (déflaté, réel)",0.00757474535799975,0.14835724617644694,0.010337289987592023,0.1465062115994799,0.1261849309232772,-253.2033120245111,44
"Primes versées (MDH) (déflaté, réel)",0.004127261884976578,-0.040556527911325434,0.013091061844340541,0.44253598115877385,0.3918574339913897,-84.51184717647259,13
