indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
Trafic globale gérés par l'ANP,-7.244385942151588e-4,-0.009077559007130996,0.46518642271375765,0.012470842983850592,-0.01049495136536227,-88.35364520520056,45
Trafic aérien (Jan 18),-0.019815306963855073,-0.02223184250491215,0.6635174218924791,0.01969838537704049,-0.07833177608525554,-3.968910129949812,12
