indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
IPAI Résidentiel — transactions (var. trim. %),0.003597415043471446,0.0027836939841046787,0.576751102050016,0.02669742649801666,-0.0544111212938152,-101.05603907601049,14
"Crédits à l’immobilier 
 (MDH) (Jan 18)",0.0034105690147168285,0.289169307101547,0.043456658524428066,0.09356628582167685,0.07198453072219302,-305.4591271148357,44
"Crédits à l'habitat (MDH) (Jan 18) (déflaté, réel)",0.0014078455749184859,0.33562270920228604,0.014689435385192852,0.1336124118581614,0.11298413595002244,-307.4472906511413,44
