indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
Parc téléphonie mobile global (en milliers),0.012635906015196307,0.007731430742252304,0.9769752857376302,1.9597727513373443e-5,-0.02323576046487008,-137.45415118470456,45
Parc Internet global  (en milliers),0.013144783723548109,-0.005452462394410722,0.9622643304451909,5.2664451468972025e-5,-0.02320192474733407,-137.45563924104783,45
