indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
TOTAL EXPORTATIONS (1000),0.0020365716035741573,4.2226558597698846e-4,0.9822361349637652,5.2111564540322763e-5,-0.09994267727900574,-29.05569372535949,12
TOTAL IMPORTATIONS  (1000),0.002038852850324363,-2.0924149545394614e-4,0.9909664451329028,1.3475094227824234e-5,-0.0999851773963496,-29.05523007251096,12
Evolution des prix des produits finis au cours des trois prochains mois,0.006649174513470976,0.006395771302371883,0.005355949657150388,0.23106702962561657,0.20543593061313703,-166.357221140153,32
