Date,PIB_agrege,Realise
2010-01-01,NA,-0.007224403337191987
2010-04-01,0.007344597838789494,0.016216917695782485
2010-07-01,0.00690138580408765,0.018558036846256343
2010-10-01,0.006838746157014937,0.009236105843946518
2011-01-01,0.0072644101394731715,0.021029035329265255
2011-04-01,0.006285951472663757,0.012313743021863388
2011-07-01,0.00712663427054414,0.008922156472058518
2011-10-01,0.006965373250474002,0.01166770276595841
2012-01-01,0.00685558545725218,-0.003666131856315147
2012-04-01,0.007138649232870548,0.006997750319827745
2012-07-01,0.007068943687854402,0.008290486402364294
2012-10-01,0.007108382921214934,0.009742668343179162
2013-01-01,0.007008774103421106,0.0028239560278908726
2013-04-01,0.006916440658918724,0.011020922979028569
2013-07-01,0.007143280307277581,0.009948659271961091
2013-10-01,0.0069089550210277816,0.007772662048635581
2014-01-01,0.006995078065482403,-0.0038097360632640687
2014-04-01,0.007085156789678113,0.0166947227337797
2014-07-01,0.006440448437755773,4.614236594875365e-4
2014-10-01,0.007125576926233224,-0.00862051821113674
2015-01-01,0.007175461983369338,0.01975042117043202
2015-04-01,0.006524323726545586,0.014370702177043171
2015-07-01,0.006688546078659346,0.006173772845256664
2015-10-01,0.00696853336227974,0.006720702926926947
2016-01-01,0.006782677555944273,-0.023062376331077772
2016-04-01,0.00696879238014973,6.20008239375025e-4
2016-07-01,0.007287099610959188,0.0199949721890178
2016-10-01,0.0067763679692844705,0.008683400428799004
2017-01-01,0.006967348609810082,0.01966477282656598
2017-04-01,0.007057030462360725,0.014605377246976303
2017-07-01,0.006957561456989057,4.931484523122975e-4
2017-10-01,0.007046043742960351,0.00571412324345566
2018-01-01,0.007017288056358864,0.011032349181531842
2018-04-01,0.007128824717769983,0.011351838673032688
2018-07-01,0.006844831354810395,0.0032534530570700326
2018-10-01,0.007199592092777267,0.004778768811009471
2019-01-01,0.007073127740164788,0.006473525446997641
2019-04-01,0.006927939045062481,0.0254103164594337
2019-07-01,0.006401186317790884,-0.008318305755661726
2019-10-01,0.007323203924718169,-0.004046630372810611
2020-01-01,0.007151594805061211,-0.024591513890682037
2020-04-01,0.006301689604147965,-0.10458112771133443
2020-07-01,0.01085189249700729,0.06110338885974187
2020-10-01,0.003948623590308532,0.015138847933021893
2021-01-01,0.007478365612526085,0.046238606747396105
2021-04-01,0.006983395264028899,0.0030184018806185264
2021-07-01,0.007349591057147728,0.015165317801672629
2021-10-01,0.006822672099051923,0.011269669785415104
2022-01-01,0.007026945873210146,-0.01274048323597654
2022-04-01,0.0076463973158611325,0.015086281468535745
2022-07-01,0.006772421376183026,0.007873782280041652
2022-10-01,0.0074335427633318634,8.706536954683486e-5
2023-01-01,0.006857417224693756,0.013274714445007163
2023-04-01,0.007319767390520388,0.004559387433388906
2023-07-01,0.007101826356376537,0.011765619327888999
2023-10-01,0.007086277206698831,0.016367941433383493
2024-01-01,0.00717701144920716,-5.2851068518933175e-5
2024-04-01,0.007254880277845685,0.006200415731690612
2024-07-01,0.007260850089580782,0.026969883816139628
2024-10-01,0.006346024834334347,0.009945916616233674
2025-01-01,0.007352382251891857,-8.136592560514799e-4
2025-04-01,0.007140186908499553,0.013409100211891456
2025-07-01,0.006923854518104272,0.013363543373651865
2025-10-01,0.006766882386859047,0.012859487841616613
2026-01-01,0.007092979555182842,0.0019241842547970123
