Date,Industrie de transformation,Finances et assurances,Hébergement-restauration,Pêche,Industrie d'extraction,Construction,Information-communication,Immobilier,Agriculture,Commerce,Transports,"Électricité, gaz, eau",Services aux entreprises,Administration publique,Éducation-santé,Autres services
2010-01-01,0.005114340317620235,0.007848697435217765,-0.010640464895911724,0.00946568637318439,0.006276913749908706,0.004137527280821781,0.00940884986725565,0.005190799995673003,0.006757532486273624,0.0034489309632464247,-6.818014799567474e-4,0.010167286835218189,0.009576834260449479,0.01111628812018759,0.0063433624140788215,-0.0019057609185419546
2010-04-01,0.005735695618317419,0.007823214902288881,-0.010545156543691012,0.011319569159893643,0.006078083439129593,0.004139704279417638,0.009520447920019126,0.005188788682862003,0.006239047289481233,0.003824035417603288,-2.5571827347598713e-4,0.010556636385192957,0.010156045323395145,0.011123713840709768,0.0063465381489431726,-0.002124194241667894
2010-07-01,0.005198704534025217,0.00787301650030783,-0.010468495021133452,0.009358875785811635,0.00624736455469217,0.0042065355974597205,0.009374984562360958,0.005165456598419181,0.006603286576248992,0.003553061309682688,-5.475723646306252e-4,0.01028875915304455,0.009727720934530669,0.011124485028608485,0.00633054447848657,-0.0020068599696722957
2010-10-01,0.005088965080291053,0.007888469065422503,-0.010636738633104225,0.009215986239139455,0.0062628558820872855,0.004098898751707938,0.009326975627520086,0.0051756646589271454,0.006827790377163461,0.0034803407479636734,-6.864385591336585e-4,0.01018130001921641,0.00957947815319617,0.01114250053410526,0.006344031288743393,-0.001923777399139482
2011-01-01,0.005385935933173165,0.007830444135603246,-0.010542880072137434,0.011409441509695589,0.0062928255542253,0.004048374961168304,0.009248958560128532,0.005189775130457667,0.006977011379823375,0.0035879593081677916,-6.397630533527746e-4,0.010439952010925417,0.009719428939365522,0.011114372790352028,0.006334293990291533,-0.0019623065223599682
2011-04-01,0.004690320652280599,0.008038929905018867,-0.011594858037355783,0.006616585342726729,0.00607761671849556,0.004104863210782452,0.009476176147288124,0.005136610671070712,0.006519244141677781,0.0033009264394884648,-0.001102807880936375,0.009943809965834592,0.009367917638431996,0.011187213708670637,0.00634367219188543,-0.001982011807093061
2011-07-01,0.005430742825400939,0.007876284391016545,-0.010307412350264654,0.010443509642439279,0.00618927894273416,0.0041702818097940015,0.009285591724183738,0.0051977885891028594,0.00660240439398957,0.0036500472893151717,-3.7179879805456444e-4,0.010375445325542448,0.009855310145560408,0.011163608408569468,0.00632744516648549,-0.001993042931388887
2011-10-01,0.005327269516110305,0.007899985541728697,-0.010499101774645983,0.00957212131384237,0.006241544410584211,0.00419752186865153,0.009389248089012493,0.005188123929018295,0.006473188819926415,0.0036042281663927157,-4.742856515127628e-4,0.01041031425957473,0.009794254732161584,0.011144197859103725,0.0063151035019491765,-0.002014750560759675
2012-01-01,0.005213993891842881,0.007885597736992166,-0.010574312464382072,0.009021133518641283,0.006168541192056335,0.004217496429560661,0.009612278995468322,0.005200924729695008,0.006417508424958833,0.0035277818318583736,-5.013846376088452e-4,0.010159374423689787,0.009683001348580186,0.011121423156174606,0.006334865158558141,-0.0019776623774886166
2012-04-01,0.005011368737941914,0.007903190730848495,-0.010953851370095042,0.01126588632426866,0.00613504949840561,0.0038386901488321142,0.009149992703459234,0.005125193581702683,0.007366340261151281,0.003534167454799944,-0.0011415532247987799,0.010325908199966155,0.009556353870198497,0.01110514598033486,0.006410193267825824,-0.0019065633725841482
2012-07-01,0.005355082484846743,0.007887102627073933,-0.010481398272163323,0.010134372122070275,0.006281473031166283,0.004070923679022313,0.009303934778946012,0.005145313256015875,0.006722351597083143,0.003575509387254967,-5.602009826689621e-4,0.010530153503070329,0.009856204583273966,0.0111787719614848,0.006369974786496905,-0.0020275708844932063
2012-10-01,0.0053334530236932905,0.007859443701240075,-0.010716276387500437,0.010494348634097227,0.006157709383097701,0.004102060027587419,0.009248815331060782,0.005162896944362526,0.006796342806711588,0.0036213705632892838,-5.823334568643081e-4,0.010463412090534691,0.0098377790565892,0.011154853456380528,0.006363329805326278,-0.0020370637221474803
2013-01-01,0.005231730107392055,0.007868632454470614,-0.010623926227339354,0.010010800014311767,0.00617298292639497,0.004101916403705744,0.009273110134456102,0.005151999886730913,0.006842027477610364,0.003533608458851884,-6.690339415540513e-4,0.010447171253932644,0.009733155056166893,0.011136047531831127,0.006355071548859022,-0.0019820893891291072
2013-04-01,0.005303425632903825,0.007914855530495313,-0.011338667856804756,0.0095998518852486725,0.006233989021514207,0.004053305986158054,0.009312411512324781,0.005140354689155577,0.0065576651152352596,0.003499504863082159,-9.252055109327973e-4,0.010604877583705387,0.009760622668681232,0.011131212582930983,0.006330314645535171,-0.002154255608840438
2013-07-01,0.005433800425057675,0.007843703834568146,-0.01041652545563603,0.010472075646767415,0.006228897096631409,0.004178907840164865,0.00937343537723418,0.0051850175883516696,0.006630525752670496,0.0036311571618514475,-4.075539665885008e-4,0.010459915505170775,0.009889431027742581,0.0111118708100158,0.006335699928752538,-0.002021802457894627
2013-10-01,0.005198977409456781,0.007875574868693336,-0.010726637781364196,0.00950183515195989,0.006259479849493626,0.004116836576711791,0.009397575926044633,0.005171664380707676,0.0066977242080140985,0.0035132074352573458,-7.176653888547384e-4,0.010286896050472115,0.009677112426706486,0.011113675693354278,0.006337382496425832,-0.0019682341359772352
