;2016T1;2016T2;2016T3;2016T4;2017T1;2017T2;2017T3;2017T4;2018T1;2018T2;2018T3;2018T4;2019T1;2019T2;2019T3;2019T4;2020T1;2020T2;2020T3;2020T4;2021T1;2021T2;2021T3;2021T4;2022T1;2022T2;2022T3;2022T4;2023T1;2023T2;2023T3;2023T4;2024T1;2024T2;2024T3;2024T4;2025T1;2025T2;2025T3;2025T4;2026T1
    Industrie chimique;108.4;128.8;118.4;106.0;112.4;136.1;122.6;112.4;120.6;143.4;130.2;125.0;129.0;149.0;132.4;133.2;139.6;153.9;147.5;149.2;148.3;154.6;142.6;145.8;135.5;143.7;134.8;127.7;126.7;129.0;132.3;156.0;143.4;153.2;156.4;166.3;155.2;167.4;163.2;167.5;153.0
    Industrie pharmaceutique;104.3;101.5;90.6;99.0;104.1;99.0;93.7;108.5;114.0;98.7;92.1;107.7;109.8;103.8;99.1;111.5;129.0;91.8;96.9;119.1;129.8;108.2;105.4;118.4;142.7;107.9;130.1;133.8;143.1;138.6;150.0;143.8;153.5;136.2;145.6;154.7;169.7;146.5;120.4;199.4;177.3
    Fabrication de produits en caoutchouc et en plastique;104.3;125.2;92.2;105.7;103.3;127.5;92.4;98.2;112.2;133.7;90.6;103.3;114.4;145.8;88.9;112.0;113.2;75.7;92.4;115.7;127.8;135.5;99.3;125.1;123.7;138.8;99.4;126.5;125.1;147.4;123.7;132.7;121.0;157.7;125.3;131.0;122.8;152.7;145.6;132.7;126.2
    Fabrication d’autres produits minéraux non métalliques;103.3;103.4;92.6;102.3;102.2;93.7;93.0;105.5;100.8;102.2;93.9;103.2;103.3;100.4;94.2;105.7;98.6;68.8;91.1;103.7;99.4;95.3;95.9;109.6;99.0;88.4;85.1;96.4;96.3;86.8;94.3;100.7;97.7;89.6;99.3;113.3;100.5;99.3;111.4;118.7;91.9
    Métallurgie;98.9;95.3;77.6;92.4;79.3;83.3;80.6;92.2;86.3;73.2;80.6;86.0;93.8;70.0;86.2;105.2;80.0;36.3;90.3;106.6;81.0;72.0;104.8;107.1;82.2;85.3;112.0;122.1;75.0;74.9;112.6;124.8;78.1;81.6;115.7;133.9;89.0;95.6;106.4;137.2;81.1
    Fabrication de produits métalliques, à l’exclusion des machines et des équipements;98.0;102.8;104.9;103.4;88.2;108.6;109.8;86.3;91.1;103.4;109.2;87.1;83.9;98.2;103.5;91.8;91.9;49.3;73.2;96.7;89.9;69.5;76.9;146.5;88.6;72.0;88.8;110.8;106.4;69.8;75.5;114.3;94.0;65.0;85.3;114.6;88.3;66.7;79.7;131.2;83.2
    Fabrication de produits informatiques, électroniques et optiques;95.0;99.8;92.5;100.7;91.3;103.4;96.4;107.9;99.9;103.7;102.4;122.4;117.1;108.7;105.4;126.8;99.1;95.5;78.4;94.9;75.1;98.7;81.0;76.6;72.8;92.0;83.5;106.4;76.4;90.3;101.5;134.0;100.3;113.7;118.5;168.4;94.7;120.3;113.3;147.1;101.4
    Fabrication d’équipements électriques;92.1;102.9;75.6;112.6;97.5;107.2;78.9;127.4;90.8;110.2;78.5;132.1;99.2;110.4;89.1;139.3;98.6;63.6;84.1;114.7;102.5;107.9;103.2;115.9;99.0;131.8;89.6;140.3;122.1;139.8;109.3;150.0;110.5;124.9;112.3;167.8;137.8;145.2;115.5;163.9;122.2
    Fabrication de machines et équipements n.c.a.;101.0;114.4;97.6;120.0;109.2;116.8;101.0;119.9;112.1;117.4;105.7;132.6;92.8;119.5;111.5;124.5;87.0;66.4;113.3;132.7;86.0;121.5;125.1;129.6;88.3;115.3;115.7;136.2;81.9;109.0;116.0;136.3;78.5;97.5;136.8;144.0;78.6;97.0;129.8;141.0;77.3
    Industrie automobile;114.3;117.3;107.2;115.5;124.7;124.6;96.8;123.1;132.7;130.1;104.0;141.1;146.6;143.0;107.1;143.2;116.9;61.4;96.6;130.1;103.4;113.8;85.2;139.9;100.7;132.9;103.7;161.5;128.8;128.8;110.2;196.4;140.6;158.1;128.9;202.7;158.5;167.0;138.5;190.2;165.7
    Fabrication d’autres matériels de transport;129.2;128.8;169.5;142.7;149.5;179.1;171.7;220.2;164.9;194.1;185.8;219.7;164.3;197.8;184.7;221.9;167.5;80.0;80.0;117.1;156.6;87.8;86.2;121.9;160.8;91.9;94.7;121.6;219.0;107.2;102.3;166.7;221.6;126.5;113.8;142.5;194.8;108.1;136.4;195.3;249.7
    Fabrication de meubles;87.4;87.4;74.1;97.3;90.8;76.3;73.5;93.1;84.6;83.9;79.9;102.6;86.0;78.2;85.6;103.3;81.3;69.5;84.7;107.8;71.5;74.5;85.8;110.0;75.1;82.9;96.0;116.4;76.0;91.8;117.6;105.2;79.4;95.1;123.2;103.6;81.1;93.6;128.8;133.3;82.0
    Autres industries manufacturés;95.2;122.3;102.3;108.2;102.5;118.1;100.4;122.2;110.0;110.4;103.6;124.3;106.4;108.1;99.2;100.0;104.6;76.0;88.9;94.5;88.7;89.9;80.8;81.9;79.3;89.7;82.1;94.8;84.5;90.1;69.2;91.1;83.6;75.8;66.4;80.6;81.7;82.2;63.5;68.2;85.7
    Réparation et installation de machines et équipements;103.7;100.8;98.9;99.7;104.8;102.2;99.3;100.7;107.4;103.4;100.2;101.8;107.5;105.7;100.9;108.9;105.3;63.3;98.8;107.5;103.1;97.6;101.6;146.2;85.9;95.8;98.1;99.6;83.6;97.9;96.4;114.8;87.0;94.5;75.4;118.8;74.3;91.5;73.6;137.3;85.2
