;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Personnes morales;18776.0;15118.0;15789.0;14715.0;14877.0;16011.0;17020.0;18828.0;22368.0;28068.0;31627.0;35761.0;36059.0;36972.0;41617.0;37387.0;31431.0;31997.0;29814.0;29380.0;28109.0;28141.0;28521.0;29765.0;30614.0;32689.0;35125.0;38206.0;46516.0;43740.0
Personnes physiques;3887.0;4180.0;4974.0;5098.0;5791.0;6105.0;6640.0;5717.0;5496.0;7157.0;8237.0;8544.0;9367.0;10802.0;11838.0;13467.0;18760.0;25413.0;27423.0;27939.0;28584.0;30873.0;33730.0;34164.0;35760.0;36830.0;40150.0;41317.0;46358.0;50466.0
Total;22663.0;19298.0;20763.0;19813.0;20668.0;22116.0;23660.0;24545.0;27864.0;35225.0;39864.0;44305.0;45426.0;47774.0;53455.0;50854.0;50191.0;57410.0;57237.0;57319.0;56693.0;59014.0;62251.0;63929.0;66374.0;69519.0;75275.0;79523.0;92874.0;94206.0
