;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ensemble des types de sucre raffiné;612.0;587.0;600.0;646.0;626.0;650.0;667.0;691.0;726.0;740.0;763.0;778.0;810.816;829.316;829.746;893.552;889.208;916.601;921.378;936.95;951.13;997.046;1002.113;1057.404;1051.867;1069.832;1093.774;1119.0;1142.0;1161.0;1171.0;1207.179;1213.0;1214.35;1208.9;1225.5;1194.2;1208.6;1221.2;1199.3;1141.8;1198.1
Sucre granulé;;;;;;;;;;;;;303.55;314.033;296.369;341.467;334.935;364.994;398.236;474.909;443.169;473.306;493.488;513.876;518.458;527.772;546.937;555.578;575.592;592.834;602.969;;657.574;653.016;666.428;676.5;664.4;683.3;685.9;671.7;635.1;690.5
Sucre en pains;;;;;;;;;;;;;412.417;416.589;430.827;450.435;439.129;435.565;407.705;360.011;406.739;405.578;369.385;409.237;397.367;408.221;410.306;417.41;421.219;418.41;420.819;;407.629;399.528;383.343;386.2;363.3;360.5;358.4;350.0;332.6;329.5
sucre en ligots et en morceaux;;;;;;;;;;;;;94.849;98.694;102.55;101.65;115.144;116.042;115.437;102.03;101.222;118.162;139.24;134.291;136.042;133.839;136.531;145.545;145.552;149.4;147.596;;155.828;161.805;159.227;162.8;166.5;164.8;176.8;177.7;174.1;178.2
