;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Nombre d'usines;null;null;null;null;null;null;null;null;null;null;null;null;null;null;36.0;38.0;38.0;38.0;45.0;45.0;45.0;45.0;83.0;95.0;95.0;95.0;80.0;82.0;82.0;82.0;104.0;122.0;122.0;134.0;140.0;160.0;160.0
Production du lait frais;700.0;728.0;730.0;777.0;804.0;834.0;869.0;902.0;920.0;814.0;820.0;830.0;850.0;950.0;1020.0;1130.0;1150.0;1100.0;1200.0;1250.0;1375.0;1410.0;1571.0;1500.0;1800.0;1960.0;2100.0;2200.0;2500.0;2300.0;2400.0;2450.0;2500.0;2550.0;2550.0;2500.0;2500.0
Volume du lait traité;293.0;279.0;275.0;315.0;338.0;343.0;370.0;390.0;440.0;475.0;460.0;490.0;493.0;510.0;630.0;660.0;710.0;675.0;700.0;720.0;820.0;883.0;1100.0;1162.0;1400.0;1560.0;1470.0;1540.0;1750.0;1633.0;1750.0;1760.0;1753.0;1785.0;1800.0;1750.0;1750.0
