;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
    25 Industrie du caoutchouc et des plastiques;3457.0;4198.0;3421.0;3527.0;3502.0;3493.0;3526.0;4175.0;4015.0;3884.0
        251 Industrie Du caoutchouc;106.0;136.0;150.0;92.0;92.0;249.0;222.0;725.0;450.0;449.0
        252 Transformation des matières plastiques;3351.0;4062.0;3271.0;3435.0;3410.0;3244.0;3304.0;3450.0;3565.0;3435.0
    26 Fabrication D'autres produits minéraux non métalliques;2825.0;3422.0;4257.0;2943.0;2992.0;2863.0;3087.0;2872.0;2701.0;2763.0
        261 Fabrication De verre et d'articles en verre;243.0;320.0;351.0;227.0;267.0;244.0;338.0;269.0;283.0;314.0
        262 Fabrication De produits céramiques;223.0;139.0;129.0;121.0;144.0;127.0;184.0;168.0;160.0;152.0
        263 Fabrication De carreaux en céramiques;1315.0;1771.0;2327.0;1211.0;1172.0;979.0;951.0;724.0;583.0;553.0
        264 Fabrication De tuiles et briques en terre cuite;93.0;98.0;216.0;117.0;123.0;146.0;174.0;129.0;117.0;113.0
        265 Fabrication De ciment, chaux et plâtre;166.0;143.0;248.0;272.0;254.0;273.0;300.0;288.0;260.0;311.0
        266 Ouvrages en Béton ou en plâtre;546.0;607.0;624.0;636.0;678.0;754.0;779.0;860.0;856.0;930.0
        267 Travail de la Pierre;174.0;196.0;241.0;252.0;235.0;191.0;216.0;214.0;217.0;214.0
        268 Fabrication De produits minéraux divers;65.0;148.0;121.0;107.0;119.0;149.0;145.0;220.0;225.0;176.0
4 Industrie mécanique et métallurgique;;;;;;;;;;
    27 Métallurgie;529.0;452.0;379.0;364.0;469.0;535.0;645.0;771.0;764.0;784.0
        271 Sidérurgie Et production de ferro-alliages;129.0;158.0;169.0;149.0;180.0;202.0;273.0;355.0;344.0;389.0
        272 Fabrication de tubes en fonte ou en acier;109.0;47.0;42.0;45.0;91.0;88.0;98.0;97.0;86.0;108.0
        273 Première transformation de l'acier;26.0;21.0;22.0;9.0;8.0;13.0;16.0;20.0;21.0;21.0
        274 Production de métaux non ferreux;247.0;210.0;124.0;121.0;138.0;163.0;198.0;241.0;236.0;208.0
        275 Fonderie;18.0;16.0;22.0;40.0;52.0;69.0;60.0;58.0;77.0;58.0
    28 Travail des métaux;2026.0;3815.0;2559.0;2278.0;2064.0;2145.0;2281.0;2337.0;2465.0;2625.0
        281 Fabrication d'éléments en métal pour la construction;653.0;717.0;725.0;741.0;762.0;821.0;856.0;1062.0;1055.0;1223.0
        282 Fabrication de réservoirs métalliques et de chaudières;98.0;98.0;105.0;93.0;69.0;72.0;66.0;71.0;160.0;74.0
        283 Chaudronnerie;12.0;7.0;7.0;12.0;10.0;15.0;10.0;9.0;6.0;4.0
        284 Forge, emboutissage, estampage, métallurgie des poudres;54.0;49.0;64.0;67.0;59.0;58.0;75.0;50.0;46.0;55.0
"        285 Traitement des métaux ; mécanique générale";331.0;319.0;311.0;261.0;285.0;325.0;276.0;310.0;300.0;302.0
