;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Production nationale locale;339.195;353.051;374.636;430.191;405.867;362.116;411.046;425.594;504.674;470.347;499.351;498.108;452.87;506.516;481.813;454.75;399.676;406.41;458.985;480.07;504.053;527.238;433.01;486.974;508.196;471.972;400.914;424.155;468.488;409.883;379.132;361.555;247.0;356.716;478.0;509.0;607.0;510.0;556.0;591.0;526.0;388.0
    Extrait de la betterave;303.979;294.8;318.769;356.756;334.34;301.271;337.041;352.175;392.907;376.588;395.008;397.309;358.942;419.074;401.643;354.277;312.363;328.097;326.421;358.71;368.875;425.645;347.277;408.39;423.268;417.975;290.873;330.343;384.881;336.861;314.914;294.425;166.251;218.398;320.862;;;;;;;
    Extrait de la canne à sucre;35.216;58.251;55.867;73.435;71.527;60.845;74.005;73.419;111.767;93.759;104.343;100.799;93.928;87.442;80.17;100.473;87.313;78.313;132.564;121.36;135.178;101.593;85.733;78.584;84.928;53.997;110.041;93.812;83.607;73.022;64.218;67.13;54.098;61.956;27.855;;;;;;;
Production du sucre raffiné;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1120.0;1080.0;1240.0;1194.0;1316.0;1554.0;2575.0;2886.0;1749.0;1841.0;1811.0
    Sucre granulé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316.0;334.0;345.0;323.0;322.0;330.0;232.0;317.0;351.0;331.0;328.0
    Sucre en pains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137.0;153.0;166.0;164.0;160.0;176.0;126.0;181.0;179.0;175.0;187.0
    Sucre en ligots et en morceaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;667.0;593.0;729.0;708.0;834.0;1048.0;2217.0;2388.0;1219.0;1335.0;1296.0
