;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
1 Industries Agro-alimentaires;52930.0;55926.0;55054.0;57621.0;57527.0;60110.0;60884.0;62538.0;61319.0;63729.0;62162.0;65802.0;68021.0;72235.0;75218.0;77954.0;77238.0;79150.0;79509.0;84128.0;97698.0;109330.0;124547.0;125142.0
    15 Industries alimentaires;50183.0;53179.0;52511.0;54977.0;54883.0;57466.0;58504.0;60704.0;58950.0;61338.0;59780.0;63367.0;65701.0;69921.0;73628.0;76364.0;75648.0;77669.0;77999.0;82743.0;96313.0;107945.0;123338.0;123931.0
        151 Industrie des viandes;210.0;269.0;276.0;228.0;275.0;410.0;418.0;461.0;448.0;674.0;804.0;775.0;1030.0;1210.0;1581.0;2880.0;2985.0;3118.0;3303.0;3841.0;4984.0;5023.0;5186.0;4682.0
        152 Industrie du poisson;6265.0;7252.0;6959.0;7590.0;7673.0;7809.0;8152.0;9553.0;9751.0;10094.0;10161.0;12861.0;13635.0;17469.0;19026.0;18277.0;16733.0;18208.0;18534.0;19898.0;28901.0;36836.0;42695.0;45665.0
        153 Industrie des fruits et légumes;4132.0;4914.0;4706.0;4333.0;4769.0;5026.0;6094.0;5203.0;6748.0;5227.0;4760.0;4217.0;4875.0;4742.0;5503.0;5422.0;5266.0;5864.0;5291.0;5080.0;5223.0;6180.0;10592.0;12072.0
        154 Industrie des corps gras;4661.0;4408.0;4165.0;5109.0;4427.0;4755.0;5297.0;4471.0;3877.0;4622.0;4332.0;3653.0;4009.0;4559.0;4654.0;5085.0;5444.0;5508.0;5421.0;5584.0;5813.0;5870.0;6061.0;5746.0
        155 Industrie laitière;3616.0;4156.0;3990.0;4755.0;4601.0;5613.0;5125.0;5738.0;4790.0;6035.0;6470.0;8793.0;8972.0;8354.0;8796.0;9784.0;10066.0;8365.0;8906.0;9771.0;12155.0;12436.0;13507.0;11910.0
        156 Transformation des céréales, amidonnerie et fabrication;7066.0;6982.0;7728.0;8060.0;8490.0;8542.0;8488.0;8947.0;9034.0;9531.0;9164.0;8862.0;9282.0;8939.0;8929.0;9319.0;9044.0;8966.0;9119.0;9610.0;10341.0;10016.0;10946.0;11342.0
        157 Fabrication des farines et gruaux;7847.0;8519.0;8364.0;8856.0;8952.0;9400.0;9311.0;9590.0;10003.0;10153.0;9850.0;10431.0;10470.0;11063.0;11707.0;12194.0;12773.0;12026.0;12872.0;13593.0;13462.0;15540.0;16485.0;16175.0
        158 Autres industries alimentaires;12172.0;12056.0;11910.0;11869.0;11212.0;11233.0;11159.0;12205.0;9814.0;9703.0;9454.0;8749.0;8573.0;8214.0;7953.0;7808.0;7462.0;8744.0;7922.0;7578.0;9073.0;8522.0;9608.0;9641.0
