;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
1 Industries Agro-alimentaires;34940.36;38999.847;41984.257;44656.938;47362.41;52027.185;52481.334;55047.922;54952.913;57418.369;60587.659;60675.364;65635.228;67246.765;68388.119;73273.527;78144.378;87711.659;93260.557;97984.082;104662.935;111692.722;116791.074;115337.426;113712.85;111235.087;114663.895
    15 Industries alimentaires;30449.575;33821.474;36077.393;38308.831;40197.175;43787.165;44900.273;47368.09;47062.782;49208.36;52220.623;51839.172;56499.981;59627.184;60046.087;64218.435;67607.488;76224.905;84133.258;85059.891;91105.822;97298.427;103119.1;103225.651;102085.546;101220.039;106930.12
        151 Industrie des viandes;60.26;32.809;32.417;32.902;37.291;54.645;76.243;80.023;85.089;97.551;207.425;260.563;429.231;549.811;848.721;1534.016;1690.79;1852.668;2008.001;2800.752;2881.983;3266.994;3420.926;3260.76;;;
        152 Industrie du poisson;2358.494;2812.037;3055.194;3183.12;3330.0;3209.065;3303.785;3783.534;4575.784;4899.513;6052.152;7406.28;7804.574;8080.954;7615.822;7694.512;8540.173;9258.75;10032.181;9533.717;9975.071;10184.103;11384.764;11704.254;;;
        153 Industrie des fruits et légumes;3200.734;3495.345;3282.829;2094.577;2680.363;2931.491;3091.539;3141.291;3250.792;2771.15;2749.639;2306.46;2935.976;2796.606;2945.167;2729.986;2766.907;3082.507;3370.712;3095.366;3478.818;4080.775;4086.571;4088.955;;;
        154 Industrie des corps gras;4223.747;4504.263;4696.789;4396.218;5215.37;6143.946;6427.739;6126.418;5083.864;5618.504;5593.874;5044.947;6173.025;7310.631;8175.879;8570.902;8935.831;9243.216;10866.536;10493.581;10036.38;11334.563;11595.096;11034.695;;;
        155 Industrie laitière;2422.619;2694.17;3158.227;3821.625;4334.704;4882.664;4277.13;4609.298;4736.065;5927.985;6166.446;6612.865;7358.789;8069.137;8869.375;9648.724;10097.853;9998.681;12175.867;13357.389;14511.897;15713.473;16938.715;17132.873;;;
        156 Transformation des céréales, amidonnerie et fabrication;6395.233;7517.325;8418.438;10427.269;9822.438;10992.92;11696.468;12887.419;13937.493;14933.46;15225.514;14468.313;15764.978;15632.387;15087.733;17140.969;17390.264;21134.682;23412.23;22085.145;24846.852;26749.823;28719.577;28322.93;;;
        157 Fabrication des farines et gruaux;891.361;1052.585;1128.474;1262.85;1445.237;1548.786;2207.827;2017.038;1888.713;2049.669;2058.456;1948.498;2029.301;2271.349;2373.248;2442.605;2569.564;2497.665;3240.161;3600.088;3779.572;4022.536;4412.09;4556.072;;;
        158 Autres industries alimentaires;7704.518;8146.736;8218.267;8929.801;8801.023;9086.809;9039.881;9287.984;8034.913;7758.635;7666.112;7559.216;7646.094;7891.246;7422.251;7440.394;8384.319;11112.719;10135.546;10312.04;10948.204;10417.607;10676.762;11103.552;;;
        159 Industrie des boissons;3192.609;3566.204;4076.474;4149.568;4494.326;4898.383;4739.286;5391.044;5422.434;5102.369;6449.802;6177.577;6261.672;6922.313;6598.248;6907.233;7228.153;8157.67;9019.112;9878.875;11195.661;11528.553;11884.599;12021.56;;;
    16 Industrie du tabac;4490.785;5178.373;5906.864;6348.107;7165.235;8240.02;7581.061;7679.832;7890.131;8210.009;8367.036;8836.192;9135.247;7619.581;8342.032;9055.092;10536.89;11486.754;9127.299;12924.191;13557.113;14394.295;13671.974;12111.775;11627.304;10015.048;7733.775
        160 Industrie du tabac;4490.785;5178.373;5906.864;6348.107;7165.235;8240.02;7581.061;7679.832;7890.131;8210.009;8367.036;8836.192;9135.247;7619.581;8342.032;9055.092;10536.89;11486.754;9127.299;12924.191;13557.113;14394.295;13671.974;12111.775;;;
2 Industries Textiles;17934.908;19948.669;21058.61;21372.661;22483.71;23182.193;24635.927;26034.91;26737.979;25852.453;25079.513;26043.504;27287.642;27701.614;27371.864;26749.644;27748.337;29977.927;29509.042;25486.62;26480.969;27035.283;26717.41;25264.502;24758.991;24467.372;26580.086
    17 Industrie textile;10459.853;12187.627;12408.625;12590.958;13183.785;13306.62;13647.663;14266.126;10886.14;9741.361;8616.653;9511.392;9985.851;9870.714;9668.338;9334.768;9493.153;10694.143;10696.957;9025.355;9121.27;9208.855;8761.973;8544.247;8134.423;8437.045;8660.43
        171 Filature;4438.1;4764.036;5061.959;5161.819;5380.721;6328.272;6015.293;5917.259;3031.992;3040.405;2393.929;2768.951;2529.73;2577.621;2820.864;2665.843;2392.483;2520.012;2632.156;2279.914;2392.267;2332.43;2115.034;2248.635;;;
        172 Tissage;3547.598;3875.952;3771.178;3936.493;4321.845;3880.915;4141.419;4660.877;3376.941;2693.251;2242.004;3043.252;3717.903;3414.348;2886.28;2667.912;2685.802;2760.778;2472.752;2451.677;2358.306;2532.328;2411.711;1991.372;;;
        173 Ennoblissement textile;295.577;471.384;745.469;557.822;560.107;659.153;1061.162;862.842;753.367;704.212;611.42;678.843;751.159;833.179;989.248;1080.492;1166.134;1385.503;1462.254;1275.282;984.403;1022.903;1093.641;1064.037;;;
        174 Fabrication d'articles textiles;471.159;588.051;677.077;692.478;657.298;737.64;773.067;819.923;773.287;790.969;737.353;606.428;621.799;753.624;886.447;926.302;1038.177;1232.17;1338.045;1067.7;1386.531;1344.917;1426.594;1408.258;;;
        175 Fabrication de tapis et autres industries textiles;645.505;797.63;798.182;891.32;874.957;730.291;756.595;788.004;1017.25;964.882;987.303;801.028;761.709;756.05;860.826;856.92;1062.017;1589.27;1634.564;940.03;868.685;844.149;759.289;897.888;;;
        176 Fabrication d'étoffes a maille;819.218;1411.302;1074.904;1250.85;1302.558;880.826;785.672;1089.067;672.411;396.705;303.409;246.043;197.321;206.108;121.404;91.327;109.539;123.659;116.428;108.036;125.837;125.983;120.485;127.256;;;
        177 Fabrication d'articles à maille;242.696;279.272;279.856;100.176;86.299;89.523;114.455;128.154;1260.892;1150.937;1341.235;1366.847;1406.23;1329.784;1096.206;1039.276;1032.437;1076.084;1027.96;889.426;978.342;1006.145;835.219;806.801;;;
    18 Industrie de l'habillement et des fourrures;5451.445;5726.815;6741.709;6886.081;7220.353;7848.664;8705.924;9379.274;13403.014;13755.202;14222.737;14383.196;14964.747;15404.419;15430.438;15106.277;15836.976;16695.173;16252.872;13794.826;14359.177;14441.283;14856.545;13783.265;13809.331;13409.835;15390.921
        181 Fabrication de vêtements en cuir;356.815;289.299;339.816;329.038;328.037;309.448;330.213;295.567;158.63;158.724;181.269;200.864;176.747;178.09;175.518;150.085;144.758;117.692;118.515;107.2;115.812;237.435;172.296;103.461;;;
        182 Fabrication de vêtements en textile;5094.63;5437.516;6401.893;6557.043;6892.316;7539.216;8375.711;9082.829;13243.437;13595.134;14040.053;14180.768;14786.447;15224.817;15232.922;14934.266;15670.757;16555.045;16105.253;13659.2;14171.909;14203.848;14684.249;13679.804;;;
        183 Industrie des fourrures;;;;;;;;;;;;0.13;0.1;;;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;2023.61;2034.227;1908.276;1895.622;2079.572;2026.909;2282.34;2389.51;2448.825;2355.89;2240.123;2148.916;2337.044;2426.481;2273.088;2308.599;2418.208;2588.611;2559.213;2666.439;3000.522;3385.145;3098.892;2936.99;2815.237;2620.492;2528.735
        191 Apprêt et tannage des cuirs;649.633;600.84;569.866;558.9;697.504;650.439;902.691;796.154;633.732;552.392;743.344;454.663;552.916;530.775;370.549;383.76;374.472;377.406;374.311;396.287;462.994;641.296;593.305;529.558;;;
        192 Articles de voyage et de maroquinerie;141.107;137.727;174.718;161.259;139.704;157.364;123.614;155.969;170.083;160.253;167.636;192.099;174.283;164.08;144.819;147.889;178.591;175.897;151.853;145.376;161.969;148.296;151.712;163.814;;;
        193 Chaussures;1232.87;1295.66;1163.692;1175.463;1242.364;1219.106;1256.035;1437.387;1645.01;1643.245;1329.143;1502.154;1609.845;1731.626;1757.72;1776.95;1865.145;2035.308;2032.499;2123.263;2372.247;2595.553;2353.875;2243.618;;;
3 Industrie chimique et parachimique;52807.734;55939.276;58362.06;57918.683;61485.29;64642.681;67341.071;74731.75;71219.112;72223.68;71336.504;74094.517;74584.633;74113.562;78517.703;94122.629;108671.945;122126.214;158101.481;131048.119;158667.989;189425.11;197369.834;192194.461;183714.975;149037.769;135399.583
    20 Travail du bois et fabrication d'articles en bois;2342.907;2493.008;2606.702;2675.041;2722.56;2452.039;2686.535;2911.344;3051.79;3139.852;2984.023;3049.639;3269.37;3319.42;3466.591;3517.019;3590.305;3773.576;3672.655;3102.821;3214.428;3185.078;3124.593;3057.077;2818.051;2600.198;2955.736
        201 Sciages, rabotage, imprégnation du bois;435.114;676.373;768.598;701.406;640.198;645.094;719.516;891.244;984.954;1092.188;713.998;871.176;857.379;948.814;903.427;1009.283;595.179;650.228;694.06;546.369;478.425;445.829;322.164;326.532;;;
        202 Fabrication de panneaux de bois;553.422;443.159;448.241;738.312;830.846;694.481;713.785;740.932;676.812;656.282;690.401;747.922;738.177;685.323;807.886;693.762;843.925;906.216;783.732;447.652;604.375;741.154;719.389;690.866;;;
        203 Fabrication de charpentes et de menuiseries;603.206;501.655;502.884;574.391;548.215;561.734;609.17;653.835;668.039;677.456;703.841;664.2;908.907;885.22;893.468;1000.587;1181.899;1237.325;1284.413;1177.54;1249.479;1221.226;1179.493;1245.631;;;
        204 Fabrication d'emballages en bois;451.74;571.601;581.429;391.866;446.008;336.794;475.515;409.245;491.676;424.175;479.577;410.164;438.915;453.933;492.58;488.401;629.642;664.458;595.839;578.485;594.935;481.515;611.647;544.704;;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;299.425;300.22;305.55;261.547;249.397;205.295;161.549;208.228;221.768;280.751;387.297;345.618;304.331;323.156;345.979;301.112;315.024;276.54;268.197;307.354;246.777;295.354;291.9;249.344;;;
    21 Industrie du papier et du carton;3575.322;3469.363;3667.455;3845.45;4021.42;4715.347;4313.995;4969.938;4279.36;5332.935;4889.869;6316.837;6468.273;4000.877;3589.951;3907.905;4023.82;4438.369;4182.196;4015.767;4830.249;5091.661;6427.035;5871.866;6113.212;6232.566;6226.021
        211 Pate a Papier, de papier et de carton;1670.869;1558.363;1673.535;1669.344;1958.372;2515.873;1943.446;2255.018;1829.795;2490.522;2009.209;1644.227;1515.189;1148.066;957.795;1237.817;1310.67;2779.418;1194.116;1056.127;1701.642;1451.159;2256.351;1336.195;;;
        212 Articles en papier ou en carton;1904.453;1911.0;1993.92;2176.106;2063.048;2199.474;2370.549;2714.92;2449.565;2842.413;2880.66;4672.61;4953.084;2852.811;2632.156;2670.088;2713.15;1658.951;2988.08;2959.64;3128.607;3640.502;4170.684;4535.671;;;
    22 Edition, imprimerie, reproduction;2038.957;1488.021;1700.305;1677.904;1813.281;1872.589;2022.623;2452.227;2281.698;2215.69;2295.571;2407.682;2629.825;2885.014;2922.61;3077.662;3194.381;3361.134;3514.784;3721.819;3841.539;3698.468;3739.704;3727.302;3761.982;3733.749;4344.966
        221 Edition;4.813;5.31;6.343;7.15;7.342;7.907;8.071;8.713;405.191;432.65;367.719;479.231;354.846;445.894;416.131;411.725;388.389;392.304;426.75;569.893;562.47;666.1;592.45;615.731;;;
        222 Imprimerie;1987.278;1431.201;1632.614;1601.455;1734.513;1787.906;1936.01;2358.65;1769.214;1686.477;1831.818;1820.152;2172.615;2324.913;2379.584;2543.305;2671.595;2828.372;2936.382;3001.458;3115.578;3032.368;3147.254;3111.571;;;
        223 Reproduction d'enregistrements;;;;;;;;;;;;8.5;;;;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;15975.753;15975.753;17277.158;17277.158;17277.158;17288.142;17289.315;19172.776;20680.355;19217.608;19155.374;20602.884;18823.597;16658.059;19826.804;29842.649;34312.897;37091.598;49089.373;33742.618;45441.632;60654.041;66780.761;66780.761;55235.566;11936.884;7464.065
        231 Cokéfaction;;;;;;;;;;0.039;5.028;;;130.236;150.01;165.97;214.902;290.792;434.54;548.334;59.449;67.848;93.415;92.958;;;
        232 Raffinage de pétrole;15975.753;15975.753;17277.158;17277.158;17277.158;17288.142;17289.315;19172.776;20680.355;19217.569;19150.346;20602.884;18823.597;16527.823;19676.794;29676.679;34097.995;36800.806;48632.93;33169.538;45313.774;60586.193;66687.346;60415.646;;;
    24 Industrie Chimique;17685.449;19883.67;19811.605;19450.11;22183.736;24516.547;24734.421;27994.851;25660.108;25753.808;24344.607;23774.695;25274.267;27653.919;29255.066;31807.11;33284.188;38680.055;58077.982;46186.058;60936.837;71980.964;72373.45;65664.89;67365.754;75350.397;70647.197
        241 Industrie Chimique de base;10589.049;11997.044;11516.281;10753.146;12600.606;14850.532;14279.328;16735.499;13968.449;15160.078;14065.763;12976.634;13629.451;13301.639;14496.179;16350.973;17077.397;21018.783;37863.442;23365.906;36587.386;46675.712;47405.204;39664.113;;;
        242 Produits Agro-chimiques;598.232;623.175;550.593;459.782;654.792;540.153;585.214;554.647;460.865;339.657;348.978;310.612;323.547;424.66;366.404;380.041;410.751;201.957;210.753;223.449;115.134;207.035;192.121;211.981;;;
        243 Peintures et vernis;1228.924;1403.42;1549.029;1634.997;1721.07;1665.33;1848.054;1972.275;2177.615;2099.378;1852.502;1631.589;1761.599;1962.562;2354.931;2388.086;2591.505;2803.918;3197.343;4165.672;4866.404;4852.565;4731.836;4912.182;;;
        244 Industrie Pharmaceutique;2815.349;3093.771;3357.772;3630.113;3882.696;3863.56;4069.32;4057.514;4146.887;4062.515;3884.362;5681.467;6193.755;6629.176;7020.645;7634.71;7962.057;8844.249;10411.37;11803.843;12239.772;12247.853;12675.956;13670.942;;;
        245 Fabrication de savons, de parfums et de produits d'entretien;1668.92;1908.206;1963.2;2102.346;2315.927;2472.642;2828.224;3475.286;4021.495;3226.383;3346.288;1897.468;2070.716;3937.37;3960.525;3912.788;3976.179;4538.988;5300.334;4956.27;5458.831;6269.768;5549.778;5368.87;;;
        246 Fabrication d'autres produits chimiques;784.975;858.054;874.73;869.726;1008.645;1124.33;1124.281;1199.63;884.797;864.259;832.968;1263.757;1282.567;1352.226;1009.975;1092.081;1228.576;1196.485;1322.82;1552.448;1585.773;1717.717;1809.81;1836.802;;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;1.538;1.508;1.553;1.583;31.959;30.299;31.637;18.562;21.329;19.525;14.636;15.541;10.314;8.745;;;;
