;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Tournesol;46000.0;48000.0;4600.0;53750.0;70110.0;47000.0;34000.0;19000.0;27000.0;16400.0;55600.0;35000.0;18200.0;8300.0;13000.0;10000.0;23700.0;26000.0;15000.0;16000.0;15500.0;19400.0;42100.0;32500.0;22822.0;23800.0;23200.0;22397.0;24602.0
Colza;1100.0;1960.0;;920.0;500.0;1200.0;180.0;88.0;260.0;;;;;;;;;;;;;445.0;550.0;1130.0;3335.0;5615.0;3945.0;3217.0;8724.0
