;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Production nationale locale;;2648.0;2749.0;3249.0;3179.0;2838.0;3339.0;3594.0;4088.0;3788.0;3906.0;4005.0;3680.0;4005.0;2857.0;2641.0;3556.0;3298.0;4039.0;4540.0;4210.0;4148.0;3809.0;4192.0;3942.0;3949.0;3548.0;3401.0;3838.0;3501.0;3068.0;2167.57;2761.8;3487.2;4271.0;4645.4;4294.6;4326.6;4211.8;4424.0;3187.2
Extrait de la betterave;2134.6;2055.1;2247.0;2515.0;2404.4;2123.9;2555.9;2756.8;2995.9;2804.6;2898.5;2978.8;2686.2;3061.5;1953.3;1609.4;2657.0;2554.6;2783.1;3167.9;2773.9;3034.3;2871.1;3294.6;3072.2;3162.0;2551.6;2467.5;2925.8;2697.7;2435.9;1626.67;2142.2;3208.6;3601.1;;;;;;
Extrait de la canne à sucre;354.2;592.6;501.8;733.9;775.0;714.1;783.3;837.7;1091.7;983.9;1007.4;1025.8;993.7;943.6;903.2;1031.3;899.1;743.6;1256.1;1372.4;1435.9;1114.0;937.9;897.3;870.2;786.5;996.6;933.8;912.6;803.3;632.3;540.9;619.56;;;;;;;;
