;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2019
        175 Fabrication de tapis et autres industries textiles;13948.0;12964.0;13032.0;13766.0;12387.0;9808.0;10837.0;10750.0;9302.0;7719.0;6488.0;5330.0;4947.0;5386.0;5132.0;5474.0;5745.0;6037.0;5273.0;3847.0;3697.0;3157.0;2989.0;2719.0;;;;
        176 Fabrication d'étoffes a maille;8381.0;10929.0;9398.0;8996.0;10116.0;8521.0;7833.0;9599.0;2687.0;3463.0;2366.0;2194.0;1417.0;1368.0;963.0;862.0;875.0;896.0;823.0;835.0;835.0;847.0;885.0;824.0;;;;
        177 Fabrication d'articles à maille;2444.0;2825.0;2706.0;1527.0;1341.0;1297.0;1450.0;1453.0;7696.0;7246.0;8793.0;8465.0;8984.0;8413.0;7845.0;8054.0;7929.0;7234.0;6242.0;6029.0;6825.0;6654.0;6464.0;5842.0;;;;
    18 Industrie de l'habillement et des fourrures;80628.0;81048.0;87481.0;90210.0;95393.0;98155.0;105272.0;116394.0;151651.0;158145.0;162039.0;155516.0;167755.0;170054.0;164610.0;156984.0;158580.0;159740.0;161499.0;145821.0;150586.0;141801.0;133279.0;125083.0;120063.0;116062.0;130194.0;
        181 Fabrication de vêtements en cuir;2074.0;1995.0;2153.0;2501.0;2541.0;2252.0;2235.0;2041.0;1309.0;1291.0;1326.0;1214.0;645.0;717.0;954.0;592.0;834.0;602.0;833.0;469.0;433.0;504.0;496.0;400.0;;;;
        182 Fabrication de vêtements en textile;78554.0;79053.0;85328.0;87709.0;92852.0;95903.0;103037.0;114334.0;150321.0;156826.0;160684.0;154269.0;167079.0;169306.0;163606.0;156344.0;157700.0;159092.0;146223.0;131512.0;149244.0;141297.0;132783.0;124683.0;;;;
        183 Industrie des fourrures;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;14311.0;14260.0;15530.0;13818.0;14931.0;14567.0;14283.0;14501.0;15991.0;16072.0;15727.0;16228.0;16878.0;17367.0;17655.0;17453.0;18490.0;17907.0;19428.0;18833.0;21349.0;21283.0;20530.0;20388.0;17942.0;18211.0;16570.0;
        191 Apprêt et tannage des cuirs;3919.0;3795.0;3934.0;4030.0;4185.0;3618.0;3210.0;2900.0;2227.0;1905.0;1777.0;1352.0;1708.0;1820.0;1728.0;1721.0;1680.0;1495.0;1423.0;1460.0;1827.0;1720.0;1872.0;2317.0;;;;
        192 Articles de voyage et de maroquinerie;1541.0;1713.0;2891.0;1892.0;1479.0;1476.0;1461.0;1581.0;1693.0;1576.0;1687.0;1727.0;1799.0;1693.0;1498.0;1514.0;1637.0;1462.0;1220.0;1410.0;1660.0;1626.0;1663.0;1612.0;;;;
