,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028
à partir du blé tendre,,,,,,,,,,,,,,,,,,,,,19233,22981,18761,23839,25832,23998,21959,26135,21653,21112,23537,22529,26407,27321,23546,27762,28473,28510,29517,30585,32297,33023,32387,32494,32626,34762,35504,39685,42572,43369,45378,50700,49108,48283,47235,44022,45582,45629,45032,44760,43794,,,,,,,
    Blé tendre importé,,,,,,,,,,,,,,,,,,,,,16535,21504,13102,18719,22573,21352,12727,20893,13096,10554,17143,14503,24155,24233,7799,25782,11426,20876,19550,23414,28214,23118,22321,17347,16480,17410,9815,33302,29396,17159,26831,28905,30264,26315,31729,29812,,,,,,,,,,,,
    Blé tendre local,,,,,,,,,,,,,,,,,,,,,2698,1477,5659,5120,3259,2646,9232,5242,8557,10558,6394,8026,2252,3088,15747,1980,17047,7634,9967,7171,4083,9905,10066,15147,16146,17352,25689,6383,13176,26210,18547,21795,18843,21968,15506,14210,,,,,,,,,,,,
à partir du blé dur,,,,,,,,,,,,,,,,,,,,,1244,130,531,567,374,247,431,415,450,536,881,1090,1942,2894,2122,3624,3734,4721,4798,5047,5894,5460,5459,5676,6027,6558,6935,6274,5396,6041,6842,7000,7211,7562,7184,7123,8258,8466,8595,9331,9870,,,,,,,
