;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
        354 Fabrication de motocycles et de bicyclettes;299.304;283.638;359.908;349.558;358.127;294.048;331.962;323.321;307.757;199.889;184.955;175.547;171.339;172.919;191.54;272.523;315.902;320.341;373.961;348.308;281.054;294.978;277.134;317.27;;;;;;;
        355 Matériels de transport n.c.a;15.403;11.923;14.723;13.149;8.718;14.413;10.517;10.082;16.344;13.527;16.896;9.841;7.903;7.18;7.046;7.606;8.659;9.589;12.069;11.139;11.976;10.047;9.746;7.61;;;;;;;
    36 Fabrication de meubles, industries diverses;726.081;538.771;577.098;630.633;731.349;612.665;597.897;619.882;1448.869;1823.684;1267.764;2019.406;1874.815;1989.596;2205.736;2625.429;3052.003;2492.162;2635.34;3791.418;3914.304;4030.436;4214.158;4535.183;4858.061;4080.441;3370.376;;;;
        361 Fabrication de meubles;677.719;489.977;513.75;560.756;653.142;546.422;543.933;558.383;924.838;1291.8;789.776;1477.201;1284.812;1229.123;1500.633;1872.563;2282.03;1553.178;1734.712;2862.842;3025.342;3094.099;3344.005;3553.662;;;;;;;
        362 Bijouterie;;;;3.992;5.083;5.083;5.083;5.338;166.071;158.29;158.449;169.076;281.749;320.021;369.671;385.715;369.758;520.216;505.135;499.065;492.428;575.131;479.51;514.898;;;;;;;
        363 Fabrication d'instruments de musique;;;;;;;;1.777;;;;;;;;;;;;;;;;;;;;;;;
        364 Fabrication d'articles de sport;1.599;;9.275;3.182;4.987;2.73;;;4.24;4.522;1.713;1.781;0.759;1.09;1.146;2.242;2.745;3.152;4.116;4.618;6.284;4.172;4.686;4.141;;;;;;;
        365 Fabrication de jeux et de jouets;2.962;2.995;3.004;3.004;4.077;3.424;;;12.166;8.224;1.36;;3.192;3.004;9.61;32.222;41.52;48.625;47.142;46.405;60.442;64.847;66.149;68.172;;;;;;;
        366 Autres industries diverses;43.637;45.626;50.944;59.565;63.913;54.836;48.74;54.245;341.408;360.511;316.042;370.893;303.383;435.519;323.773;331.557;354.615;365.439;342.968;377.149;325.12;292.187;319.808;394.31;;;;;;;
    37 Récupération;;;;18.104;18.104;18.104;18.104;18.104;18.104;18.104;18.104;20.917;29.379;22.725;27.363;32.08;34.185;34.359;32.906;32.977;34.781;38.511;41.754;44.276;41.619;40.734;44.32;;;;
        372 Récupération de matières non métalliques recyclable;;;;18.104;18.104;18.104;18.104;18.104;18.104;18.104;18.104;20.917;29.379;22.725;27.363;32.08;34.185;34.359;32.906;32.977;34.781;38.511;41.754;44.276;;;;;;;
5 Industrie électrique et électronique;4584.0;4588.0;4326.0;3556.0;3595.0;3605.0;3696.0;4314.0;5397.0;6389.0;7532.0;8154.0;9490.0;11115.0;12255.0;13856.0;17486.0;21404.0;20810.0;19159.0;22816.0;27324.0;26669.0;29002.0;31230.0;33650.0;32619.0;37174.0;40476.0;40800.0;42805.0
    31 Fabrication de machines et appareils électriques;2581.934;2525.525;2433.455;2606.492;2792.509;2778.186;2729.172;3267.31;4167.204;4955.641;5540.352;6695.01;8027.944;9431.741;10340.416;11821.813;14906.76;18894.296;18089.871;15826.009;20557.774;24329.668;23703.533;26155.471;28694.327;31023.97;29935.714;;;;
        311 Fabrication de moteurs, génératrices et transforma;484.411;481.51;333.091;484.991;502.348;405.825;206.381;319.869;231.109;197.733;243.582;243.085;300.15;366.535;311.265;266.563;262.1;268.661;312.703;278.511;429.897;466.921;342.427;343.08;;;;;;;
        312 Fabrication de fils et câbles isoles;273.431;333.821;325.186;294.865;325.607;392.679;490.752;660.708;762.139;974.297;984.816;990.701;1152.342;1343.552;1407.683;1577.676;1682.886;2062.063;2289.577;1728.03;1639.042;1532.101;1851.478;2073.377;;;;;;;
        313 Fabrication de matériel de distribution et de commande;1203.649;1176.96;1096.804;1205.821;1298.62;1339.175;894.52;989.665;925.396;942.229;1424.468;1639.803;1111.669;727.71;748.118;1908.826;2800.173;2899.495;1828.57;2594.064;3373.833;3452.849;3511.193;3715.482;;;;;;;
        314 Fabrication d'accumulateurs et de piles électriques;275.803;267.881;283.76;279.839;297.309;301.056;769.892;848.145;784.614;794.865;199.103;247.329;563.394;956.109;1119.394;298.144;223.743;425.734;1640.093;669.714;358.923;729.555;699.641;349.361;;;;;;;
        315 Fabrication de lampes et d'appareils d'émission et de transmission;274.723;174.783;290.937;175.242;224.084;186.209;221.383;280.626;311.462;267.141;285.395;267.992;254.67;359.126;282.257;353.403;370.198;387.155;450.175;446.807;437.76;361.982;331.431;317.144;;;;;;;
        316 Fabrication d'autres matériels électriques;69.917;90.57;103.677;165.734;144.541;153.242;146.244;168.297;1152.484;1779.376;2402.988;3306.1;4645.719;5678.709;6471.699;7411.395;9559.418;12840.795;11555.579;10096.272;14307.036;17786.26;16967.363;19357.027;;;;;;;
    32 Fabrication d'équipements de radio, télévision et communication;1970.748;2027.229;1853.792;893.064;742.135;741.651;895.498;1128.498;987.457;1173.775;1767.202;1320.656;1249.837;1426.514;1636.373;1580.843;1679.207;1598.228;1597.826;1125.278;1394.672;1481.026;1497.637;1340.186;1181.445;1431.944;1457.856;;;;
        321 Fabrication de composants électroniques;1253.813;1261.576;1201.436;397.793;437.437;551.035;674.173;813.234;760.903;976.122;1540.611;987.356;973.286;1193.663;1368.683;1275.21;1282.878;1201.0;1231.546;780.567;1100.579;1252.569;1264.268;1113.973;;;;;;;
        322 Fabrication d'appareils d'émission et de transmission;716.935;765.653;652.356;495.271;304.698;190.616;221.325;315.264;204.881;179.965;209.526;322.521;258.042;224.117;259.387;297.844;289.718;287.559;270.849;248.884;227.789;228.457;233.369;226.213;;;;;;;
        323 Fabrication d'appareils de réception, enregistrements ou reproduction du son et de l'image;;;;;;;;;21.673;17.688;17.065;10.779;18.509;8.734;8.303;7.789;8.387;11.435;2.227;2.334;2.177;;;;;;;;;;
    33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;31.041;34.764;39.012;56.309;59.998;85.523;71.597;91.95;241.897;259.261;224.019;138.448;212.053;257.138;278.204;453.653;899.789;911.013;1122.242;2207.807;863.309;1513.056;1467.942;1506.281;1354.448;1193.693;1224.985;;;;
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;4.363;4.721;16.561;34.805;16.26;31.553;20.585;25.233;41.492;30.779;21.533;21.64;28.104;34.375;34.609;38.947;53.585;49.99;48.172;65.728;44.176;39.866;44.321;48.169;;;;;;;
        332 Fabrication d'instruments de mesure et de contrôle;;;0.474;0.474;0.474;0.569;0.524;0.553;116.71;183.818;150.125;81.325;167.199;214.623;236.764;407.663;836.648;852.159;1067.46;1673.757;809.375;356.053;382.176;363.448;;;;;;;
        333 Fabrication d'équipements de contrôle des processus industriels;;;;;;;;;;;;;;;;;;;;;;4.092;4.296;8.196;;;;;;;
        334 Fabrication de matériel optique et photographique;14.825;15.875;12.46;11.73;36.202;45.925;42.754;60.807;81.039;41.722;50.677;35.065;16.393;7.684;6.353;6.524;8.1;7.186;4.358;465.578;4.306;1113.045;1037.149;1086.468;;;;;;;
        335 Horlogerie;11.776;14.11;9.452;9.227;6.957;7.36;7.574;5.223;2.484;2.49;1.2;;;;;;;;;;;;;;;;;;;;
Total General;114353.0;123614.0;129912.0;133337.0;140296.0;146947.0;152417.0;162001.0;166555.0;167709.0;171969.0;175490.0;185825.0;189735.0;198130.0;222691.0;251528.0;282449.0;323747.0;279769.0;332591.0;386818.0;391687.0;391904.0;392141.0;371370.0;366684.0;380967.0;409206.0;639725.0;593421.0
