;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        183 Industrie des fourrures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;72.68;87.29;89.646;80.512;76.476;97.156;62.962;102.842;164.86;140.845;156.603;145.381;135.022;99.926;98.1;98.503;89.576;158.076;102.978;198.653;148.803;159.472;183.728;128.289;60.38;82.918;66.73;;;
        191 Apprêt et tannage des cuirs;20.953;45.422;30.371;25.404;13.748;9.729;11.058;10.34;9.243;25.054;11.525;10.221;12.99;8.853;4.528;3.184;5.641;15.457;9.651;13.948;5.473;6.577;7.036;3.825;;;;;;
        192 Articles de voyage et de maroquinerie;12.606;4.95;3.347;4.961;2.797;2.409;3.439;4.909;5.787;9.755;9.013;9.955;6.094;3.857;3.729;0.879;1.494;3.449;5.882;3.877;6.025;2.757;3.234;3.101;;;;;;
        193 Chaussures;39.121;36.918;55.928;50.147;59.931;85.018;48.465;87.593;149.83;106.036;136.065;125.205;115.938;87.216;89.843;94.44;82.441;139.17;87.445;180.828;137.305;150.138;173.458;121.363;;;;;;
3 Industrie chimique et parachimique;2096.0;3012.0;4226.0;4884.0;2960.0;3141.0;2905.0;4069.0;3550.0;4029.0;4095.0;3659.0;3675.0;3608.0;6215.0;5611.0;9342.0;10821.0;13632.0;13820.0;10117.0;11054.0;11067.0;15065.0;20484.0;9852.0;6874.0;6 565;11 162;15 141
    20 Travail du bois et fabrication d'articles en bois;121.621;81.943;86.343;106.463;81.753;65.532;61.271;54.43;54.406;69.685;72.372;138.758;135.779;125.775;134.206;100.155;115.782;91.69;115.465;110.709;79.884;95.958;113.887;134.658;79.635;58.141;62.389;;;
        201 Sciages, rabotage, imprégnation du bois;5.604;17.069;18.851;17.558;6.43;6.056;7.998;9.287;5.356;12.09;11.213;18.682;9.025;5.652;12.917;9.439;12.206;4.042;13.881;2.982;6.964;2.249;2.803;1.14;;;;;;
        202 Fabrication de panneaux de bois;87.255;28.929;20.268;44.582;21.522;26.223;2.905;2.288;8.573;11.516;9.342;56.66;69.4;53.658;75.988;41.838;46.466;25.886;48.037;57.324;39.952;41.787;33.816;62.383;;;;;;
        203 Fabrication de charpentes et de menuiseries;9.359;14.113;24.528;24.534;37.582;22.935;31.218;31.449;22.366;31.444;31.881;23.006;31.955;23.008;22.724;26.916;21.56;26.823;31.068;30.608;15.623;35.604;53.127;27.976;;;;;;
        204 Fabrication d'emballages en bois;12.751;17.787;16.444;9.425;7.034;2.785;4.259;4.612;5.356;3.738;8.815;18.103;6.63;7.297;8.395;12.298;10.705;28.617;18.088;8.529;12.66;10.329;16.403;32.767;;;;;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;6.652;4.045;6.252;10.364;9.185;7.533;14.891;6.794;12.755;10.897;11.121;22.307;18.769;36.16;14.182;9.664;24.845;6.322;4.391;11.266;4.685;5.989;7.738;10.392;;;;;;
    21 Industrie du papier et du carton;214.976;313.353;384.245;214.93;302.363;713.596;168.258;274.726;297.257;546.744;510.435;516.628;527.289;241.613;517.215;289.037;304.373;187.502;224.487;211.742;173.261;271.487;465.342;282.934;305.244;340.174;416.454;;;
        211 Pate a Papier, de papier et de carton;107.377;220.583;249.08;104.432;200.109;592.957;84.598;167.861;123.186;162.602;172.273;93.126;82.65;54.531;113.519;96.158;94.688;134.343;105.111;78.62;34.347;48.854;187.693;27.877;;;;;;
        212 Articles en papier ou en carton;107.599;92.77;135.165;110.498;102.254;120.639;83.66;106.865;174.071;384.142;338.162;423.502;444.639;187.082;403.696;192.879;209.685;53.159;119.376;133.122;138.914;222.633;277.649;255.057;;;;;;
    22 Edition, imprimerie, reproduction;80.734;78.533;118.183;149.958;88.23;120.395;126.377;162.584;165.556;190.007;212.555;163.249;169.958;225.219;217.692;188.187;230.271;343.52;238.714;318.869;296.374;122.192;371.222;217.221;112.094;192.393;177.828;;;
        221 Edition;;;;;;;;;78.138;77.389;73.266;50.528;64.33;50.212;53.899;57.924;39.234;92.23;52.867;125.499;126.38;12.202;10.781;7.561;;;;;;
        222 Imprimerie;80.734;78.533;118.183;149.958;88.23;120.395;126.377;162.584;87.418;112.618;139.289;112.521;105.628;175.007;163.793;130.263;191.037;251.29;185.847;193.37;169.994;109.99;360.441;209.66;;;;;;
        223 Reproduction d'enregistrements;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;161.97;161.97;161.97;161.97;161.97;161.97;161.97;230.632;251.574;241.451;209.927;220.588;136.149;139.259;587.989;1089.702;2493.055;3460.981;5368.432;3272.517;1859.954;1172.616;1931.53;2673.424;5802.29;1392.754;217.417;;;
        231 Cokéfaction;;;;;;;;;;;0.008;;;0.507;0.617;2.786;17.846;33.529;42.497;8.602;2.872;0.496;0.477;0.827;;;;;;
        232 Raffinage de pétrole;161.97;161.97;161.97;161.97;161.97;161.97;161.97;230.632;251.574;241.451;209.919;220.588;136.149;138.752;587.372;1086.916;2475.209;3427.452;5325.935;3263.915;1857.082;1172.12;1931.053;2672.597;;;;;;
    24 Industrie Chimique;630.866;928.529;709.173;577.995;760.778;617.816;761.603;964.97;1256.865;1335.483;1258.134;933.108;957.085;1295.543;3068.6;1837.79;1861.163;2250.497;2617.103;4979.621;2940.718;5065.287;5173.385;9257.814;10437.442;5910.83;3867.521;;;
        241 Industrie Chimique de base;418.764;245.829;399.659;195.011;263.224;274.219;339.835;526.631;730.639;1005.639;778.812;435.823;514.056;675.968;2456.215;1236.087;1345.007;1713.743;1977.467;4219.583;1991.967;4338.079;4204.333;8077.439;;;;;;
