;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        312 Fabrication de fils et câbles isoles;18.573;18.102;31.675;21.016;26.099;26.214;16.597;38.529;43.64;42.425;57.198;93.857;94.016;66.213;66.318;110.291;104.786;145.648;110.696;90.565;88.915;95.346;102.845;80.364;;;;;;
        313 Fabrication de matériel de distribution et de commande;62.82;102.182;52.204;50.959;77.271;57.673;71.277;96.41;125.786;92.336;139.722;123.993;53.446;82.686;30.076;57.121;115.506;109.937;65.46;132.322;86.789;103.747;81.406;65.992;;;;;;
        314 Fabrication d'accumulateurs et de piles électriques;9.077;3.108;11.005;30.509;18.068;18.356;28.413;26.205;29.509;16.008;25.43;3.415;15.999;22.818;22.212;4.839;1.267;3.149;89.286;34.479;29.385;30.196;10.225;5.057;;;;;;
        315 Fabrication de lampes et d'appareils d'émission et de transmission;10.941;3.435;19.751;25.849;28.828;45.437;19.925;43.717;30.637;17.547;13.223;6.818;6.223;14.146;4.028;13.28;10.195;10.924;19.542;20.227;14.91;9.192;13.048;5.543;;;;;;
        316 Fabrication d'autres matériels électriques;0.337;0.986;1.102;1.378;2.181;2.14;2.935;3.196;95.313;175.13;180.436;400.535;490.413;284.262;220.153;461.946;527.965;806.943;1069.148;473.941;693.637;840.911;937.61;1270.593;;;;;;
    32 Fabrication d'équipements de radio, télévision et communication;73.166;25.975;14.835;36.798;43.903;95.978;153.352;153.362;109.455;108.595;147.853;172.022;109.626;13.823;131.537;86.855;77.796;34.855;54.553;134.084;298.929;122.953;153.595;133.901;64.283;92.591;178.825;;;
        321 Fabrication de composants électroniques;13.847;6.113;7.594;23.657;33.921;94.222;143.539;143.462;107.761;107.477;147.803;166.591;102.684;13.693;131.487;65.426;66.497;24.714;48.097;129.318;298.092;121.356;151.601;132.157;;;;;;
        322 Fabrication d'appareils d'émission et de transmission;59.319;19.862;7.241;13.141;9.982;1.756;9.813;9.9;0.479;;;3.746;6.576;0.067;0.001;20.091;11.263;10.114;6.456;4.766;0.67;1.597;1.994;1.744;;;;;;
        323 Fabrication d'appareils de réception, enregistrements ou reproduction du son et de l'image;;;;;;;;;1.215;1.118;0.05;1.685;0.366;0.063;0.049;1.338;0.036;0.027;;;0.167;;;;;;;;;
    33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;2.918;2.576;3.517;7.026;26.926;7.885;19.44;5.974;6.585;22.065;12.262;13.676;3.949;10.485;11.444;15.795;246.154;50.761;49.617;86.24;48.052;232.299;85.578;33.783;12.769;42.141;31.804;;;
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;1.768;2.07;2.883;5.004;1.218;0.654;0.195;0.165;1.52;1.842;2.448;1.099;0.875;1.194;3.157;0.293;0.981;2.861;2.381;1.161;2.674;0.677;2.42;3.899;;;;;;
        332 Fabrication d'instruments de mesure et de contrôle;;;;;;;0.167;;2.165;9.94;5.235;0.718;2.146;8.619;5.854;15.388;245.048;47.014;47.09;56.281;45.128;10.819;3.761;2.965;;;;;;
        333 Fabrication d'équipements de contrôle des processus industriels;;;;;;;;;;;;;;;;;;;;;;0.266;;;;;;;;
        334 Fabrication de matériel optique et photographique;1.15;0.316;0.562;1.433;25.708;7.231;19.078;4.889;2.059;9.425;4.579;11.859;0.928;0.672;2.433;0.114;0.125;0.886;0.146;28.798;0.25;220.537;79.397;26.919;;;;;;
        335 Horlogerie;;0.19;0.072;0.589;;;;0.92;0.841;0.858;;;;;;;;;;;;;;;;;;;;
Total General;6648.0;7803.0;8845.0;10111.0;7643.0;8001.0;8095.0;9446.0;9588.0;10320.0;11026.0;11224.0;10516.0;10533.0;11679.0;14029.0;17631.0;19284.0;25258.0;24068.0;23047.0;25641.0;23228.0;24550.0;31737.0;18207.0;17510.0;19 032;23 539;39 998
