;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020
        175 Fabrication de tapis et autres industries textiles;183.479;269.5;260.909;304.768;292.79;660.968;586.593;281.734;381.239;358.836;360.299;295.817;337.309;335.264;314.582;309.493;337.206;506.035;483.43;238.322;218.337;195.8602;196.1655;156.8152;;;;;;
        176 Fabrication d'étoffes a maille;177.379;352.752;236.24;292.228;293.407;349.356;231.213;343.792;174.822;150.15;103.878;98.253;44.239;46.366;29.585;28.692;32.632;34.2;26.497;36.3;36.73;40.6171;41.2005;42.4242;;;;;;
        177 Fabrication d'articles à maille;81.697;99.276;100.332;55.576;45.471;36.957;41.737;27.125;408.431;379.146;397.979;413.495;423.411;436.185;362.687;332.507;320.664;352.964;329.436;315.504;330.551;349.1195;286.8602;277.3617;;;;;;
    18 Industrie de l'habillement et des fourrures;1763.37993;2116.69238;2436.84927;2617.85578;2826.64854;3105.36064;3558.98004;4044.95077;5834.00448;5908.40023;5961.9097;6264.26229;6739.0614;6740.0248;6673.0857;6402.7265;6287.2675;6613.9795;6465.4013;5591.58274;5625.3862;5446.1446;5319.2785;5061.0727;5160.743;5283.079;5862.3584;;;
        181 Fabrication de vêtements en cuir;50.064;64.459;76.907;82.045;88.511;102.072;88.532;81.216;27.032;47.212;48.819;43.342;35.757;36.728;41.187;33.317;37.281;32.19;29.546;30.275;28.916;40.8604;29.755;21.3339;;;;;;
        182 Fabrication de vêtements en textile;1713.349;2052.258;2359.968;2535.839;2738.159;3003.313;3470.475;3963.208;5806.4;5860.408;5912.287;6219.966;6702.444;6702.425;6628.178;6365.753;6246.462;6578.142;6430.492;5555.978;5565.627;5405.2842;5289.5235;5039.7388;;;;;;
        183 Industrie des fourrures;;;;;;;;;;;;0.098;0.064;;;;;;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;537.9807;579.90768;555.7552;492.08964;511.26639;547.43449;589.524;683.98349;912.4636;742.2528;742.0943;774.0918;804.1425;871.56962;888.50919;882.7099;936.276;955.624;919.0099;940.25302;1213.1363;1111.9683;992.3554;1008.1046;974.993;965.921;902.3748;;;
        191 Apprêt et tannage des cuirs;152.722;173.797;129.683;133.211;130.258;128.313;136.348;149.478;181.79;80.867;150.837;121.501;136.747;155.409;104.98;128.697;110.843;100.318;101.219;110.265;129.067;126.6837;121.3472;120.5675;;;;;;
        192 Articles de voyage et de maroquinerie;74.814;72.652;82.577;49.067;36.571;39.66;42.351;53.085;58.151;57.27;63.335;72.278;59.285;64.032;60.585;63.978;69.625;70.041;59.848;55.24;67.832;59.8305;64.0816;61.0965;;;;;;
        193 Chaussures;310.449;333.472;343.505;309.824;344.447;379.478;410.837;481.431;672.54;604.133;527.936;580.321;608.13;652.148;722.954;690.048;755.822;785.288;757.873;774.475;1014.899;925.4541;806.9266;826.4406;;;;;;
3 Industrie chimique et parachimique;8833.0;10519.0;12942.0;11833.0;14292.0;15801.0;17135.0;19175.0;18597.0;19324.0;19016.0;19231.0;20156.0;19978.0;20126.0;23303.0;23842.0;30030.0;31724.0;30875.0;41700.0;43461.0;42415.0;44856.0;52520.0;45405.0;47999.0;46751.0;50857.0;49290.0
    20 Travail du bois et fabrication d'articles en bois;514.44988;552.2817;570.9861;620.8842;555.3418;476.22279;593.8935;699.671;774.6425;766.0199;807.3821;747.3494;752.1316;740.9829;783.2858;749.1289;785.9263;844.1944;826.1716;717.7955;714.1455;749.7638;753.3505;747.6932;708.779;697.249;740.6339;;;
        201 Sciages, rabotage, imprégnation du bois;40.834;66.947;71.721;63.623;50.347;70.806;76.615;114.179;139.935;132.658;106.189;154.792;111.5;119.742;133.86;132.991;97.807;112.108;107.673;108.456;100.804;88.9428;78.2137;86.6624;;;;;;
        202 Fabrication de panneaux de bois;188.615;169.424;146.675;221.638;172.99;103.068;164.928;216.353;229.663;204.94;223.984;216.677;208.048;183.356;200.079;164.944;184.828;229.454;200.571;92.178;96.572;110.2324;114.0192;93.2118;;;;;;
