Estimate,Std. Error,t value,Pr(>|t|),variable
0.009926291888790463,0.009596912100504418,1.0343214343151828,0.3071990141244141,(Intercept)
-0.020349621170343047,0.15957888715690827,-0.12752076125417508,0.8991671806193575,lag1
-0.11315902440371534,0.15833362205704687,-0.7146872719361189,0.4789528170481997,lag2
-0.07382633056293558,0.15792945530427527,-0.4674639725736903,0.6427047261254533,lag3
-0.4486261080617961,0.15628854683840676,-2.870498940179214,0.006520323706751791,lag4
