Date,PIB_agrege_AR,Realise
1998-07-01,NA,0.009188915058857106
1998-10-01,NA,0.00993352219672694
1999-01-01,NA,-0.040577181984684074
1999-04-01,NA,0.03220399565810972
1999-07-01,NA,0.021140424361385968
1999-10-01,NA,0.010307960086326062
2000-01-01,NA,-0.012708151722312877
2000-04-01,NA,-0.0039025181409098053
2000-07-01,NA,0.020500080896018957
2000-10-01,NA,0.0022133962214603287
2001-01-01,NA,0.038853701798446494
2001-04-01,NA,0.0028350852651701786
2001-07-01,NA,0.0019376226933029983
2001-10-01,NA,0.023548242470059932
2002-01-01,NA,-0.00237645086098226
2002-04-01,NA,0.0037898093086017326
2002-07-01,NA,0.013166440372943455
2002-10-01,NA,0.01357902712700465
2003-01-01,NA,0.008657522240834936
2003-04-01,NA,0.040529923324241324
2003-07-01,NA,-0.004287788226848832
2003-10-01,NA,0.0019014569496516032
2004-01-01,NA,0.01927393593005
2004-04-01,NA,0.023426606883601764
2004-07-01,NA,-0.0037837927084201084
2004-10-01,NA,0.014720787217369136
2005-01-01,NA,-0.0017949638135341672
2005-04-01,NA,0.013246432915268613
2005-07-01,NA,0.020683329055707134
2005-10-01,NA,0.00707312613361033
2006-01-01,NA,0.021211038271031768
2006-04-01,NA,0.022735741722556213
2006-07-01,NA,0.0028883750925547957
2006-10-01,NA,0.025745395844440466
2007-01-01,NA,-0.01586636514772266
2007-04-01,NA,0.0152415254443099
2007-07-01,NA,0.015912026044334837
2007-10-01,NA,0.01692963368124545
2008-01-01,NA,0.02895233621851645
2008-04-01,NA,0.0016535066033807055
2008-07-01,NA,0.01516816561220935
2008-10-01,NA,-0.00818306266473634
2009-01-01,NA,-8.800884204731574e-4
2009-04-01,NA,0.019118763691185592
2009-07-01,NA,0.01770203957436145
2009-10-01,NA,0.015128464373214356
2010-01-01,NA,-0.007224403337191987
2010-04-01,0.016271413697087667,0.016216917695782485
2010-07-01,0.002794849784636176,0.018558036846256343
2010-10-01,0.0025878474028956065,0.009236105843946518
2011-01-01,0.05406643854594537,0.021029035329265255
2011-04-01,-0.06684931660683598,0.012313743021863388
2011-07-01,0.011013983149142531,0.008922156472058518
2011-10-01,0.00413861724782128,0.01166770276595841
2012-01-01,0.012093555265850795,-0.003666131856315147
2012-04-01,0.007602780504426204,0.006997750319827745
2012-07-01,-0.0027584947436093965,0.008290486402364294
2012-10-01,-0.0022956713779278383,0.009742668343179162
2013-01-01,0.0034165009205175184,0.0028239560278908726
2013-04-01,-0.01768856776197215,0.011020922979028569
2013-07-01,0.029367240723412007,0.009948659271961091
2013-10-01,0.010428667660683313,0.007772662048635581
2014-01-01,0.013385553295939333,-0.0038097360632640687
2014-04-01,0.01944028990695013,0.0166947227337797
2014-07-01,-0.018472199284705674,4.614236594875365e-4
2014-10-01,0.015728069491142856,-0.00862051821113674
2015-01-01,0.007626873807574414,0.01975042117043202
2015-04-01,3.2181063163326556e-4,0.014370702177043171
2015-07-01,0.009259338432683022,0.006173772845256664
2015-10-01,0.017267797506514047,0.006720702926926947
2016-01-01,-0.0010942046930663763,-0.023062376331077772
2016-04-01,-0.002846969046854712,6.20008239375025e-4
2016-07-01,0.01835044540503773,0.0199949721890178
2016-10-01,0.015632823419258493,0.008683400428799004
2017-01-01,0.0019492842850910535,0.01966477282656598
2017-04-01,0.02668537430384429,0.014605377246976303
2017-07-01,0.007344875865109295,4.931484523122975e-4
2017-10-01,0.007469065090360856,0.00571412324345566
2018-01-01,0.010397006783513312,0.011032349181531842
2018-04-01,0.020287700247840768,0.011351838673032688
2018-07-01,0.004391398136525568,0.0032534530570700326
2018-10-01,0.012772670668819581,0.004778768811009471
2019-01-01,6.875194490001557e-4,0.006473525446997641
2019-04-01,-0.013126802457845999,0.0254103164594337
2019-07-01,0.01940024799589356,-0.008318305755661726
2019-10-01,4.597327091295846e-4,-0.004046630372810611
2020-01-01,0.025091047032569588,-0.024591513890682037
2020-04-01,-0.04085504796073253,-0.10458112771133443
2020-07-01,0.057634714559761456,0.06110338885974187
2020-10-01,-0.030521976449842187,0.015138847933021893
2021-01-01,0.08029545828389337,0.046238606747396105
2021-04-01,0.04998955219391402,0.0030184018806185264
2021-07-01,-0.015163337436568721,0.015165317801672629
2021-10-01,-0.003705804901984932,0.011269669785415104
2022-01-01,-0.041736242793290364,-0.01274048323597654
2022-04-01,0.07378105943633859,0.015086281468535745
2022-07-01,-0.0020590930338130684,0.007873782280041652
2022-10-01,0.05554689687312092,8.706536954683486e-5
2023-01-01,-0.04820902027159696,0.013274714445007163
2023-04-01,0.03418427935639156,0.004559387433388906
2023-07-01,-0.011670501398311803,0.011765619327888999
2023-10-01,0.0022598406417224243,0.016367941433383493
2024-01-01,0.027207935870028635,-5.2851068518933175e-5
2024-04-01,-0.004203176194065355,0.006200415731690612
2024-07-01,0.022418249345407527,0.026969883816139628
2024-10-01,-0.03588470001940586,0.009945916616233674
2025-01-01,0.04564036848323315,-8.136592560514799e-4
2025-04-01,-9.452259912964641e-4,0.013409100211891456
2025-07-01,0.02397343680125471,0.013363543373651865
2025-10-01,-0.00757263574953653,0.012859487841616613
2026-01-01,0.0397068410221632,0.0019241842547970123
