,Evolution des prix des produits finis au cours des trois prochains mois,Evolution des prix des produits finis par rapport au mois précédent,Evolution des prix des produits finis au cours des trois prochains mois (2),Evolution des prix des produits finis par rapport au mois précédent (2),Evolution des prix des produits finis au cours des trois prochains mois (3),Evolution des prix des produits finis par rapport au mois précédent (3),Evolution des prix des produits finis au cours des trois prochains mois (4),Evolution des prix des produits finis par rapport au mois précédent (4),Evolution des prix des produits finis au cours des trois prochains mois (5),Evolution des prix des produits finis par rapport au mois précédent (5),Evolution des prix des produits finis au cours des trois prochains mois (6),Evolution des prix des produits finis par rapport au mois précédent (6),Exportation ANP,Importation ANP,PRODUITS FINIS DE CONSOMMATION 1000 DH,TOTAL EXPORTATIONS (1000),TOTAL IMPORTATIONS  (1000)
2023-07-01,8.6112,-6.1759,-4.7212,-13.9082,-27.2358,-39.8367,16.0422,14.0316,11.0637,8.3536,0.0,0.0,,,95771076.5901,248731801.1,415886427.3
2023-08-01,12.5392,-0.8895,7.9229,-10.1489,6.9419,-23.5823,7.9092,-14.5199,5.5749,8.3985,0.0,33.6883,,,108515813.4535,279671493.5,470461522.0
2023-09-01,-0.346,-1.0139,15.9534,-0.9076,35.7565,-11.4559,5.3994,16.0319,9.7147,5.1007,0.0,0.0,,,121817737.3764,314732058.8,528915755.0
2023-10-01,-1.8265,3.863,-12.0886,15.6604,-28.5351,32.4096,-4.1729,6.025,4.5214,9.2671,2.5727,0.0,,,135939342.7046,351662568.1,589152749.0
2023-11-01,3.1684,-1.2201,1.9141,8.5158,4.5451,19.2573,-6.5725,5.6035,11.1944,-0.6203,0.0,0.0,,,149403550.5575,392870727.9,651709397.0
2023-12-01,-5.4726,-12.557,-6.9431,1.9625,-23.1276,-1.9463,11.5207,28.2843,3.0503,-5.3387,13.4167,0.0,,,163233352.3571,430208823.0,715752153.0
2024-01-01,9.7486,5.9947,19.2642,16.2816,35.5325,39.3652,8.9348,-10.0145,7.8707,-1.3735,0.0,22.1832,,,12271677.2277,35110929.6,57861998.568
2024-02-01,6.7764,4.5778,18.2771,15.8822,7.8316,-1.9356,4.6954,8.8499,0.0,0.0,37.4672,32.2997,,,26453604.7514,74062858.2,115635361.858
2024-03-01,-1.7772,-7.8004,2.6702,9.9725,2.6671,23.0795,6.6542,10.4462,9.2693,8.0124,0.0,0.0,,,40857642.257,114361264.4,175614651.876
2024-04-01,-4.8884,-6.3413,10.9977,14.2501,3.6477,33.8011,42.7856,8.5094,7.5671,11.3376,12.4083,-12.4083,,,55947007.8452,152284902.2,241027718.839
2024-05-01,-7.1254,-13.6396,0.8875,11.1879,0.1737,23.9247,7.5986,19.2591,12.0409,3.8329,0.0,0.0,,,72480134.0536,193156074.5,308766938.212
2024-06-01,-3.6183,-9.7346,0.229,7.0097,2.0643,23.2273,-1.7992,0.8289,8.9462,-8.3178,0.0,0.0,,,85560930.7259,228974156.7,365665197.502
2024-07-01,-5.3672,5.0919,1.8124,19.8564,3.0739,38.125,9.8145,11.6097,1.029,9.1451,0.0,0.0,,,101591363.3404,263664689.0,425812596.298
2024-08-01,-6.7519,-12.7761,12.2534,15.9041,32.4409,35.4395,0.8056,17.7889,2.0497,8.7714,0.0,0.0,,,114885898.0,296371346.9,492015592.0
2024-09-01,-7.1145,-26.8278,15.9039,1.4595,33.4586,22.9449,3.6464,0.0921,-7.1283,-19.0394,59.8798,0.0,,,131900302.4326,334364543.5,557376923.997
2024-10-01,3.8814,-19.5124,11.6477,-5.2821,28.1287,-2.14,0.8109,2.7605,-9.1826,-0.7353,-9.3326,0.0,,,149665410.1868,375388794.6,622945748.955
2024-11-01,,,,,,,,,,,,,,,164913373.543,416149254.8,695069133.266
2024-12-01,,,,,,,,,,,,,,,182018433.9254,456341800.5,761272128.475
2025-01-01,,,,,,,,,,,,,,,13244602.83,35447523.35,59757493.103
2025-02-01,,,,,,,,,,,,,,,29617190.1087,73355066.16,124084446.741
2025-03-01,,,,,,,,,,,,,,,45051282.0,116864350.9,187409020.0
2025-04-01,,,,,,,,,,,,,,,63372838.0,155314337.0,262594262.0
2025-05-01,,,,,,,,,,,,,,,80600966.0,199730982.0,331446964.0
2025-06-01,,,,,,,,,,,,,,,97300442.7482,237304990.2,397887182.296
2025-07-01,,,,,,,,,,,,,,,115619402.6574,276175394.7,469564390.738
2025-08-01,,,,,,,,,,,,,,,130262701.1028,307957924.3,533241755.383
2025-09-01,,,,,,,,,,,,,,,149192304.1456,347083059.0,605359403.064
2025-10-01,,,,,,,,,,,,,,,168577034.6859,386391944.3,682042978.21
2025-11-01,,,,,,,,,,,,,,,186183920.8402,425227500.9,752183493.361
2025-12-01,,,,,,,,,,,,,,,203515256.0206,470047718.7,822333299.344
2026-01-01,,,,,,,,,,,,,,,15511145.0271,34493368.87,59977500.351
2026-02-01,,,,,,,,,,,,,,,32306371.7787,74451053.61,127101731.088
2026-03-01,,,,,,,,,,,,,,,51611421.478,120917692.4,208391260.583
2026-04-01,,,,,,,,,,,,,,,72974809.0,168856296.0,295901146.0
2026-05-01,,,,,,,,,,,,,,,89299800.0,211413853.0,370489665.0
