,Taux d’Utilisation des Capacités,Evolution de la production au cours des trois prochains mois,Evolution de la production par rapport au mois précédent,Evolution des nouvelles commandes par rapport au mois précédent,Evolution des ventes au cours des trois prochains mois,Evolution des ventes par rapport au mois précédent,Niveau des carnets de commandes par rapport au mois précédent,Niveau des stocks de PF,Evolution de la production au cours des trois prochains mois (2),Evolution de la production par rapport au mois précédent (2),Evolution des nouvelles commandes par rapport au mois précédent (2),Evolution des ventes au cours des trois prochains mois (2),Evolution des ventes par rapport au mois précédent (2),Niveau des carnets de commandes par rapport au mois précédent (2),Niveau des stocks de PF (2),Evolution de la production au cours des trois prochains mois (3),Evolution de la production par rapport au mois précédent (3),Evolution des nouvelles commandes par rapport au mois précédent (3),Evolution des ventes au cours des trois prochains mois (3),Evolution des ventes par rapport au mois précédent (3),Niveau des carnets de commandes par rapport au mois précédent (3),Niveau des stocks de PF (3),Evolution de la production au cours des trois prochains mois (4),Evolution de la production par rapport au mois précédent (4),Evolution des nouvelles commandes par rapport au mois précédent (4),Evolution des ventes au cours des trois prochains mois (4),Evolution des ventes par rapport au mois précédent (4),Niveau des carnets de commandes par rapport au mois précédent (4),Niveau des stocks de PF (4),Evolution de la production au cours des trois prochains mois (5),Evolution de la production par rapport au mois précédent (5),Evolution des nouvelles commandes par rapport au mois précédent (5),Evolution des ventes au cours des trois prochains mois (5),Evolution des ventes par rapport au mois précédent (5),Niveau des carnets de commandes par rapport au mois précédent (5),Niveau des stocks de PF (5),Evolution de la production au cours des trois prochains mois (6),Evolution de la production par rapport au mois précédent (6),Evolution des nouvelles commandes par rapport au mois précédent (6),Evolution des ventes au cours des trois prochains mois (6),Evolution des ventes par rapport au mois précédent (6),Niveau des carnets de commandes par rapport au mois précédent (6),Niveau des stocks de PF (6),Utilisation des capacités de production (cumulé),PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL,DEMI PRODUITS 
2010-11-01,74.3253,42.9071,-24.8004,-25.5556,32.5941,-27.1409,-19.9447,-2.2285,43.7287,-30.8675,-5.7668,59.1532,-14.4219,-15.1303,0.6558,39.3564,-37.9043,-11.8703,77.087,-13.8316,-17.194,2.9315,69.9441,-44.1712,28.4317,77.6817,-7.2685,-30.0067,3.7949,30.8741,-5.4163,10.7998,38.4673,3.626,-2.6765,3.786,26.7514,-1.1147,14.9476,19.9675,-3.154,39.4415,-13.3571,,,
2010-12-01,74.9201,36.2756,39.2482,29.7756,34.3924,47.7533,-10.6672,3.0146,55.593,20.6388,44.7965,52.2124,48.6916,2.0437,5.0718,71.067,30.0625,70.6566,68.1353,75.0903,20.1544,7.5012,59.1268,-29.9154,14.707,54.0613,10.815,-32.5653,-5.1923,7.5117,44.7604,44.9317,7.4835,54.4946,8.7847,-0.6697,66.5799,-17.8466,3.9721,55.3067,-36.6534,6.5056,26.1584,,,
2011-01-01,75.736,46.1263,14.671,6.9157,47.8031,18.2229,-3.7083,-1.6384,45.9721,17.1973,4.835,41.3081,-8.4925,4.373,11.6743,46.6159,12.9917,-22.516,45.2388,-46.8215,20.9744,35.4773,50.6505,31.892,51.5158,16.6636,44.7925,-37.0605,-28.4544,10.7161,2.9255,2.2546,21.5942,-14.4255,-8.595,-4.3351,62.7957,34.1197,72.3643,64.4843,25.093,32.0676,12.1618,,,
2011-02-01,72.6216,57.8705,-22.9978,-5.3754,60.1161,-20.126,-12.0888,-7.4577,43.0603,-31.8846,12.7859,59.7184,20.8215,-10.1296,13.2945,21.6182,-55.2714,37.4245,53.5385,55.1995,-5.8428,34.8119,75.3428,-7.2145,-33.4581,83.6111,-4.6506,-27.1728,2.7152,35.1811,-6.301,3.9908,43.2106,5.6975,-0.8216,-10.0618,60.4239,8.4543,37.1481,58.3587,24.3043,0.7568,-3.5265,,,
2011-03-01,75.6628,38.9851,53.6126,42.4281,51.2052,51.5734,-7.502,0.4448,20.9592,28.111,37.9451,51.8731,26.5431,-5.7572,16.4636,-12.7842,17.2716,43.811,47.2789,12.0428,-2.3818,33.8449,73.2379,17.1593,18.758,80.7677,14.4797,-30.4958,2.3057,39.4088,26.9501,15.9941,34.975,30.2526,9.8451,-10.3806,34.7532,30.8507,48.4049,32.714,52.8855,21.7907,20.737,,,
2011-04-01,73.6949,45.7398,-12.1157,17.4865,56.4217,-15.3856,-17.9617,-6.1441,62.6366,-33.0311,14.6904,66.0788,-7.3358,1.0824,-5.0314,71.5407,-39.75,42.1637,71.9232,9.6952,30.3367,-0.9115,82.6127,-58.5515,-36.3018,84.4773,-36.4254,-36.6635,-18.365,42.1662,-7.9685,-10.9152,40.8379,3.9881,-10.6653,-6.1347,41.5135,-32.9982,-32.8076,45.2277,-30.2066,-17.7971,4.5754,,,
2011-05-01,72.1804,32.8465,50.91,31.4325,43.9219,39.4828,-0.3954,-12.2998,44.1149,2.3015,31.6727,51.236,-5.8905,6.9703,-18.6219,44.8443,-37.9417,43.843,68.2792,-40.5986,27.1583,-31.6086,81.0445,25.9425,5.7895,39.2179,14.6709,-27.9155,-18.3568,33.7361,28.5141,18.8007,33.6288,-5.2603,1.2533,4.2134,5.6041,0.6631,25.5544,12.26,-0.478,-9.9667,20.2629,,,
2011-06-01,73.4053,27.5486,34.2469,33.9853,42.4751,45.3666,-5.3465,-4.5373,19.9813,24.1425,34.2678,28.8268,14.8941,3.7755,2.5739,7.5043,20.776,46.3348,31.2277,-5.9885,25.0817,-1.1131,72.0095,17.4972,11.0105,29.5888,36.5184,-33.0585,15.2738,-4.284,33.7899,25.6349,-4.643,10.9722,-8.7003,15.0639,-17.716,12.4735,13.3875,-10.5791,-7.6782,-11.0138,15.2007,,,
2011-07-01,75.9862,-0.869,22.3116,29.1366,27.7862,37.0424,-7.29,-3.4622,2.507,14.7833,-10.7885,24.9273,15.7526,-14.964,1.3397,-4.354,36.3911,-39.8484,27.5684,29.1436,-6.3656,0.9472,5.1296,-21.4045,-7.1198,12.8571,-11.0711,-31.2177,6.3211,12.2119,-10.0583,5.3826,13.5474,-6.3055,-15.673,4.9847,37.2723,-29.2996,-24.6816,36.4096,-57.3929,-54.4197,7.203,,,
2011-08-01,70.2542,10.2494,-1.281,25.1424,33.3948,7.2634,-5.1941,1.7797,47.9898,-24.2093,-8.836,56.8008,-37.4139,-18.3477,-0.4806,59.1151,-15.5008,-11.0501,62.5588,-59.5086,-22.5453,10.1522,74.7808,-64.9897,-61.2189,93.1373,-55.6354,-40.5415,-26.2227,46.1908,-40.2598,-13.3685,42.9817,-31.3778,-15.0622,9.7374,66.6501,-46.2014,3.7143,40.5777,-46.2014,4.357,-16.205,,,
