,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
2007-07-01,18487.6502,8808.7228,6816.8918,11578.4176,12155.5479,,,,,,,,,,,,,,,,,,,,,,,,,9522.4511,6262.3191,5143.9122,1182.4159,4739.201,1498.1107,8059.3365,1979.9973,6612.5585,4178.0607
2007-10-01,20658.7249,9787.2337,7308.402,11830.6811,13685.0357,,,,,,,,,,,,,,,,,,,,,,,,,11040.7569,6731.6924,5530.6516,1716.5331,4872.7684,1941.3364,8091.5437,2125.6359,7501.3499,4728.2641
2008-01-01,19402.0116,9459.959,8247.7108,12096.2571,15100.0253,,,,,,,,,,,,,,,,,,,,,,,,,10342.1109,6244.1423,5582.0323,1585.5476,5713.8386,2032.3261,8002.2459,2449.675,8730.7549,5267.9922
2008-04-01,18709.4755,9822.0089,8723.4984,12573.1461,15054.2928,,,,,,,,,,,,,,,,,,,,,,,,,10303.1143,5699.6774,5998.1147,1591.8428,6080.3677,2126.5038,8308.8681,2629.756,9033.7359,5181.6133
2008-07-01,18145.2563,9651.6448,8727.503,14545.5299,16257.5861,,,,,,,,,,,,,,,,,,,,,,,,,9849.258,5471.8161,6113.6872,1419.4547,6399.0478,1709.2519,10099.3942,2938.0153,10002.0913,5427.119
2008-10-01,17249.0265,9055.6482,8238.0779,14180.1026,17003.8339,,,,,,,,,,,,,,,,,,,,,,,,,9371.0379,5228.4552,4528.4558,2069.9332,5496.7159,2056.992,9028.0442,3534.4325,8645.7908,6328.4736
2009-01-01,17765.7666,9874.1836,8508.5261,13281.4787,15116.3628,,,,,,,,,,,,,,,,,,,,,,,,,9894.0423,5394.4132,4350.9837,2188.558,5193.1223,2050.2325,8403.5589,3533.5828,7862.5134,6395.2415
2009-04-01,19397.3491,10308.2466,9005.0916,14077.9285,17001.6307,,,,,,,,,,,,,,,,,,,,,,,,,10538.9391,6350.9901,4560.2991,2391.1561,5249.494,2487.7358,8521.0429,4109.7113,9340.3819,6681.7308
2009-07-01,21004.0668,10306.3482,9881.0616,15284.6067,18834.5087,,,,,,,,,,,,,,,,,,,,,,,,,11116.6777,6728.1379,5127.4404,2542.1674,4963.7732,3611.8798,9553.4868,4222.9187,10416.8836,7109.2395
2009-10-01,20515.9823,10631.7515,9910.1045,16170.5874,16311.7066,,,,,,,,,,,,,,,,,,,,,,,,,10494.8486,7482.2381,5100.2462,2762.5256,4499.5786,4068.8889,10120.5189,4574.4437,8347.4885,6752.2136
2010-01-01,20003.1322,10245.2456,10045.669,16897.986,16908.825,,,,,,,,,,,,,,,,,,,,,,,,,10092.2961,7500.9643,4580.4838,2773.3261,4385.2015,4301.1739,10728.6953,4766.6187,8851.7725,7015.7118
2010-04-01,19830.2493,9767.3783,10512.3476,18225.2212,17920.9576,,,,,,,,,,,,,,,,,,,,,,,,,11206.4944,6275.8824,4943.2394,1687.4026,5237.2303,3870.94,12017.1053,4704.1064,10690.3021,6045.9905
2010-07-01,21586.6331,9169.9278,10330.5811,15538.8849,18517.0665,,,,,,,,,,,,,,,,,,,,,,,,,13048.3351,6281.7886,5101.8622,1739.7377,5233.833,4397.5103,9752.3524,4437.8724,11080.9576,6131.3813
2010-10-01,23829.5006,8905.5859,10697.25,17426.5129,19745.5294,,,,,,,,,,,,,,,,,,,,,,,,,13529.433,7492.6363,4473.3909,2396.6208,4745.8932,5226.7507,9868.5006,6001.924,12528.1341,5852.5758
2011-01-01,23699.9246,9155.6653,10875.4362,16283.7991,17285.2775,,,,,,,,,,,,,,,,,,,,,,,,,13896.1809,7494.3118,4420.7012,2282.8189,5335.2196,4757.4925,9024.6094,6044.1401,11358.5505,4706.364
2011-04-01,26723.351,9964.4246,12309.0075,17565.8737,20537.6583,,,,,,,,,,,,,,,,,,,,,,,,,14971.6658,9247.5156,5349.3323,2051.0127,7429.4547,4241.5145,10215.9476,6038.3242,13518.0963,5690.7638
2011-07-01,27459.7862,10088.0291,12072.6123,17604.4835,21261.9106,,,,,,,,,,,,,,,,,,,,,,,,,16164.8286,8752.5282,5465.0729,2063.2951,7324.3478,4130.862,9993.0852,6313.638,14183.6171,5473.5046
2011-10-01,22170.4132,8634.7067,13374.7971,17701.2755,22343.7878,,,,,,,,,,,,,,,,,,,,,,,,,13110.0156,6780.7879,4176.4649,2273.8568,8294.659,4381.6849,10540.9459,5828.6796,13713.3323,7335.6268
2012-01-01,22952.3638,9008.6064,14899.3795,16925.04,23174.8131,,,,,,,,,,,,,,,,,,,,,,,,,13251.1701,7373.304,4453.6945,2301.5335,10509.2162,3632.8973,10431.376,5145.4241,14105.2598,7730.3247
