"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4,2024:1,2024:2,2024:3,2024:4,2025:1,2025:2,2025:3,2025:4,2026:1
Secteur primaire,,,,,1.5145911988667495,1.3970073090908295,1.535990938397548,1.3564310632711625,-1.9001618144349535,-2.1748447996244247,-2.3668042759671373,-2.3292137387429013,1.912516509838869,2.2694381555953154,2.0692194318979653,1.8077275278766252,0.5128797270871988,0.5622204467363227,0.4344469200592337,0.4885784280817517,-0.3630549339837209,-0.5257914397278022,-0.3715858503546722,-0.5088149603115936,-0.4804182473950041,-0.7406220024050858,-0.8228494683281345,-1.0568134172813817,1.7370540637433205,2.027734003502833,1.947192687344418,2.4501838933930213,-1.2991048797519427,-1.4875338494593962,-1.5730391997979476,-1.3081885723993887,0.16666042181949275,0.15955720293094236,0.3288007231504992,0.013521538490523087,-0.5356738455854223,-0.6076130808728913,-0.5247359182056445,-0.6047767147996507,0.8401421752238526,0.7983030486594691,0.624298579992762,0.7547085008562263,1.9093892845544518
Agriculture,,,,,1.4133016548885655,1.3969564940817671,1.498491851112754,1.3347318151338299,-1.9683811045210682,-2.1918733018857184,-2.359499881008768,-2.329919531628896,2.0204171949891903,2.3209096246828946,2.067483149176746,1.900173630920083,0.6381342699114244,0.6359635580690517,0.5474385315063552,0.5232184542556362,-0.52876177313531,-0.5700427881786166,-0.5365038315070865,-0.5090092454007915,-0.5246951358826493,-0.7396743872459611,-1.0657062559740718,-1.0360774784112783,1.7156220759972858,1.8784995396607889,2.103729307526722,2.245084457888155,-1.2034449073053308,-1.3528810611239384,-1.2924806928774037,-1.235218265280979,0.19084088727378573,0.14710986024325395,0.09333378101207386,0.10730716554643545,-0.6069322037690843,-0.5698273804800731,-0.6361515838155484,-0.6255537721570481,0.8467753194939129,0.8341773358817911,0.7922965757423885,0.8232516695098329,1.9382540844131386
Pêche,,,,,0.09793619892590731,0.0028789112405141998,0.03396760315862899,0.02115838407153662,0.06122091205160951,0.016397456666171945,-0.008559330822948703,0.007737299343678374,-0.08282099747752962,-0.05933688213415009,0.0022920844761158683,-0.11050720376397914,-0.11941862239934557,-0.06424115302882681,-0.1143142893160704,-0.04320212985437132,0.17584503112372787,0.04822522836753119,0.17081701866958696,-0.0034300590539108585,0.04294704622762994,-0.0017941632861038631,0.22728497850492843,-0.016514554515085378,0.01089933843931533,0.14946805900524163,-0.13386500487163702,0.20572973888227564,-0.09726060198620963,-0.13325936647731007,-0.282316625222919,-0.07297148303704303,-0.027649896321943482,0.012127175755653419,0.22455608445013536,-0.09022918959307355,0.08877202749575694,-0.03787509333254979,0.10500551442893569,0.01831474633417889,-0.005471884680227073,-0.042649861920376606,-0.14923430507120217,-0.0693366947341316,-0.01020812620322484
Secteur secondaire,,,,,-0.05846102713905814,0.13246885028737732,0.3815368037007095,1.3705187834939125,0.8781792915545241,0.12661592249872355,0.4431159440587731,0.497486579221006,0.6260772089383054,1.405412901552729,0.6902977022276173,0.7656438599730339,1.0480887027576014,0.5156816700352758,0.9184492936177124,0.7192775436925513,0.7505471005857381,1.554155915517648,1.0140383786676364,0.7906996779308364,0.29138624782383077,-4.022868186894112,-1.001550855965697,-0.4964624756789768,0.5578236075623688,4.76777882652434,1.541979277140158,1.5891527815841653,-0.4000434065927817,0.2012354074678935,-0.2990478554319993,-1.1072751973430444,-0.42380347096958176,-0.8217131978399724,0.11092528744136165,2.0187978966938807,0.7075112298687884,0.6854423257320575,1.6396600279376365,0.8467584337661676,0.7478543447455768,1.4763615011634663,0.6166496056044865,0.5721688555710265,-0.26121519268452337
Industrie d’extraction,,,,,-0.09159042307283288,-0.026324023102631232,0.0618077062902684,0.11213996557555769,0.13212677165826892,0.03507214140072471,0.02975923106367417,0.10424119258687557,0.10117074283214432,0.3262755992020068,0.20841952475415534,0.17279020194410233,0.09704206696659828,-0.06353950640475381,-0.027553560866119948,-0.05525792493639295,0.05859557156082302,0.004426184695083117,0.04395512055566574,0.05311185973012275,-0.0076369546081236275,0.06852842409057748,0.032476212048752735,0.07639157660860742,0.12705827981159062,0.09425503864565073,0.13079804487170174,0.06845237627152638,-0.24493937008803152,-0.327531995046331,-0.4499269999917754,-0.7490088846676836,-0.5873116955278637,-0.4313660589380504,-0.12396962829817139,0.5824221123028075,0.2971341257143043,0.26801163755011437,0.19692898838871611,-0.0030517323363215654,0.16429126948869008,0.2642048944488295,0.17692837142234452,-0.023897769327539627,-0.05881412187482868
Industrie de transformation,,,,,-0.007810563967565501,0.085224672236853,0.1315784694806251,0.762196847061854,0.23794160817881727,-0.20572634265919754,0.04419379566728109,0.31951615441540665,0.5157624749020292,0.8929107373612818,0.3645787200691096,0.2366031367053484,0.4397156646477077,0.16131819558047844,0.6258667819214624,0.6229884966868515,0.3527156094174934,0.9809074768209879,0.41371893466505366,0.27129168622241084,0.16188834868478993,-3.173356104408431,-0.6558498179503037,-0.6836292440807411,0.34771635302712,3.4366786386836936,0.792551260802797,1.1553203490661261,-0.06505308128387183,0.7070335144770618,0.5950742594544113,0.27921823905085247,0.5767617212376893,-0.13131639583951227,0.3054548963151935,1.274292962525263,0.07246993183490578,0.21277231035147937,0.8224240282069925,0.18476954784144736,0.15314766992518503,0.6606672336805672,0.06140221271939118,0.30880824833220655,-0.19636716058958786
Fabrication de produits alimentaires et de boissons,,,,,0.010432393527338314,0.10283562549485002,0.10980085688493936,0.218384854545092,0.13659619062873396,-0.0699643198061598,0.048026571089104624,0.10163040069052011,0.3919538478884914,0.3378745577539646,0.21303750706668045,0.013224903740596828,-0.062150856544992424,0.005473579347931509,0.1685526660967927,0.3073843209712761,0.024222181684355054,0.20022163630600837,0.060458727180630556,-0.009661954967303899,0.2611201912419717,-0.022869556858411463,-0.16144041586028696,-0.04964330907332414,0.03841024755848867,0.10918907796756828,0.22800180823972285,0.2750698215948518,0.02387062716197386,0.3197150439213902,0.36946581343271834,0.266934615435672,0.25273713815153687,0.04297302520060936,0.10306482673333185,-0.019512918741367985,0.011008451963903808,-0.35127207207863603,0.17417340604546735,0.032444341141446335,-0.11882898195337806,0.19797628652819715,0.15688742656882498,0.3269262200980493,-0.14704940178233228
"Fabrication de textiles, d’articles d’habillement, de cuir et d’articles de cuir",,,,,-0.010242138822301582,-0.11106259072803872,0.01009166614333003,0.0006870512594215279,0.011897963996676387,0.08598842448728991,-0.07257991724625183,0.13400944061489933,0.0017978863392139096,0.007406949908662384,-0.01346335946026075,-0.017145014915788744,-0.011238703988048711,-0.04686309432446642,0.11575842286157706,0.040366748589238416,-0.004771787587023628,0.1412079704775402,-0.027219025659088947,-0.013376596091656055,-0.0738080347358841,-0.8564254064599207,-0.19537784460028454,-0.40584348881558097,0.01894416644995558,0.7222579194050844,0.0989963445994878,0.13807690882175566,0.09795244751911647,0.230067482205306,0.09229053646881044,0.23000465030575712,0.0026890201533529812,0.006415371541729632,-0.06491438534236135,-0.05337510928377476,-0.10309439845315606,-0.06078384182191615,0.11837786960366901,-0.01690245989196876,0.048891749446711714,-0.09147664685659748,-0.001421528030992277,0.0038134024558515783,-0.06348653546532362
Fabrication d’articles en bois et en papier; imprimerie et reproduction de supports,,,,,-0.004382524832584611,0.0280858097869754,-0.032179421089851695,0.04998751037163335,0.01280360460495952,0.005347865156446158,0.043839943292487187,0.04764330328619413,0.03924650096505279,0.00818946394337834,-0.01653550355442489,-0.02681251166672731,0.008125569648503446,0.03636594917628569,0.02302727774428299,0.017364495488115333,-0.014131235243985425,0.005172587189953343,0.011628568827693692,0.004133615945508407,0.02570244300220363,-0.13964130034595365,-0.060937684066099854,-0.008956452534853495,0.009637793719584694,0.09444264260608062,0.05863074618979406,0.034596935518121825,-0.017182070146655137,0.03816989205195963,-0.011235363491507699,-0.033581258456586924,-0.017975853873365356,-0.0012580392671416411,0.004828160946622232,0.003095905112312345,0.019396320550606236,0.0012407111466376907,0.014619149958819425,0.03617947303586827,-0.002631468180865286,0.019072743873421276,-0.010006013033823414,-0.0024237220410488706,-0.01187134418505428
Cokéfaction et fabrication de produits pétroliers raffinés ,,,,,-0.04676783942049678,-0.05558733257226321,-0.06740605316164248,-0.06843093473936149,-0.0925422702115816,-0.08967368473725223,-0.06662907452158638,-0.04381611668206914,-9.302003451156506e-05,-9.233397987925732e-05,-9.054492213737002e-05,-8.972593813944922e-05,8.840071480708213e-05,8.670629236461172e-05,8.632347552054896e-05,8.674768111366201e-05,0,0,0,0,-2.483018649502693e-10,-2.561930922773689e-10,-2.717040638728188e-10,-2.9405843845914785e-10,0,0,0,0,0.00010342206451024171,8.961094436018318e-05,7.145836182508857e-05,5.065074332771601e-05,1.4559957821021277e-06,-4.129894795598428e-07,-3.2719325563552105e-07,-2.3009919543377478e-07,-0.00019742515310473222,5.660613441570705e-05,4.666087176190338e-05,3.3926747844639886e-05,0,0,0,0,2.6055858308052413e-06
