Utilisation des produits de la mer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0
,Poisson blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 410,688,0,0,585,23 767,1 245 209,28 297,1 798 229,741 021,890 514,
,poisson pélagique ,5 869 417,3 969 339,3 294 980,2 459 107,6 729 074,6 030 639,5 626 695,6 016 336,12 425 611,9 297 725,1 873 010,3 305 069,2 192 433,3 263 302,2 456 600,5 789 904,5 148 487,9 408 893,18 231 886,25 976 582,12 618 473,16 376 626,27 774 969,121 932 670,160 295 297,194 333 072,210 105 380,191 453 301,
,Céphalopodes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 928 271,16 234 631,31 899 287,46 872 677,35 542 199,41 434 131,18 733 717,12 184 990,19 781 670,21 072 297,15 693 876,26 974 480,26 838 951,15 709 509,
,Crustacés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 824,0,0,0,0,0,0,0,0,0,681 846,469 202,8 320,0,
,Coquillage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Algues ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Industrie de Farine et Huile de Poisson,Total ,140 917 651,145 141 070,81 193 218,127 846 474,122 339 256,176 494 265,157 522 565,155 798 098,158 837 160,116 977 154,199 843 766,311 793 343,385 264 615,209 173 449,354 910 212,253 104 536,222 233 254,321 528 082,505 692 240,365 384 619,301 304 040,360 390 862,340 563 265,138 210 377,179 414 592,259 897 428,343 536 484,277 976 913,190117000.0
,Poisson blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 880,0,8 640,0,80 660,
,poisson pélagique ,140 917 651,145 141 070,81 193 218,127 846 474,122 339 256,176 494 265,157 522 565,155 798 098,158 837 160,116 977 154,199 843 766,311 793 343,385 264 615,209 173 449,354 910 212,253 104 536,222 233 254,321 528 082,505 692 240,365 345 549,301 304 040,360 390 862,340 563 265,138 187 497,179 414 592,259 888 788,343 536 484,277 896 253,
,Céphalopodes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39 070,0,0,0,0,0,0,0,0,
,Crustacés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Coquillage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Algues ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Salaison,Total ,4700190,4796320,615380,579807,181740,175470,172200,24180,39240,1505730,0,0,0,0,23447,84373,446462,1413272,5673791,5774369,2764944,1287829,1425619,1541848,2524345,9281392,9282262,7367808,2495000.0
,Poisson blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,poisson pélagique ,4 700 190,4 796 320,615 380,579 807,181 740,175 470,172 200,24 180,39 240,1 505 730,0,0,0,0,23 447,84 373,446 462,1 413 272,5 673 791,5 774 369,2 764 944,1 287 829,1 425 619,1 541 848,2 524 345,9 281 392,9 282 262,7 367 808,
,Céphalopodes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Crustacés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Coquillage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Algues ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Appât,Total ,0,0,0,0,0,247736,1666183,1254480,1717232,2476848,1718958,3447029,3600419,4546442,2374409,2204047,3833476,2648756,6216252,8150509,9645234,11227051,6156339,4938183,4530884,4614025,6004533,3925265,3220000.0
,Poisson blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,poisson pélagique ,0,0,0,0,0,247 736,1 666 183,1 254 480,1 717 232,2 476 848,1 718 958,3 447 029,3 600 419,4 546 442,2 374 409,2 204 047,3 833 476,2 648 756,6 216 252,8 150 509,9 645 234,11 227 051,6 156 339,4 938 183,4 530 884,4 614 025,6 004 533,3 925 265,
,Céphalopodes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Crustacés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Coquillage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Algues ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
