,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1991M09-1992M08,1992M09-1993M08,1993M09-1994M08,1994M09-1995M08,1995M09-1996M08,1996M09-1997M08,1997M09-1998M08,1998M09-1999M08,1999M09-2000M08,2000M09-2001M08,2001M09-2002M08,2002M09-2003M08,2003M09-2004M08,2004M09-2005M08,2005M09-2006M08,2006M09-2007M08,2007M09-2008M09
,NB: Les codes des séries ci-dessous ont été supprimés de la base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Agadir, Maroc, A",2772.0,40.0,26.0,24.0,37.0,22.0,30.0,25.0,43.0,46.0,50.0,27.0,36.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Al Hoceïma, Maroc, A",2774.0,68.0,38.0,60.0,50.0,56.0,63.0,58.0,61.0,55.0,66.0,64.0,69.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Beni Mellal, Maroc, A",2792.0,58.0,41.0,63.0,54.0,42.0,62.0,61.0,60.0,50.0,72.0,61.0,56.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Casablanca, Maroc, A",2794.0,62.0,47.0,65.0,68.0,79.0,71.0,70.0,83.0,71.0,75.0,59.0,73.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Ed-Dakhla, Maroc, A",2798.0,,15.0,8.0,7.0,3.0,5.0,8.0,14.0,17.0,17.0,13.0,12.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Errachidia, Maroc, A",2797.0,44.0,20.0,36.0,17.0,24.0,38.0,21.0,32.0,30.0,54.0,47.0,44.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Essaouira, Maroc, A",2801.0,39.0,31.0,35.0,51.0,50.0,47.0,43.0,53.0,47.0,53.0,38.0,44.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Fés, Maroc, A",2811.0,81.0,61.0,77.0,71.0,75.0,83.0,83.0,73.0,72.0,73.0,70.0,81.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Ifrane, Maroc, A",2813.0,95.0,84.0,87.0,89.0,85.0,114.0,114.0,93.0,72.0,113.0,92.0,98.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Kenitra, Maroc, A",2814.0,66.0,59.0,75.0,74.0,85.0,89.0,81.0,97.0,73.0,85.0,68.0,79.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Laâyoune, Maroc, A",2834.0,21.0,22.0,24.0,27.0,17.0,21.0,18.0,32.0,27.0,37.0,18.0,22.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Larache, Maroc, A",2833.0,82.0,71.0,64.0,73.0,106.0,82.0,80.0,102.0,83.0,83.0,91.0,80.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Marrackech, Maroc, A",2832.0,51.0,29.0,49.0,30.0,41.0,54.0,42.0,46.0,54.0,52.0,39.0,49.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Meknès, Maroc, A",2831.0,79.0,58.0,73.0,68.0,73.0,82.0,88.0,80.0,68.0,82.0,76.0,80.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Midelt, Maroc, A",2812.0,53.0,39.0,67.0,55.0,41.0,71.0,59.0,61.0,50.0,91.0,72.0,74.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Nador, Maroc, A",2802.0,61.0,38.0,59.0,39.0,52.0,70.0,69.0,73.0,,67.0,76.0,76.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Ouarzazate, Maroc, A",2800.0,33.0,32.0,34.0,26.0,15.0,38.0,25.0,33.0,35.0,57.0,,53.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Oujda, Maroc, A",2796.0,60.0,49.0,75.0,44.0,56.0,68.0,70.0,71.0,63.0,65.0,78.0,75.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Rabat, Maroc, A",2795.0,63.0,62.0,66.0,66.0,79.0,77.0,76.0,86.0,64.0,74.0,63.0,64.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Safi, Maroc, A",2793.0,53.0,47.0,51.0,52.0,54.0,15.0,58.0,68.0,58.0,74.0,49.0,55.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Tanger, Maroc, A",2791.0,80.0,71.0,67.0,69.0,100.0,78.0,80.0,92.0,92.0,92.0,83.0,80.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Taza, Maroc, A",2773.0,76.0,60.0,76.0,63.0,72.0,80.0,75.0,75.0,74.0,83.0,82.0,85.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Tétouan, Maroc, A",2771.0,79.0,73.0,79.0,69.0,86.0,81.0,74.0,95.0,78.0,110.0,78.0,95.0,,,,,,,,,,,,,,,,,
,"Précipitations en nombre de jours, Maroc, A",2912.0,61.09090909090909,46.65217391304348,57.130434782608695,52.130434782608695,57.08695652173913,61.69565217391305,59.91304347826087,66.21739130434783,58.13636363636363,70.65217391304348,61.09090909090909,64.34782608695652,,,,,,,,,,,,,,,,,
