PIB trimestriel SCN93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aux prix chaînés 1998, CVS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
 Branche fictive  ,-4014.135,-4044.304,-4092.93,-4151.631,-4185.317,-4226.767,-4259.776,-4313.14,-4236.932,-4271.047,-4311.871,-4371.149,-4506.667,-4526.83,-4506.002,-4509.501,-4433.552,-4393.056,-4516.814,-4497.579,-4565.839,-4595.064,-4620.135,-4698.961,-4783.832,-4831.195,-4897.982,-4964.991,-5084.909,-5274.291,-5472.095,-5399.705,-5528.063,-5647.345,-5845.913,-6098.679,-6373.129,-6595.768,-6882.9,-7303.204,-6611,-6862,-7083,-7460,-6820,-7006.101999999999,-7192,-7420,-6700,-6901,-7009,-7202,-7170.41,-7407.9421,-7563.2438,-7983.41,-7403.6,-7686.75797654,-7689.8769011800005,-8088.6,-7258.55656,-7515.344734516539,-7519.235765771299,-7997.66574,-7172.179736936,-7463,-7474,-7949.67974556
 Valeur ajoutée au prix de base  ,83913.20013403599,84957.92065159278,85193.62979118331,86715.24443627497,82161.41088011416,84705.29837221347,86697.27257709413,87736.01817057833,86293.15388841448,85400.04310891734,87868.2655732315,88105.99234969479,92150.45,92574.42340599395,93485.35279331407,95371.08321446854,94880.36616151217,95682.33182437505,96512.14628399862,97735.5704599963,99047.8401591438,105156.12231881662,103961.47866510908,104028.65356216651,105209,109210.25981495924,108270.86965417507,109586.26581180391,108135.01127602787,110167.63085670055,112761.93259028778,114375.10060800551,116523.4885641019,120047.75595612427,119161.46,122724.82340007585,119320.26659532219,121311.61875708785,122625.09962448715,123807.97798039138,126326.68322237051,128086.71775706022,130384.4384547258,129820.71273826147,128227.36630738752,134660.5633033541,134851.827503577,141562.10571998946,134386.3,138600.4,140188.7811462793,143637.99266492782,142448.11530828156,145343.30929769392,147410.30257982295,150795.71759151982,146328.8815751538,148979.09084866723,151628.4690915486,153426.74673637265,151720.50519429112,156337.80497776024,157448.27141122028,160386.41841672838,154692.3050997078,159944.4158873915,161999.44896492088,
 Impôts sur les produits net des subventions  ,11345.81640247186,10649.93031195388,10403.65867688565,11205.59460868861,10915.08868850709,11406.21419424193,11539.962380024688,11258.73473722629,10866.4232326792,10442.24229847417,12336.420397969398,11233.91407087723,10904,12873,12032,12811,12329,12641,13032,13426,13047.991213881443,12445.885125307685,12830.203484576123,13076.920176234755,13577.976516537836,13721.340505131635,14171.452197713466,12083.230780617065,13374,13677,13779,14003,14795.75,15340.75,15258.75,15372.75,16576,17228,16495,16912,17563,18270,17341,17423,18261,18828,18470,18305,19504.44532,20064.010924000002,19676.653347999996,19589.95512,20213,20496.323784072003,20370,19870.076404800002,21390,21703,21336.5,20855.5,22481.9,23090.234197140686,22796.111557210428,22064.692075295676,23077.707521,23940.557175204485,23389.367135005938,22596.4976587367
 Produit intérieur brut  ,95259.01653650784,95607.85096354666,95597.28846806896,97920.83904496358,93076.49956862125,96111.51256645539,98237.23495711884,98994.7529078046,97175.62871706982,95869.98826102748,100188.00723399027,99341.74843463325,103089.2212329274,105435.80619336937,105526.67626914861,108168.59723793693,107214.4444444,108330.79828567144,109537.1129084993,111140.01483381099,112090.75597873516,117691.22052331692,116849.36083673072,117146.17460439069,118800,122973.58639427918,122450.97751764911,121817.53671975648,121576.22587754944,123901.25142992694,126635.3694767864,128412.17130767499,131367,135420.06273333394,134467.7483418509,138110.12831238774,135821,138423.46276190237,139101.06388740498,140613.6348806913,143813,146229.71838747727,147716.17781285004,147148.99053145284,146333.80915492508,153418.5794448396,153222.7746543547,159766,153711.90083663474,158547.6276335909,159740.6438231022,163062.82413555632,162707.10109041492,165609.90308605356,167692.7308397653,170715.4348156704,167505.8618081407,170148.15124138579,172743.07240616466,174123.91454430885,173855.3754539068,178734.17936298792,179746.14257167326,182177.70712874449,177362.3343362762,183067.20291256573,184011.11465904283,185404.22081155053
PIB hors agricole,79169.13772757654,79340.53905562416,80145.21746691107,81544.10076297527,79229.82496170727,83115.02654159382,84682.90809417881,85665.2404025202,85214.826726677,85296.5760536939,88159.42316542973,87991.4368395688,89411.5886866045,91762.21263242846,91638.16884602144,93452.20857075532,92129.52638830947,93457.50756665997,94637.49674164694,95520.46737112368,95575.08885650423,96473.12460785938,98120.023178261,99077.35270744302,100614.59074474162,101358.9284984098,102987.86473253169,102702.11818906205,104650.48787190136,106909.75399850006,108732.9510548379,110151.41929694991,110981.40368165953,113622.7719324823,113593.17199993454,115405.97935941079,117870.09060694132,121363.85232147945,120907.1851781296,123169.22714425495,124085.57396696451,126181.34246534668,127257.66469652278,126263.65242099125,122070.21664354923,127127.66858987678,128069.52392923408,132890.85500760295,129262.88602434298,132794.58499756228,134394.05152676348,136718.563495216,136656.70796812393,138598.1691721378,140896.76067628976,143119.49062074866,142742.21561291855,144865.4788985444,147484.00332869028,148951.30215984682,145761,149086.0078606642,150388.19760877057,152338.0228193663,149599.46408603154,153782.38095331605,155809.92229862476,155842.20242668947
PIB hors primaire,77993.0320128487,78167.09617524136,78970.91022546751,80336.95659952948,78007.41503076373,81846.63671786057,83422.01722148055,84343.93102989528,83848.78505448706,83917.7208236693,86778.12910250276,86545.04796609994,87983.18223557576,90374.92174529712,90251.43168409646,92225.34590277223,91053.24453895508,92612.69442367561,93791.50652461918,94741.96052469859,94962.96830025101,95748.67960972276,97536.60476194418,98488.04072259748,100200.30169640272,100783.66020618453,102439.14621019473,102117.1809172083,104110.93575842289,106027.29352758186,107953.32463407565,109361.34190263876,110484.67647666184,112837.90740617944,113338.13436259063,115317.52115597471,117692.90519312577,120719.07446145867,120912.19167121664,123230.19215118657,123846.6718931597,125908.70673343228,126801.68409466984,125625.77331164753,121614.01674099386,126603.4633979323,127436.85428192193,132158.35666531516,129101.71338280581,132692.59655975894,133753.89733638,135879.43612643686,136403.39398430026,138327.0972833996,140503.7317696392,142557.9428401161,142713.53830799676,144349.80961721228,146950.92589816256,147843.72617662844,145269,148360.0974595629,149644.2790251493,151194.75480640278,149420.72502922133,,,
valeur ajoutée hors agriculture (non compris DTS),67823.32132510468,68690.60874367028,69741.55879002542,70338.50615428666,68314.73627320018,71708.8123473519,73142.94571415412,74406.5056652939,74326.40523414852,74822.87638747747,75830.91915481,76749.6538869388,78468.91890820491,78903.50665740875,79593.04635973964,80655.2752350353,79802.26669288674,80814.38595679156,81612.036830292,82119.26101133498,82548.1319006994,83982.02896185558,85249.49087181507,85969.04598276402,87043.26272053382,87651.27600177925,88839.6494474657,90452.2903352891,91183.76019034865,93143.52957123621,94826.76315800978,96101.60390275191,96154.18170845312,98272.83169182809,98291.68808592772,100055.98275956538,101368.30418551264,104229.37051741347,104397.08166760376,106340.6825036857,106610.59652926403,108038.92208530518,109899.08267824638,108933.06016312847,104110.07406473314,108517.05774032562,109793.02145951017,114676.74428218817,110105.02461642625,113019.57010517291,114964.28356552147,117321.5683456317,116702.7445383664,118288.8744118145,120720.94908222492,123302.45495394077,121728.53313934471,123494.76804009534,126356.44897189258,128218.24984866737,123975,126699.38784476949,128294.05584768024,130736.95970236229,127237.48992638076,130616.05778134306,133060.09602955927,133729.02614961858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147641,154521,153412,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMP,27600.4572383473,26077.1353128025,27073.0080039783,27282.399444872,28240.8389521735,29718.0964052702,28970.3144278326,28743.7502147237,30672.9118710422,31575.0291047273,31140.3456735185,31085.413350712,27965.5166808946,30586.1858846655,31046.4239843212,36574.7734501187,33502.1062312506,32757.4799768888,33769.5543278461,34267.9594640146,36523.5956646858,34276.2378777448,36377.3845845791,36627.4818729904,39089.5815530746,39541.6718363422,38904.6590332382,40449.287577345,41539.4615063716,43419.5442995141,44583.9399130537,43662.7542810606,45756.722669852,47564.072027428,47968.5263159634,46047.5789867565,52116.5026470029,52419.7335875539,52878.4930933816,58073.7706720616,60065.5610534428,60044.7686213438,63933.8586869105,57717.811638303,54554.8003360206,57578.4191323974,56634.6857051811,58457.0948264009,57916.7751119843,56430.1951819746,57537.9283756518,62828.1013303893,62525.7114066546,62458.5914264646,61921.764691844,60247.3324750369,64469.3618772571,64025.5255180204,62320.734580359,61245.3780243634,61615.1835330276,63655.2891013584,63591,58766,,,,
CF MENAGES,58708,58352,57657,59643,59278,58592,57700,57808,59982,60004,59157,57559,59463,60941,61337,60492,61680,61255,63268,64714,67535,66620,66991,68193,70438,71350,70293,70334,70119,73172,73612,72007,76351,76125,78674,77635,76673,79388,80354,83966,84380,84571,85279,85360,89890,90608,85657,89006,91078,90459,89438,91848,94722.7122539842,96482.6618646817,99011.5627944536,99622,98525.6866143867,99868.58745614797,102377.95592946502,103108.76999999999,101504.679423787,102545,106165.94029885522,108161.09972999999,,,,
CF AP,15594.37,15926.21,16199.55,16569.87,16936.5,17120.07,17071.74,17321.69,17232.06,17300.86,17325.75,17419.33,17975.13,18136.96,18113.01,18295.9,18061.79,18053.88,18428.61,18397.72,18521.42,18641.08,18678.13,18695.36,19204.14,19360.43,19532.11,19681.31,19841.6,20070.53,20315.98,20301.89,20528.69,20562.92,20854.17,20888.23,21252.96,21507.51,21716.56,21924.97,22206.95,22347.08,22770.38,23265.59,25068,25307,25553,25587,25197,24994,25099,25287,26732.1,26465.43,26202.39,25757.08,28665.59,28430.92,28315.87,28095.63,30054.939571829786,29781.18,29519.47,29152.79,,,,
FBC,24395.03510452016,23462.092377530036,21787.027951587366,30289.83957944962,20323.403824052588,25256.08126710819,25714.48002911011,25837.0348797292,25250.44207149003,25319.653918425603,24978.340974833274,23532.5630352511,25366.54890917229,28450.08893972158,25325.51995899407,29419.84219211206,29978.66690225817,29242.968976046042,27661.079332348887,27708.284789346908,31496.31007268176,33971.22134114898,35719.11849510566,34721.34009106359,37207.63493361345,37547.76253735395,35758.24495018856,38731.183098844034,37894.17510439098,37662.677485155466,37175.68010113441,34438.883249319166,38068.93623390635,40489.85185751521,39539.328465795064,41817.82765978337,39868.38343415651,44905.83582220431,45494.780699119605,50555.41821851957,47713.489704540145,52140.93363306921,53087.94925954596,51064.627402844686,50147.50797094962,50103.495863836615,51690.05853956625,60921.312631481,50492.97400041672,53342.666776171194,54457.8327321026,51434.56484601673,53740.211783787934,54351.25612500927,53752.71049413181,52590.67,55149.68,56856.33358,55155.7630587783,52184.607508,54063.4010606208,58202.99268510599,55452.02407520799,51412.422798096,,,,
EXP,24459.3613057774,24645.0752364287,27454.6560293009,17275.907428493,24687.1027016279,26057.6071019555,26201.3652899756,26187.924906441,27324.8429985493,27220.1624378141,28553.8426793963,28862.1518842404,28078.95418732,30296.2082550915,30881.0741738646,37380.7633837239,31499.706937219,33585.9705460677,34321.091568275,34389.2309484383,32986.4250706321,33736.5288931079,34722.1518934352,33210.8941428248,35417.4602992544,34365.8121145344,35530.7017724966,37790.0258137146,38641.3297450751,39228.9977854584,41175.0371545563,43080.6353149101,44339.3059398677,49107.0534277596,44709.6993869986,42809.9412453741,47742.5513458268,45801.9267909652,46769.5439618343,50042.9779013737,52233.0094785769,53538.9467056729,52598.4683094435,45813.5755063068,41320.0528410505,41627.2795649172,43390.137144337,47698.5304496953,49504.5855630594,47932.7460935703,47760.0235855411,57128.6447578293,53772.7043727165,51253.6007355925,50357.4063402973,51885.2885513937,54219.9934865686,51764.1407674701,52374.4581644017,54575.4075815596,53899.1140691847,54420,55303,56210,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50222.41,51004.11,49911.81,49190.67,52148.68,51046.33358,51875.206959999996,48984.607508,51731.6240606208,52102.99268510599,53032.02407520799,,,,,
