PIB trimestriel SCN93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aux prix chaînés 1998, CVS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,16089.8788089313,16267.3119079225,15452.0710011579,16376.7382819883,13846.67460691398,12996.48602486157,13554.32686294002,13329.51250528443,12045.14495239318,10654.76762080381,12090.19774011903,11420.88968668397,13764.4456859722,13754.02815560986,13945.38635424161,14774.92886667634,15188.92752462824,14970.81922717481,14966.34762907032,15686.90561912664,16670,21617,18958,18226,18449.357393690698,21947,19678.1512930088,19327,16800.8337808476,16220.95153095047,17616.864080205,18055.3506079969,20628.878376029403,21534.2495651103,20901.240478910702,23020.6315799496,17680.4230335358,15943.49721444781,17682.406402648296,16879.67334936815,19529.289301269077,19123.449365963723,20054.996310296323,20610.650022470876,24741.878039856125,26124.04547238017,25320.026800687767,27264.52469707592,24623.815039609373,25164.152148515626,25262.168554453125,26451.864257421876,26083.546875,26695.578125,26783.015625,27595.859375,24245.9330263019,24329.264705935602,24640.7114180112,24450.0908497511,28066.1721265092,29239.4603375102,29255.3712958643,29636.896240116002,27560,28668,28797,29236
Pêche,1176.10571472785,1173.44288038281,1174.30724144356,1207.14416344579,1222.40993094356,1268.38982373326,1260.89087269826,1321.30937262492,1373.18094079324,1389.5732545645,1390.79923464846,1458.6935549938,1436,1401,1397.83406737113,1247.98393646882,1154.84153532395,961.447170751248,964.395844916397,887.299516008403,873.236549143137,897.637506276037,811.617183227482,780.644044353344,762.911601353261,817.079439898804,808.814466545598,791.677859202337,865.75,1044.75,986.75,956.75,871,1015,683,543,738,981,580,497,803.43560371663,819.057751770619,843.134830752563,862.3718137601891,905.078524040136,953.558435977639,937.698289230522,938.664750751703,719.181154344911,668.863011337878,966.664226606449,1027.071607710762,814.189695029249,804.248940240554,835.5356779818619,876.025686748336,739.541143211962,952.49171969305,933.388291765755,1161.578845329231,1024,1095,1068,1194,834,1173,1105,1352.802
Industrie d’extraction,2105.9633376573,2102.35317297708,2050.95261274908,2140.73087661654,2160.29502030739,2264.15729632306,2088.39347759441,2134.15420577514,2091.74807293376,2142.6807097959,2320.94350057297,2239.62771669736,2296,2172,2293,2368,2294,2306,2290,2184,2312,2363,2272,2277.1534211971,2683.32740896677,2521,2648.20506346841,2824,2790.86161209523,2881.51648356696,2927.53804534304,2866.08385899477,2799.98021032841,2872.20090969072,2913.64181988664,3062.17706009423,3128.25301856347,3163.2128924006,3186.09598144972,3229.43810758621,3350.12897609609,3108.95068790051,3032.83837728772,2468.08195871568,1782,2144,2369,2814,3085.414641883186,3225.045395107928,3082.6247205433538,3227.915242465522,3411.37276174111,3320.487407997416,3105.887012024855,3533.24,3242.288719766356,3153.403484251693,3252.965822658055,3404.341973323886,3129.382840523252,3206.9596649172554,3158.3122516514068,3179.345242908064,3330.0648623752945,3424.2022220976255,3363,3091
raffinage de petrole,544.600119457169,480.947529267671,468.727337737915,480.725013537245,570.541681100229,600.50461396812,621.71194757289,662.241757358762,750.307223379449,704.92602088392,580.776070736856,545.220085131614,368.2633682622356,357.3852733331256,351.8568138205746,347.8601994132466,304.3236214971945,315.1872234781215,301.9573446895195,172.88424017644252,50.102702748210405,35.102702748210405,52.730609761330506,70.1027027482104,164.77568853212355,119.61091460949356,155.50784538575456,109.51886729213057,158.83748158997798,173.752523998196,139.70961473810098,181.439856598272,98.66105087107445,174.66105087107445,85.66105087107445,80.66105087107445,124.0617457962237,231.2617457962237,142,126.26174579622369,144,207,120,116,42,63,39,28,10,59,40,26,35.8236263453353,27.1409884965002,69.1586046655392,41.5,42.4453125,42.3671875,42.4609375,42.7265625,43.1640625,43.7734375,44.5546875,45.5078125,50.93359375,45,29,40.046875
Industries alimentaires et tabac,4053.67701774613,3737.53529368292,3728.89806929397,3982.88961927698,3762.94473302388,4175.64244616127,4164.98660801211,4291.42621280274,4326.99790481842,4268.54538705538,4270.50867786608,4326.94803026013,4433.32043370891,4578.26963818741,4653.4743558979,4580.93557220578,4541.83855852532,4687.37829656398,4712.72848598669,4886.05465892401,4928.32071287528,4720.34538199734,4925.83429567864,4862.49960944875,4837.75363064986,4737.58830289117,4893.29909387383,4760.35897258514,4762.15687753644,4904.44933921292,4992.20807939059,4911.18570386006,4955.32403829223,5044.81694192727,4950.02434521684,5092.83467456366,5162.85968804529,5038.18440209693,4875.33085447627,5246.62505538152,5301.78171956627,5284.49247826232,5245.81476230267,5274.91103986873,5386.74297498571,5441.38607394395,5399.22685187381,5455.64409919654,5423.75088032994,5438.29381883509,5545.35495857675,5568.60034225823,5652.826,5678.834,5732.71,5800.63,5850.50903960322,5859.4635377788,6036.97527536047,6033.05214725749,6038.418238679,6067.05583746625,6103.86668868832,6153.65923516641,6189.378694645974,6315,6402.956156434047,6467.495856159897
Industries du textile et du cuir,3903.29276484054,3786.65367385712,3742.01700841009,3644.03655289225,3639.09171915359,3612.50646790123,3618.27870099076,3650.12311195442,3812.47496097736,3878.16267303324,3877.11814013536,3922.24422585404,3976.36148842894,4069.0371455358,3984.67063557198,4075.93073046328,4046.18426682057,4070.32335346729,4135.68259097548,4085.80978873666,4003.43786690514,3969.99929068161,4007.26392580212,3980.29891661113,3925.80499847774,3923.64451832775,3953.1732923432,3919.3771908513,3920.04572998235,3973.47478528308,3863.09799182877,3963.3814929058,4074.50522781663,3864.22256248825,4007.0688165765,3973.20339311862,4028.97939130358,3979.41716296786,4080.06939767274,4212.53404805581,4184.79044527801,4066.26917486061,3937.58729713677,4044.35308272461,4033.83739518089,4009.70962686653,4034.78927840457,3989.66369954801,4084.24574971657,4024.39992186879,4346.20302471901,4246.15130369563,4126.005,4228.663,4186.153,4245.18,4279.6033001022,4260.14644402011,4413.67248238987,4298.5777734878,4180.9041898485,4252.96382767607,4127.16481943253,4221.96716304288,4237.4561034724,4247.37887351573,4259.234093654371,4365.514046586338
Industrie chimique et parachimique,1977.58109493775,1893.1166905884,1921.17447784608,1709.12773662776,1885.98376037923,1910.16599758772,1891.22837467954,1773.62186735351,1694.65442456557,1679.22570562159,1697.19664554635,1694.92322426648,1678.81640496195,1689.75548557874,1693.78947546548,1717.63863399383,1685.84838768788,1700.5231254836,1709.60397538551,1746.02451144301,1760.32808273478,1775.1070580193,1758.34795042141,1712.21690882452,1716.91551319637,1665.87700335638,1685.4468401585,1862.76064328875,1928.56088351169,1952.94761490098,1962.94130546221,1961.55019612512,1942.37740779463,1972.55058999991,1999.19954002969,1977.87246217576,1965.27163846845,1955.81106666135,1927.11595167678,1939.80134319342,2012.21256004102,2032.12932971943,2113.11605143449,1933.54205880506,1986.44879067657,2111.04763687203,2096.84641740055,2100.65715505085,2179.46327849144,2157.8731103621,2177.23253110837,2208.43108003809,2210.761,2296.892,2155.38,2166.967,2194.14325470247,2216.61315316755,2226.63958554269,2134.60400658727,2358.60985511897,2278.08532965846,2244.59344999317,2211.71136522938,2270,2238.61431668796,2322.705302052932,2328.932067586537
"Industrie mécanique, métallurgique et électrique",2639.77360224173,2407.63175314648,2521.49050697773,2301.10413763405,2493.08056490877,2488.62078086682,2576.62708339355,2783.67157083086,2631.19283345979,2611.41656944575,2676.1990399225,2795.19155717197,3069.1152409853,2682.69779028499,2878.9757993382,2927.21116939151,3077.69203758012,3359.60436860489,3257.15702668588,3264.54656712911,3478.60610135085,3703.52198659218,3795.77585674066,3839.09605531632,3660.89352289611,3698.7981525706,3582.79243932245,3771.51588521084,3514.47795510122,3624.26193925424,3921.21586087694,4095.0442447676,4240.79799740816,4034.61462353241,3958.24551892759,4136.34186013184,4316.91669854649,4338.6777749384,4443.01563388348,4367.38989263163,4445.15608287949,4512.18742405344,4505.61870654965,3918.03778651743,4402.33286655795,4349.62795899046,4471.70449772072,4354.33467673087,4596.43800773714,4670.37353193476,4679.5722665057,4735.61619382239,4676.995,4715.858,4673.213,4820.935,4815.81270780126,4692.81626388712,4749.89340951533,4797.47761879627,4704.98962322188,4629.1647619309,4683.56572970956,5088.27988513763,4869.664260034645,4709.42627056553,4778.642114022665,4732.100293177996
Autres industries manufac. hors raffinage pétrole,2822,2749,2707,2705,2748,2858,2891,2872,2832,2908,2978,2966,3067,3042,3049,3225,3195.27922534177,3099.39615018839,3255.29725568302,3330.02736878682,3302.99177733503,3454,3309,3195,3541.18520268422,3296.06897629027,3418.87660962428,3477.86921140123,3510.25077056549,3478.93321850005,3696.68428678558,3857.13172414888,3720,3911,3828,3865,4045,4323,4141.9765625,4179,4363.93669349703,4361.36194982316,4403.86513213547,4321.83622454433,4300.27269698227,4318.57931137835,4267.01721715537,4419.130774484,4287.21354627952,4361.14477796148,4308.46125726982,4339.18041848917,4400.281,4407.148,4517.996,4586.575,4657.24296029811,4442.03327444012,4404.24733758943,4377.47642767233,4368.59400742752,4361.17400625463,4376.76738868878,4382.46459762905,4331.03412583896,4318.75823925674,4341.753249579269,4343.022416250389
Electricité et eau,2676.3266471536,2674.82656537652,2531.36890615201,2578.47788131787,2619.92945696983,2600.67572996172,2531.30301391576,2581.09179915269,2631.79885652618,2644.49515959458,2863.77132119655,2829.93466268268,2903.29742341794,3073.48230950647,2955.9697829389,3066.25048413669,3075.58826430666,3022.45327176403,3045.39442491306,3106.56403901625,3218,3316.25274207774,3476.76991563893,3489.49463118309,3525.26448302259,3534.74283483514,3660.80792862776,3493.18475351451,3776.7085502195,3891.39246217619,3800.87544903935,3846.02353856496,3974.42265370172,4177.61931658996,3999.85658427326,4214.10144543505,4273,4415,4365,4258,4647,4739,4543,4402,4896.78468582357,4662.55381985587,4683.64369646601,4735.01779785455,5112.49943651672,5030.95291550631,5128.24772742514,5061.29992055184,5211.65888184995,5329.863947753,5341.97054877239,5675.50662162464,5829.0660052816,5798.17449377941,5815.36856556091,5603.39093537807,5548.8091459864,5734.33263517071,5915.19565687762,5929.66256196526,5762.13502591995,6023,6038.823246106363,6107.5524388242175
Bâtiment et travaux publics,3708.48987743285,3688.91801771627,3658.99672614672,3602.59537870416,3591.91659888458,3624.68269761338,3716.00458201587,3854.39612148617,3943.67982827203,3956.9079893059,4016.95468016442,4106.45750225765,4363.15842043382,4357.70426640515,4303.77176830739,4387.36554485364,4313,4400,4462,4411.51129539235,4510.83889634629,4701.35929281446,4871.6802787892,4901.12153205004,5044.72807401446,5103.79664484221,5110.95383214095,5251.52144900238,5263.13909251753,5372.20390879935,5503.93853541183,5613.71846327129,5705.80056462002,5772.66548550039,5981.00306511469,6182.5308847649,6344.89102308989,6584.58421758433,6678.28887052795,6790.23588879784,7098,7186,7469,7139,7243.2080752447,7437.5954097451,7538.8555739054,7642.34094110479,7699.55563563476,7802.95923131855,7607.31398134637,7536.17115170032,7856.95339212858,7933.20686869023,8068.75452471322,8064.08521446797,8335.29351067817,8298.07039511628,8017.40922398545,7957.22687022009,8110.71159260141,8188.87774613009,8325.14486444756,8438.26579682093,8135.043727379214,8201.979950523899,8363,8488.895391601854
Commerce,11168.2871477161,11489.379504148,11666.2990435489,11887.034304587,11695.3761873617,11982.7687829136,11964.1292280359,11982.7258016889,11997.8401247625,12114.3004078506,12139.2362936302,12162.6231737567,12448.6710801322,12517.8553627982,12476.2859883996,12642.1875686699,12764.4560890264,12956.9416848636,13011.2633374129,13084.3388886971,13331.9604282578,13128.0585163966,13249.5046387592,13384.4764165864,13720.4868625439,13913.9256597456,13858.0283918286,14247.5590858819,14272.7607437003,14448.2388240409,14558.1920969881,14699.8083352708,14914.7541631406,15234.4542199802,15224.1867119273,15253.6049049519,15210,15569,15597,15740,15624.8567059117,15711.2617837816,16840.4620859137,16735.419424393,16293.2672332208,16937.4797678722,16481.26788259,17461.985116317,16743.9484827797,16852.2471492424,17066.4129907176,16234.3913772604,17532,17640,17854,17022,18086,18110,18210,17264,18116.878,18394.97,18389.41,17586.724000000002,18370.514292,18707.68449,18702.02997,17920.871756
