,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution de la consommation régionale du ciment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cumul),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En  1000 tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,
,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00,2000-12-01 00:00:00,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01,2009-04-01,2009-05-01 00:00:00,2009-06-01,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00
Rabat-salé-Zemmour-Zaer,374.63,,,,,,775.233,59.694,124.482,,,,369.23,436.596,506.622,569.185,639.341,699.995,758.186,53.913,99.131,155.987,218.484,283.122,346.151,416.607,489.194,555.143,624.23,674.195,729.604,57.285,96.025,161.433,233.454,301.355,373.421,453.765,537.8438513822715,605.791,682.671,734.569,801.154,70.255,114.953,190.462,266.299,330.353,404.4,478.0092551806406,547.3,625.1,695.5,752,828.7,43.2,104.4,183,254.7,328.9,404.4,477.889,558.07,634.687,700.441,757.827,842.416,42.119,109.3,200.004,281.6,379.32582,469.91282,557.273,647.616,736.6288199999999,804.75182,893.93382,975.5038199999999,63.189,144.455,241.842,323.25,425.921,517.645,617.33,714.023,801,874.124,968.975,1030.192,82.934,175.48399999999998,272.413,374.608,483.058,572.465,682.345,779.26,863.329,944.6289999999999,1034.705,1092.1989999999998,89.9582850521437,172.1296,,,462.72628000000003,,675.282,772.033,,,,,77.634,155.301,246.383,362.823,469.361,577.194,691.179,783.632,859.237,968.311,1033.97,1119.434,88.186,163.26633999999999,276.32432,388.60235,501.71176,610.52634,722.21408,815.07039,917.27553,1037.82399,1105.62053,1219.9484759999998,115.01886999999999,210.941,330.50244999999995,441.86339,557.28109,667.65816,769.8066799999999,845.5180099999999,952.18365,1046.65095,1108.69,1237.947,94.13990000000001,188.243,286.68208,387.598,501.239,606.917,704.123,775.097,883.757,953.03075,1040.428,1137.579,73.441,160.541,268.133,375.753,484.321,583.533,654.551,738.18,841.39369,940.073,1042.111,1153.522,81.686,167.928,267.666,371.593,470.122,564.677,630.193,734.843,810.5240699999999,898.197,995.803,1093.562,,,,,,,,
Doukkala-Abda,203.193,,,,,,456.32,37.965,77.544,,,,231.494,284.652,337.055,387.127,444.496,492.967,536.974,41.047,72.256,114.807,163.236,208.322,254.707,309.63,368.665,425.001,484.478,527.134,571.392,51.837,85.526,137.142,191.404,239.824,292.152,354.677,405.32836353235143,474.625,533.657,572.794,625.737,54.659,94.231,152.68,210.337,257.521,310.3,373.62707260300834,424,484.8,546.1,597.5,662.6,38.3,81.4,138.7,191.4,247.7,311.2,374.242,436.988,499.226,559.254,607.171,663.991,34.522,86.9,152.873,210.711,276.904,347.609,424.618,506.488,580.401,652.032,745.186,830.514,61.567,138.989,231.809,302.165,403.464,498.03,545.208,591.482,675.605,746.925,821.924,891.969,84.682,165.776,251.4,349.661,455.562,558.183,668.315,754.191,841.652,929.2170000000001,1028.4930000000002,1101.8170000000002,,145.57066,,,433.84338,,628.466,723.214,,,,,61.932,120.409,201.4,295.873,371.764,450.674,529.468,597.801,667.501,758.889,821.539,906.132,65.109,123.36674000000001,202.14976000000001,282.72063,355.04816999999997,430.60969,507.61807,572.8519100000001,657.1874499999999,756.03762,816.58132,915.9366200000001,93.73672000000002,165.329,256.09656,332.93644,412.33483,494.58029000000005,571.80192,638.23864,727.53238,815.53462,822.013,978.833,76.17710000000001,161.169,246.08192,341.237,444.198,540.93,633.136,703.343,808.124,887.17944,981.133,1072.22,67.249,142.593,225.213,305.882,389.975,469.273,536.605,628.681,735.66873,828.647,916.62,1022.111,91.238,186.388,289.125,403.058,508.048,612.01,697.631,814.016,911.2185549999999,1031.087,1145.861,1252.528,,,,,,,,
Tadla-Azilal,118.416,,,,,,236.629,12.185,39.876,,,,115.633,137.993,160.559,181.615,207.556,228.757,248.672,21.163,37.694,57.259,76.177,94.391,110.347,129.436,148.846,168.411,189.47,206.147,224.621,21.763,36.218,57.789,78.155,95.032,110.383,132.261,163.648585025257,171.199,190.551,202.12,215.83,16.074,26.677,43.354,58.447,71.335,85.8,139.32758608408912,116.6,130.9,144.5,155.4,169,11.8,25.1,40.6,55.4,69,82.4,95.414,109.60300000000001,123.66,138.215,151.389,166.047,9.409,23.9,41.759,60.639,75.907,90.707,107.654,126.191,140.034,150.26,165.059,177.504,13.559,28.783,48.861,66.287,90.084,111.233,132.686,156.26,179.753,204.476,235.162,259.945,31.594,62.241,93.571,125.55199999999999,154.034,180.9,210.158,239.093,262.70099999999996,288.981,317.301,338.908,24.223623371164354,51.9774,,,156.86054000000001,,226.816,260.891,,,,,28.814,53.779,93.78880000000001,138.03379999999999,177.769,215.242,253.566,284.522,317.489,362.027,394.184,434.125,50.449,93.7105,156.4963,219.54896,282.56092,345.53686,414.65043,467.27340999999996,547.4501300000001,630.8707099999999,694.29555,782.7045499999999,87.84546,176.645,267.19048,337.58704,416.74862,484.16524,545.7747800000001,586.1368400000001,649.9980400000001,705.0389,723.042,803.575,57.17925,115.328,172.87931,245.059,303.891,357.109,403.618,450.726,511.978,554.8024200000001,604.791,647.886,46.354,105.612,171.809,231.15,282.287,332.461,364.305,425.284,489.99495999999994,541.156,585.038,640.413,60.287,116.522,175.187,243.436,299.264,347.183,388.889,444.609,492.791395,550.491,599.808,653.137,,,,,,,,
Meknés-Tafilalt,242.824,,,,,,475.827,34.424,68.517,,,,231.507,271.633,313.263,352.754,398.592,437.178,473.791,36.96,66.916,105.727,148.021,192.603,235.778,282.224,330.704,378.338,428.832,471.325,511.576,42.805,71.909,122.464,177.141,230.02,279.23,331.945,363.5921802547102,443.297,503.304,542.428,593.068,52.774,92.411,154.489,219.604,274.429,333.5,349.68052232088803,449,507.4,562.9,610,666.5,34.5,76.5,136.4,193.6,250.2,308.4,364.993,423.294,481.165,533.062,576.268,630.381,29.323,73.3,137.758,198.156,263.723,326.084,392.928,460.907,526.092,576.025,636.691,689.076,47.324,104.083,177.375,235.788,313.09,376.763,436.61,507.896,573.583,635.936,705.927,757.169,65.528,131.226,205.38400000000001,279.899,355.61400000000003,425.33,499.2710000000001,565.859,619.4590000000001,677.422,741.775,781.115,,114.09411999999999,,,346.49465000000004,,505.162,581.247,,,,,59.985,115.5,190.8395,286.5145,378.296,466.343,552.514,620.651,684.568,772.239,833.285,912.296,73.577,137.60394,221.89406,302.55244,384.25147999999996,466.27433,546.42149,599.98505,674.34853,757.3102,813.48312,897.1357100000001,76.62382000000001,148.079,232.11495000000002,300.96513,382.5035,457.05354000000005,521.69552,562.53106,630.4907000000001,693.5401200000001,847.035,811.043,51.147040000000004,110.427,166.73836,233.435,307.19,379.877,437.981,489.336,567.396,628.35826,700.619,766.943,50.417,104.643,175.058,242.92,313.338,379.838,418.805,482.18,552.5274600000001,603.227,659.109,720.923,49.663,99.577,162.043,230.174,294.604,352.674,393.334,468.273,525.31339,592.968,658.105,720.891,,,,,,,,
Fès Boulemane,201.599,,,,,,421.893,35.728,71.947,,,,216.712,251.103,287.727,323.304,365.469,399.458,428.92,32.143,56.751,89.06,123.054,161.901,197.287,235.85,276.813,315.911,357.673,387.507,420.257,34.936,57.057,96.606,140.289,181.074,214.574,252.994,304.34177449576384,328.608,365.972,387.788,417.955,34.213,58.493,104.37,151.08,189.236,226.9,266.5112415130541,299.1,333.8,367.9,392.4,427,21.4,48,81.3,115.3,148.8,181,212.456,244.96599999999998,279.561,310.879,337.967,369.434,19.378,48.6,88.048,128.452,169.50034,205.14934,240.631,276.491,309.85934000000003,336.99734,373.32534000000004,402.91234000000003,26.224,58.755,98.12,129.519,173.42,209.844,245.516,280.963,319.841,352.654,396.738,426.344,42.467,83.071,128.304,176.168,223.37900000000002,263.98400000000004,308.769,352.416,388.914,425.851,466.67,491.04900000000004,,76.76344,,,225.12738000000002,,333.812,383.722,,,,,41.375,76.301,124.1568,184.53779999999998,244.475,304.4,360.482,406.996,449.307,516.143,557.232,614.123,59.712,114.73754,190.44924,262.91197999999997,333.42202000000003,406.7801,479.32796,532.1062,602.28,685.29927,731.662952,808.818472,80.65920000000001,149.538,235.48926,304.92031,384.01398,456.62344,521.88991,562.50839,638.75439,708.04531,738.095,834.535,59.301050000000004,122.095,188.03942999999998,266.786,339.126,408.026,463.777,505.576,572.894,618.0432200000001,673.976,734.317,49.183,101.033,163.95,223.219,284.101,341.066,372.537,419.673,474.53636,516.309,561.397,613.045,43.579,87.013,142.58,205.127,263.388,315.019,349.041,405.579,448.80774,498.949,550.784,602.831,,,,,,,,
Taza-Al Houceima-Taounate,100.944,,,,,,207.031,18.682,36.27,,,,108.594,130.101,153.267,175.685,202.379,223.23,238.68,23.374,39.717,61.55,85.912,114.611,138.226,163.731,191.354,219.847,249.854,270.187,291.395,23.406,38.234,65.033,94.033,123.905,149.635,180.064,210.3839628805815,242.067,277.913,295.196,320.194,23.948,40.441,59.912,87.572,115.121,155.5,189.68465731126653,220.1,264.5,301.8,327.3,362.5,21.3,48,81.3,118.5,154.2,185.9,216.786,249.883,284.979,314.863,339.751,372.14,15.549,38.3,70.411,104.674,142.659,172.277,201.06,232.015,266.489,296.581,337.528,370.003,31.863,66.837,109.677,144.149,194.052,230.61,263.688,298.66,333.329,362.482,400.091,425.348,39.418,75.556,118.17699999999999,162.456,210.25599999999997,250.60099999999997,293.75,336.589,370.952,408.568,449.543,474.5,35.80628888515218,78.04608,,,249.15064999999998,,366.494,420.123,,,,,42.588,80.996,133.4822,200.92520000000002,267.262,326.003,390.737,440.677,491.926,562.135,599.788,646.881,57.915,104.6057,167.89854,232.83120000000002,294.99715999999995,357.91095,415.16815,443.44513,498.91457,563.98447,593.17225,645.21996,47.504,90.91,142.20118,186.78926,237.75178000000002,282.19506000000007,320.13504000000006,342.07104000000004,387.67614000000003,430.59740000000005,601.707,502.081,39.31474,77.051,115.52456,162.453,217.436,264.555,298.189,329.685,385.723,430.25089999999994,473.987,512.915,36.513,71.224,114.95,161.422,205.387,243.73,261.668,297.91,340.18748,370.775,400.028,434.089,29.159,55.26,94.095,139.865,180.214,212.7,235.365,273.909,304.40635000000003,345.128,380.138,418.108,,,,,,,,
Tanger-Tétouan,324.775,,,,,,692.351,54.041,108.894,,,,368.643,438.975,514.832,585.91,670.631,738.814,793.579,66.141,114.515,170.077,241.909,323.764,408.928,496.317,581.291,664.367,756.951,815.447,873.823,73.593,114.264,187.657,272.128,365.569,457.235,553.751,639.0998054224949,747.23,834.731,894.824,973.494,80.8,135.071,225.25,320.528,404.313,496.8,583.3374170893192,674.1,777.1,874.4,947.6,1044.5,59.5,137.5,230,329.1,437.4,548.2,657.772,777.0880000000001,898.4923,1010.2953,1105.8043,1227.7613000000001,64.026,166.3,280.458,401.225,550.076,690.933,827.786,962.3319999999999,1105.875,1217.914,1365.849,1498.369,118.112,257.606,411.024,545.649,725.024,887.76,1046.461,1203.049,1351.813,1475.06,1638.076,1742.952,141.912,291.808,455.025,625.212,814.543,989.647,1156.211,1318.298,1467.402,1596.702,1758.224,1840.994,140.070457354759,273.71678,,,789.65966,,1152.691,1313.255,,,,,113.317,213.483,348.50309999999996,519.0851,696.67,876.45,1041.239,1184.936,1301.48,1487.845,1579.241,1707.029,127.152,240.11910999999998,391.96484999999996,552.3987099999999,727.08373,898.62375,1062.46649,1188.25557,1330.38262,1525.39502,1620.76792,1792.11144,180.08661999999998,338.196,529.0563000000001,686.9680400000001,864.6665300000001,1026.4957,1168.993686,1262.8417860000002,1418.90805,1565.44847,1651.605,1803.692,119.4523,251.141,364.00291999999996,505.101,664.452,818.826,953.07,1048.241,1218.918,1335.2254599999999,1492.712,1644.608,122.137,248.501,400.098,547.768,709.906,861.204,962.111,1090,1259.1462800000002,1382.435,1515.792,1668.819,127.6,254.406,401.621,561.475,721.762,875.88,976.246,1133.483,1262.63341,1407.246,1563.968,1716.092,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3561.460000000001,,,,,,7480.114,623.9300000000001,1247.8859999999997,,,,3835.565,4544.025,5284.894,5978.217,6776.254,7449.354999999999,8057.6669999999995,659.3750000000001,1134.2879999999998,1773.3480000000002,2511.6809999999996,3256.473,3980.484999999999,4786.299,5612.103,6389.955,7234.386000000001,7857.105999999999,8486.071,761.8729999999999,1212.9729999999997,1999.1179999999997,2860.558,3658.494,4446.741999999999,5334.958,6170.221,7050.391,7932.853000000001,8497.46,9277.446,790.3759999999999,1323.675,2210.768,3120.1499999999996,3895.0290000000005,4757.8,5620,6443.200000000002,7340.7,8201.699999999999,8874.599999999999,9796.3,547.3,1257.6,2183.3999999999996,3061.7,3987.3999999999996,4917.499999999999,5838.747000000001,6789.674,7736.86544,8593.55144,9335.82344,10288.628439999999,491.49099999999993,1322.2999999999997,2369.068,3330.4410000000003,4410.60535,5440.69335,6468.542000000001,7517.149000000001,8535.626349999999,9340.37235,10406.74135,11357.361350000003,812.2119999999999,1817.218,3006.423,4004.433,5288.739,6447.5869999999995,7580.829999999999,8749.283,9832.08,10782.139,11967.839,12787.072,1110.155,2296.616,3522.0890000000004,4849.501,6208.022999999999,7461.602,8767.734,9975.708,11008.47,12068.274,13280.106999999998,14047.541000000001,,2212.92469,,,6159.539060000001,,8849.836,10081.641,,,,,1078.492,2082.247,3364.85,4847.590099999999,6245.377,7613.072,8948.144,10061.374,11053.331,12499.155999999999,13356.588,14570.714999999998,1262.584,2322.01742,3750.58872,5213.6042800000005,6675.54553,8158.81572,9602.069850000002,10664.085231000001,12015.683601,13680.040810999997,14592.675323000001,16129.623249,1578.07048,2923.346,4565.726009999999,5979.4021999999995,7493.53608,8898.36114,10136.520816000004,10951.364275999998,12308.12612,13548.48928,14783.193,15871.055,1177.8721400000002,2385.11696,3617.2314899999997,4993.56,6408.455,7777.643,8948.245,9838.217,10654.914,12311.505,13577.6,14864.34,1026.694,2168.747,3502.238,4840.713,6192.458,7435.184,8223.286,9348.704,10654.914260000001,11679.092,12765.753,14059.947,1084.332,2221.248,3522.849,4906.21,6172.324,7337.136,8159.85,9479.114,10508.850655000002,11722.774,12978.542,14251.456,1215.815,2397.561,3731.611,5077.503,6421.451,7460.834,8307.543285,9676.372
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Découpage 12 régions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanger-Tétouan - Al Houceima,141.858,281.575,447.00759,628.596,810.742,981.617,,1264.167,1405.698,1566.151,1738.812,1907.816,156.063,304.546,481.527296,656.969,835.414,984.311,1087.232,1260.452,1368.064,1543.575,1689.149,1822.419,148.897,274.73868,437.975622,592.988,760.617,857.0487619999999,1008.753661,1166.547,1277.862,1457.269,1627.852,1774.193,142.201,290.885,408.916,563.123,735.783,844.169,1005.807,1111.029,1245.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
