,Libellé,Cod_serie,1980M10,1980M11,1980M12,1981M01,1981M02,1981M03,1981M04,1981M05,1981M06,1981M07,1981M08,1981M09,1981M10,1981M11,1981M12,1982M01,1982M02,1982M03,1982M04,1982M05,1982M06,1982M07,1982M08,1982M09,1982M10,1982M11,1982M12,1983M01,1983M02,1983M03,1983M04,1983M05,1983M06,1983M07,1983M08,1983M09,1983M10,1983M11,1983M12,1984M01,1984M02,1984M03,1984M04,1984M05,1984M06,1984M07,1984M08,1984M09,1984M10,1984M11,1984M12,1985M01,1985M02,1985M03,1985M04,1985M05,1985M06,1985M07,1985M08,1985M09,1985M10,1985M11,1985M12,1986M01,1986M02,1986M03,1986M04,1986M05,1986M06,1986M07,1986M08,1986M09,1986M10,1986M11,1986M12,1987M01,1987M02,1987M03,1987M04,1987M05,1987M06,1987M07,1987M08,1987M09,1987M10,1987M11,1987M12,1988M01,1988M02,1988M03,1988M04,1988M05,1988M06,1988M07,1988M08,1988M09,1988M10,1988M11,1988M12,1989M01,1989M02,1989M03,1989M04,1989M05,1989M06,1989M07,1989M08,1989M09,1989M10,1989M11,1989M12,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12
VL,"Ventes ciment, Maroc, M",26354,298,260,327,279,292,294,307,286,290,250,279,339,298,323,345,238,294,345,316,331,298,228,338,319,349,346,324,328,279,360,362,356,271,256,376,293,332,308,303,307,306,295,332,313,242,274,343,241,373,258,239,310,307,311,324,297,181,330,289,311,373,307,316,311,254,300,328,282,282,323,255,320,418,300,347,291,290,326,373,239,329,385,275,391,404,310,354,329,362,369,354,277,372,278,349,396,390,370,390,378,357,388,325,350,409,295,429,434,431,430,431,441,436,428,344,466,465,359,490,485,511,523,416,489,416,403,427,551,390,450,504,499,555,540,537,556,509,467,475,557,416,537,515,523,579,515,515,499,475,371,566,515,429,562,539,561,585,492,580,470,456,472,593,406,455,487,536,572,600,574,605
VL,"Ventes ciment, Cumul, Maroc, M",26438,2981,3241,3568,279,571,865,1172,1458,1748,1998,2277,2616,2914,3237,3582,238,532,877,1193,1524,1822,2050,2388,2707,3056,3402,3726,328,607,967,1329,1685,1956,2212,2588,2881,3213,3521,3824,307,613,908,1240,1553,1795,2069,2412,2653,3026,3284,3523,310,617,928,1252,1549,1730,2060,2349,2660,3033,3340,3656,311,565,865,1193,1475,1757,2080,2335,2655,3073,3373,3720,291,581,907,1280,1519,1848,2233,2508,2899,3303,3613,3967,329,691,1060,1414,1691,2063,2341,2690,3086,3476,3846,4236,378,735,1123,1448,1798,2207,2502,2931,3365,3796,4226,4657,441,877,1305,1649,2115,2580,2939,3429,3914,4425,4948,5364,489,905,1308,1735,2286,2676,3126,3630,4129,4684,5224,5761,556,1065,1532,2007,2564,2980,3517,4032,4555,5134,5649,6164,499,974,1345,1911,2426,2855,3417,3956,4517,5102,5594,6174,470,926,1398,1991,2397,2852,3339,3875,4447,5047,5621,6226
