,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations par Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,,,,
,79/80,,,,,,,,,,,90/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Hauteur en mm),1980,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991,91-92,92-93,93-94,94-95,95-96,96-97,97-98,98-99,99-00,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2024,2023-2025,,
 Essaouira,122.6,129.6,228.0,257.6,311.4,237.3,178.4,359.3,456.0,442.9,220.5,161.7,103.8,143.9,360.1,164.3,623.5,519.1,352.6,198.2,267.2,199.2,288.1,225.2,308.9,227.5,354.8,178.4,156,442.70000000000005,408.70000000000005,438,198.7,,,,,349,243.7,125.1,120.8,207.2,,2022-2037,2023-2038,,
 Safi,298.1,136.6,395.1,323.3,352.0,331.9,240.7,475.3,457.3,551.4,317.9,329.1,194.8,253,379,185,876.9,514.2,339.4,245.3,360.5,246.9,320.6,427.5,483,212.5,445.2,209.7,258.7,502.8,432.69999999999993,616.6,233.5,,,,,360.5,312.1,314,242.3,350.3,178.9,2022-2038,2023-2039,,
 Agadir,290.4,292.1,356.4,196.7,164.7,213.1,205.5,451.7,404.6,338.9,192.7,204.5,92.7,119,174.5,115.4,634.6,395.5,324.6,174.4,150.7,125.4,276.4,179.2,228.1,215.3,249,90,92.2,338.40000000000003,601.1999999999999,437.5,166.9,,,,,250.1,161.8,140.7,76.8,132.3,110.4,,,,
 Nador,265.1,116.5,296.0,116.3,167.9,430.6,412.6,166.6,,339.1,396.8,340.4,292.3,324.8,347,242,211.5,224,283.4,218.5,178.5,282.1,380.9,283.2,641.9,268,315.1,330.3,405.7,672.8000000000001,571,433.7,382,,,,,267.8,321.8,196.4,266.5,300.7,201.6,,,,
 Marrakech,270.2,80.9,314.4,136.5,186.3,237.9,198.7,215.7,283.3,205.2,152.3,363.2,156,94.3,224,254,336.4,314.2,266.5,216.8,185,99.3,191.1,215.9,187.9,133.5,239.4,95.2,142,306.4,318.09999999999997,212.9,136.8,,,,,151.5,283.3,208.9,138.7,102.8,70.5,,,,
 Oujda,394.9,250.7,252.0,109.0,242.9,238.1,419.8,188.9,175.0,206.6,245.9,350.2,208.1,223.4,246,217,271.2,172.3,237.3,203.5,146.2,261.6,297.5,274.4,353.8,211.4,230.1,249.4,257.9,373.83333333333337,357.8,260.3,218,,,,,246.9,319.3,175,343,165.3,203.2,,,,
 Midelt,97.7,52.3,254.3,124.7,68.6,192.1,154.3,164.5,178.3,204.6,124.7,182.1,67.5,77.3,216,130,185.7,176.3,124.8,97.5,107.7,126.9,208.9,77.2,161.9,78.6,167.8,182.7,213.1,214.23333333333335,199.1,236.9,138.4,,,,,145.7,232.3,206.6,175.4,151.4,,,,,
 Ouarzazate,125.9,90.3,98.0,41.2,30.3,146.0,50.7,222.1,240.1,284.4,,136.9,167.4,73.4,90,154,136,67.7,88.4,36.3,85.3,10.7,87.8,67.3,128.6,59.3,114.3,120.3,93.6,108.5,121.1,185.5,120,,,,,89.5,73.5,185.8,78.7,102.1,114.6,,,,
 El Jadida,,,,,,,,,,,,,,,,,751.3,655,340.8,359.9,274.9,300.7,326.4,492.7,511.7,246.6,386.1,281.3,332,542.9000000000001,465.8,614.5,252.7,,,,,448.2,479.8,334,295.6,382.7,250.4,,,,
Moyenne des précipitations,392.97,270.225,439.32,320.525,372.33,385.89,386.195,467.895,386.1789473684211,523.815,435.5105263157895,423.85263157894735,300.14,264.29,412.3,225.4,706,557.5476190476192,479.27619047619044,275.12380952380954,319.528571428571,388.3,389,490.8,511.4,228.39142857142852,375.3514285714286,223.11714285714288,267.2,543.6,604.7857142857142,690.8,400.2,450,274,348,198.7,400.2,348.24,296.7,255.6,328.5,223.1,260.3,271.2,293,462
 Errachidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5,110.5,98.4,125.5,,,,
 Guelmim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7,48,58.5,87.7,,,,
 Khouribga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.5,223.2,219.4,179.5,,,,
 Laâyoune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13.7,35.5,14.7,,,,
 Settat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,184.3,249.2,195.7,,,,
 Sidi Slimane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9,256.9,366.8,217.9,,,,
Source : Ministère de l'Agriculture et de la Pêche Maritime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
