Année,2019,2023,2024,2025
Agadir,0.5791043998865102,0.6082390605022162,0.6937874884606641,0.7245151811743797
Al Haouz,0.7536786396481123,0.6765935884697767,0.734058929798224,0.7776350309021056
Al Hoceima,0.3041287928772695,0.3310094250659351,0.32752004977876104,0.3280039954868792
Aousserd,,0.4781783681214421,0.404693024750884,0.42301510768241724
Assa-Zag,0.2625,0.33879781420765026,0.34289617486338797,0.3639344262295082
Assilah,0.3603494145002828,0.3954873181408523,0.38574404308286336,0.42039206311259864
Azilal,0.3466147439851943,0.3331349427203896,0.37162874996618606,0.380152470731065
Béni Mellal,0.37892615704628185,0.37597243532800345,0.3632252428182332,0.3638418327646271
Benslimane,0.3315946348733234,0.4184585905897381,0.43566360411170746,0.4583106439561831
Berkan (+Saïdia),0.41827776843805736,0.36320703399301746,0.349135759983732,0.359249827619895
Berrechid,0.3761904761904762,0.3755779739386297,0.43365270694895175,0.40884876352829025
Boujdour,0.4042114695340502,0.4095422762794524,0.4431811504788766,0.45250565408879895
Boulemane,0.4301418439716312,0.407016625973724,0.40091268457156143,0.41585095371876385
Casablanca,0.5326864155954624,0.47779304249979326,0.5234780498978369,0.5682985457425256
Chefchaouen,0.424848674770332,0.4695184558901939,0.46672996947041995,0.4814885562463099
Chichaoua,0.537,0.5590215439856373,0.602227033714816,0.6109100178434871
Chtouka-Aït Baha,0.38933287795992716,0.4549408014571949,0.49904371584699453,0.5566245292165417
Driouch,0.29711799891245244,0.35780059873432113,0.4050871714806141,0.5058116597371856
El Hajeb,0.4329022988505747,0.4070096099491238,0.3856865855808214,0.4368715592156149
El Jadida,0.4984423676012461,0.44268829922975905,0.5047362399982732,0.5248290743610758
Errachidia,0.41147343896028676,0.3490509866418761,0.3749809900800806,0.40959589130897944
Essaouira,0.5070295541826683,0.4876138444127573,0.5381648024334945,0.57211375647302
Fahs-Anjra,0.3485293990842696,0.44779059569587804,0.4390271874789179,0.4029870189082335
Fès,0.5477449273782474,0.5160633756633024,0.5209781360233531,0.5574991948695689
Figuig,0.299294532627866,0.3564208889464818,0.3721021692333168,0.3591308695471022
Fkih Ben Salah,0.3421296296296296,0.3363691560412872,0.33682452944748026,0.2861920022293437
Guelmim,0.3600124843945069,0.42152115897826914,0.4315287838353031,0.39835033617870746
Guercif,0.3165674603174603,0.38802737163392903,0.3758585907104088,0.36546469389563213
Ifrane,0.35035668305861,0.4991927260367097,0.45117541780540305,0.4750267850143289
Inezgane-Aït Melloul,0.5210755624918715,0.7023927802616328,0.699932581080122,0.7214759153581682
Jerada,0.25092592592592594,0.3171774768353528,0.3861368496079829,0.3946936043327451
Kénitra,0.4891034213752368,0.5072194655098877,0.4955880833985038,0.5826368871100419
Khémisset,0.3724425059476606,0.40609573553297873,0.4229403779889318,0.47525333609543047
Khénifra,0.34551548774849744,0.32042785722590394,0.32235454349162057,0.32835596281185203
Khouribga,0.3296205430160288,0.289136667728576,0.33537119222292666,0.2832540253416699
Laâyoune,0.4110677567199306,0.3153730901971113,0.34966379878308723,0.37831775338709406
Larache,0.23982710981862485,0.30275386282000116,0.2804033847706126,0.3211806422613994
Marrakech,0.6474513447526313,0.6603687698852209,0.7148637940546597,0.7329611056593958
M'diq-Fnideq,0.3064062003046586,0.3541974582164719,0.36290059117470763,0.3682241361939435
Meknès,0.40849974627623054,0.3523887065520335,0.3655712390735009,0.3924262466060763
Midelt,0.3496273291925466,0.3424859405120362,0.3280831152351495,0.3630289071550725
Mohammadia,0.41769139566395663,0.51775956284153,0.4621318139410902,0.45313329572604194
Moulay Yacoub,0.4442616959064328,0.3936069145326619,0.4056644880174292,0.41326556699765815
Nador,0.36794350822676386,0.39121837088812367,0.36529664831962405,0.43449943091689597
Nouaceur,0.7962246956974549,0.5637948657467469,0.590571804851201,0.614887374080896
Ouarzazate,0.40162650838970687,0.4039662936904773,0.3935540779803075,0.47206272016602396
Ouazzane,0.39705882352941174,0.474016929176042,0.43814460535456634,0.4277406739632799
Oued Ed-Dahab,0.45224247175909627,0.4817634560906516,0.5351570135798637,0.5428652859989919
Oujda-Angad,0.4068635535330707,0.39079683309408636,0.39324961700382394,0.3905605396507243
Rabat,0.5505784650630011,0.5214133514610383,0.5138663952259693,0.5407933817088998
Safi,0.4402007553170344,0.4232948836461557,0.48342374924653403,0.48820890659850136
Salé,0.5401611535199321,0.29981729189714706,0.38838881625264005,0.4998322907407718
Séfrou,0.4313620071684588,0.3572469982847341,0.4097466467958271,0.45596947190693227
Settat,0.39928861788617886,0.3898107423697188,0.5344195655071304,0.4176662668266027
Sidi Bennour,0.3798421372191864,0.4109409059691242,0.4381587984114187,0.43074545238378315
Sidi Ifni,0.27879901960784315,0.3420107265735681,0.28593655130540374,0.28642042101121384
Sidi Slimane,0.4498538011695906,0.42713869760133105,0.4524856723977076,0.4798713958340459
Skhirate-Témara,0.39902626811594205,0.3539707067992475,0.4041252351518409,0.40386357459914846
Tanger,0.4977155100154173,0.5106349215777956,0.5440275317342788,0.5393105318675119
Tan-Tan,0.37277777777777776,0.4226309476209516,0.4441423430627749,0.3916665679105981
Taounate,0.43605830164765524,0.3980307248169914,0.37833797298690586,0.3518641640668951
Taourirt,0.29523809523809524,0.3618266978922717,0.37822014051522246,0.36807181889149104
Tarfaya,0.3820601851851852,0.33832617746552174,0.34374186833203224,0.33291616526273565
Taroudant,0.3881125961927906,0.4600535612006378,0.4930004540662013,0.5505528018574725
Tata,0.3772772277227723,0.45476499937109555,0.49903022330162583,0.5544663143652192
Taza,0.40344863731656183,0.3246314052995154,0.30810392824002475,0.2871790763808227
Tétouan,0.4259061200237671,0.49156952477932164,0.5173870290737779,0.5257114328507239
Tinghir,0.34988116672668346,0.35714349026542397,0.3605028386050284,0.386093056890637
Tiznit,0.37813773431132847,0.44828080944182447,0.48325099184070663,0.4909951058385108
Youssoufia,0.4029513888888889,0.41632513661202186,0.45457650273224043,0.4890710382513661
Zagora,0.3540083164104052,0.3717154855493254,0.3295595599880152,0.40332648638993734
Total,0.5276928760741245,0.5219584813473075,0.556725589062683,0.5818127996057177
