Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rendement des principales cultures agricoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendement des principales cultures agricoles,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En QX/ ha),80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/2000,2000-01,2001-02,2002-03,2003-04,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céréales ,4.841684921504199,11.466183857026047,7.597533489262172,8.37473199928533,11.089994141278876,15.109685037845793,8.52996558408165,14.975347065036969,13.438700549600041,11.203118016197951,15.766809936621256,5.869426433915212,5.597649402390438,15.852591543730242,4.430474708952229,16.87519018240792,8.329901950791935,11.225389611490783,7.424609783492776,3.6541079509915737,8.938580102755722,10.676164073092258,14.33039861726261,15.123038999911962,7.832029485421267,16.523948417993903,5.1516177235463605,10.023618487964743,19.22938514184788,15.476820537162295,16.038318749600343,10.161768294597074,18.296228835502006,14.550145114430597,21.419736274429514,9.35671365336987,17.586188398936212,22.46758652174669,14.549681773290905,7.464783970790416,23.360300158708547,9.350201245305726,14.835277132716918,11.949045544953039,16.603053435114504,23.076923076923077
Blé dur ,5.237302676733014,12.706243787837716,9.631619877128857,10.43456570155902,12.02680412371134,16.6241819097164,10.137813006665466,15.986873076226688,15.101042913318517,12.938060179257363,17.79996786632391,6.264816686575393,5.568404339772426,17.53503518490792,5.3484515971714215,18.174233325326284,9.06923156053904,13.707286766663708,7.418166635739469,3.960429987952924,10.635712091737483,11.698990586367245,16.16085643700247,18.232958126969834,8.881986884179463,19.602858078965234,6.094532083975803,13.35751600618919,20.989007020441875,18.120297414271448,19.305870508984007,11.779900931383645,20.078674992062652,15.585525772000224,24.105624133840088,10.443849367390785,20.21571880989699,24.40183145735964,16.41199462562599,7.972616530756066,25.13538682673523,9.752715836059599,14.181231953801733,11.957588964566762,,
