Valeurs ajoutées (cvs) aux prix de l'année précédente chainés base 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007:1,2007:2,2007:3,2007:4,2008:1,2008:2,2008:3,2008:4,2009:1,2009:2,2009:3,2009:4,2010:1,2010:2,2010:3,2010:4,2011:1,2011:2,2011:3,2011:4,2012:1,2012:2,2012:3,2012:4,2013:1,2013:2,2013:3,2013:4,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4
Agriculture,,,,,7.477886159859781,16.869224743605706,23.653258555054446,27.537889064703712,30.21426831739098,28.62538273392561,25.32496640447235,20.71080384244781,5.656148294919605,2.461188445460638,0.7839759726101514,0.45049464131079464,7.224434627697929,7.184102951108473,5.61041336802377,2.855430319892771,-10.546977710138684,-10.811323774293902,-9.364295951047419,-5.779587029296418,14.947092141444873,18.289104815535097,18.756025034918068,16.6691479122127,-1.2166869129361713,-2.9605032582160296,-3.0497360955433983,-1.4564973810935022,12.310015220121983,11.782905334813453,12.833288012754295,10.574322518963086,-11.64195735300002,-13.762285046538059,-14.53638933309338,-14.560502242608287,14.928020042649749,17.68880459692126,14.725517281997934,13.525227872724832,4.044016086487856,4.077846204758595,3.4453019405867646,3.3047481465516393,-5.71610574280228,-6.14719658448889,-5.78089123503116,-5.627452876013416,-5.9370771625283485,-7.551170173111698,-10.314424496045548,-10.696052356268925,20.535537412964434,18.59665044541794,17.699994487197678,18.89999437660126
Pêche,,,,,18.156230292410935,26.04003497099989,27.42018824006962,-10.457103078872032,-2.8169725670715517,-16.940365094855856,-0.29534415521682567,29.563177039433384,-7.932394686442967,1.806280800811666,-12.301684190277417,-43.01803370645143,20.493987505202927,12.483060160986037,12.97290628777854,69.92346030677434,-9.388755215695689,6.047700940098233,13.953261233655901,30.788445904303607,67.13212536847007,28.79894123430633,18.6072028698705,0.9792847496379764,-24.336869310628153,1.272831812911801,-0.36630023931647493,12.599664179928638,15.028307026215781,2.8915464098280053,8.027487202966753,4.064697063049905,5.0568080342531685,2.4151042209568097,-1.6465784411664686,-1.1136269563435608,-8.452223641545043,-7.711421972381771,-5.1941146333169375,-11.629392745850698,-11.25507952844298,-14.076867539137117,-10.69183988814395,-7.7544073795874136,19.014285404593913,9.350312016094398,0.6949366738506324,4.05111717521498,11.604397800767941,10.53665519860747,17.280795813940554,11.54906458193179,1.0231435823879975,57.93999999999999,-16.656157125445848,40.6836759682754
Industrie d’extraction,,,,,6.154867277626241,1.4986886381393338,1.0128325849733777,-14.765595128397502,-48.00981767756225,-32.395996893269164,-29.3773878836221,0.03480347624633673,74.35401114769083,47.19694063766906,36.04099639224947,22.349228856558035,10.751031464961635,2.4155109693764887,2.798615622701961,4.250572693759569,-5.416893138092426,-3.014853619079194,1.7930040945924874,-1.8750009128880363,-0.456107537098005,-0.1736319088073479,-3.289985108922877,-0.7946188977932644,9.6523659438839,4.460764446196808,2.329446740582397,-3.9264733173470123,-7.548297552737504,-4.273719419359168,0.25459178322486675,3.5767421434554025,6.886006626774233,-4.453840974328038,-4.223955309639027,2.5093201346217953,2.4847854735100094,26.778588662371796,19.83950714748195,20.556530613688494,16.323912503700267,-1.3041843542730636,3.8159498848987283,0.08657666581157741,5.389513228570686,-1.087535578862997,2.2504750815849572,2.9901310403602777,-0.4691402534503619,7.822065878440809,4.226517275539821,8.829456637294975,5.200000000000005,-1.1219383655681092,5.535295737591062,-2.0261585885928746
industrie de transformation,,,,,12.239649116058482,7.730102954815643,7.703574463565088,-0.2782572609891343,-6.667073824701708,-4.334463082300077,-2.2094080524294624,1.5477822922745021,6.578281745438397,8.066486372445203,8.50125608649066,10.503550482682966,7.187567440491871,7.5223630521186635,5.793612064674214,6.711254643289832,5.508897253174716,1.628323108659746,0.9262873701939567,-0.820129211005971,-2.613403891912347,-0.25722143006917664,-1.0215188561392807,1.0642075552780739,3.795926047249698,4.3461638003899905,5.60485845753671,2.777711144973405,2.846932162763083,2.285280624512076,2.7212065319382583,1.3932066446638691,0.8021732245528268,-0.8262437959653868,-1.349892301915545,1.9389075890404506,1.4555338549054886,3.1799692868961893,2.2609437015188583,3.0282788674758754,3.681025606437216,3.2639724420402194,3.144790396806152,3.7389062544495255,3.0124821600294505,3.1399844738803973,2.39888853712642,2.6335155021743217,1.6112061052590665,-20.843026725962687,-3.1163793363802372,0.9030947478937179,1.6040862708014414,22.810106204020887,4.028279718582728,5.484121856377278
Electricité et eau,,,,,13.195065802672534,10.926004234150444,3.152856775149182,1.7205254760352284,-10.521854846966827,-14.42251013450111,-14.376526853945537,-14.845167194904551,15.670553472587677,18.556455448731125,19.654642207008678,19.07609121171547,3.481576682074383,8.244438572897671,7.132050061965645,14.372901100518254,-3.5618280341642716,-5.381731665707912,-4.333256452666035,-12.875189147532895,8.853582926988256,13.532839099336758,16.489923149356667,20.642751770619117,2.1736633572027264,3.2022402062644284,-0.06999406527535834,0.14420720457695158,8.947009690679453,5.472675266055327,5.381628812278372,5.1271528909420105,2.1984961372606415,-1.2607224924397809,4.784076498802103,4.305699480575731,-0.2304503250316059,5.4256366028166525,1.2284592175800135,6.827103684592162,6.495294856414779,2.0801352274415708,6.470536256922643,6.027131197613844,21.753652050805037,19.147809890782042,9.692720126381316,3.436768045836236,-2.5811827730083725,-11.460475547362691,1.557290035242609,0.16275338362492509,0.6399999999999961,15.54124425326,3.8000000000000034,6.899999999999995
Bâtiment et travaux publics,,,,,6.709698357937999,6.569249813647593,5.594213809064974,3.4351840990369142,4.50823284641011,4.912245353508515,4.329876009507738,4.416063110326873,3.1709004973862642,2.3976749686811516,1.8478787813949848,2.3899412320517177,5.0798407479324625,4.286957333758767,5.131903350362532,4.960127079126608,3.0291972736041783,2.76284989368738,1.689202947775592,1.4710112932782238,0.11456216905152417,0.9382195147639161,2.884294912131824,2.4092156911385665,1.7317059294291726,5.0044684693940855,3.8700553907895507,-0.15791124744783946,1.8683735511527022,-0.6380197092081819,-1.255873066428126,2.751512095747821,2.8593875373071898,1.5914921835479046,0.9588286883927655,1.1338195515551153,1.008393599363111,0.6888065264712528,2.6389246268604394,2.8115711787451536,0.5020478109013293,0.7215216125913582,-0.11297232975781002,-0.8472928518514888,1.9805753807477622,1.766052732883261,1.7548924298929514,2.2917640537065243,5.842323055312337,-12.38711826402733,-6.720144413884088,-1.9431868888929782,0.23999999999999577,21.909233811023988,17.587877108576567,6.400000000000006
Commerce,,,,,13.813640747483857,13.971887607438905,13.375857031554816,4.0139408825609735,-3.2721508818365663,-2.908165086060732,-2.5332174692785925,3.8325969333105725,-3.8918261287096856,-3.200025526955419,-3.5045428600783968,-2.626119400888749,7.757260681674194,7.7558817371014666,6.031054862147522,7.883576421446037,6.3638557121329375,6.1369819758618105,2.856079022769764,1.272195392414277,-1.1858928809725833,-2.940214212107095,-1.1550041816784873,-2.796210147096345,3.690237946827679,2.697655042177871,0.19784042124249002,-0.15138546208856019,-2.857336466368343,0.671448450045542,0.13087804385840673,4.242793361737052,1.8223726535947504,1.9398694009250539,9.033175470793209,8.252089318704204,6.506921294526746,5.978161026280215,0.43841467747065543,0.3040772204654596,3.760003250142807,1.2166831620008312,2.1687253632775683,2.0301813771747,2.9902201788607696,2.4834238466783676,2.1174622713063362,1.9975108307493716,0.5652975991107922,-25.516201906497717,-10.708605735473608,-7.232351996862096,-0.5000000000000004,30.200000000000003,12.00000000000001,11.800000000000011
Hôtels et restaurants,,,,,0.9924456332021547,0.6256698816964779,1.2888233769302149,1.7262257227988353,-1.0582676238052757,0.7172106712495685,0.16150969575130514,1.6309614048356513,6.440625081209794,8.091533100836102,8.986988073259216,7.42665549671957,4.2733751280257914,-3.5114970338817164,-1.3863444934025804,-3.4243318793448663,-2.067119822455854,4.427597762464663,3.4915422611277336,4.755935916397602,4.797292066211223,5.626161031133581,3.5446414526230985,4.871672600060428,4.86418861567488,3.4226534185944235,1.4230855957099608,-0.9416558793340024,-2.1017724165346086,-2.661009674078685,-0.8080662302001107,0.39821375281001714,0.6889727773217169,-0.07915037501414757,6.566496716070591,7.3398709109324445,9.948022127383794,13.514862284245677,10.601482009719799,11.940373813786698,6.614034543528313,6.041987272273963,5.705969137317979,5.807868071998912,2.9442502126080683,4.253467698436042,4.270246748731865,3.2793310490977445,-7.60045900868157,-90.58092672491178,-65.75900765449813,-57.652441158228804,-50.3,82.1,70.19999999999999,43.99999999999999
Transports,,,,,9.32470642168064,0.34253761955906903,0.4784637910175915,-6.246209906745481,-7.580430173630381,2.053994425829231,1.3403028033393882,16.386776089107503,7.724158472898202,6.112985893474399,6.381132251913391,-0.16258876444953385,7.991723809831908,7.065577501681264,6.933341120300129,6.052663436079975,4.975621841888156,2.769758667576272,1.1419630709063933,0.7609138237906876,-0.5183888042162743,0.8319407350158903,2.4814764997144634,1.3385681032083818,3.910847035074827,4.6760868665082,2.7365061507537147,3.0044006679584623,2.723270253980914,2.9678496487082207,3.1384291613872684,3.838265899907789,0.7396646498261106,-0.05700774802217534,2.3929731914014596,2.418023943957337,3.3305948436077593,2.8092771494985014,3.671264126770346,5.110094322124459,3.9965484143815733,5.4365515742970105,3.0833405366928135,2.2423902087303604,6.221656985618962,6.659802866601239,7.2601282397850575,6.446344054207254,-8.247145024162371,-60.42419174588317,-36.25084143023085,-22.815303558184052,-10.899999999999999,42.50000000000001,13.686665836193978,5.499999999999994
Postes et télécommunications,,,,,13.402510072116902,7.628166198536457,1.1595782448849512,4.192441858994145,8.500787368377338,7.4150501937293,8.017364835646124,2.580125786268761,-1.699279921755248,0.9599837849382675,8.911898124507033,12.74775242954307,21.466703697728697,18.899227964194722,3.1284721814265115,-3.7503190972173583,17.858853427556866,22.081296586703015,36.06282465468076,44.5009498849122,4.888019066750826,3.3795971923264334,1.6088182716074595,1.9373642615174491,5.044737048467196,4.426289015544094,5.463631337347463,5.958191887510855,9.98663676746936,6.048971904371059,0.21801548014996897,-4.7200836273677,-0.18829874506255395,5.558714932568876,10.023368280629729,12.88082414660221,1.195726962860344,0.7596517538292824,0.5871441035252944,0.5401110765500317,3.320593069999478,3.3077478953278616,2.5007113222115462,2.051574420351998,3.598603269321221,1.636744668737955,1.5354212424273816,2.7635014035921834,0.02646076052625901,-2.680706597308735,-3.9948049592786083,-0.9503607799556502,-4.0000000000000036,-2.0000000000000018,-1.100000000000001,-1.982225663361925
