Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution de la production halieutique nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Quantité en Milliers de tonnes),1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production maritime nationale (2),328.729,389.803,360.556,438.544,462.582,471.986,594.1020000000001,489.699,550.644,522.117,561.0459999999999,590.769,545.702,619.6020000000001,744.553,842.487,615.876,783.46,708.481,758.059,913.339,1111.498,960.27,916.628,954.031,1037.874,881.156,890.863,1018.999,1160.934,1137.549,956.999,1170.982,1246.431,1361.778,1369.341,1466.935,1386.052,1371.69,1463.142,1382.997,1417.917,1556.482,1420.0,1415.731,
      Pêche côtière ,297.329,342.903,292.756,353.044,368.082,345.986,444.802,367.899,423.496,410.07,427.65,442.931,414.202,474.797,609.953,728.722,525.021,661.646,607.129,622.16,765.241,978.519,892.864,865.473,862.39,865.378,702.322,680.362,779.386,884.624,895.327,676.179,1108.519,1159.738,1278.459,1270.126,1357.826,1285.787,1296.757,1378.255,1274.084,1312.261,1499.418,1304.0,1313.242,
      Pêche hauturière,31.4,46.9,67.8,85.5,94.5,126.0,149.3,121.8,127.148,112.047,133.396,147.838,131.5,144.805,134.6,113.765,90.855,111.763,91.438,125.007,133.51,122.485,56.451,37.48,75.48,113.215,90.375,88.457,114.901,142.934,159.726,204.461,55.814,79.154,72.023,78.432,81.767,73.243,57.294,64.169,82.569,81.054,40.994,68.355,73.389,
Autres (1),,,,,,,,,,,,,,,,,,10.051,9.914,10.892,14.588,10.494,10.955,13.675,15.454,16.18,17.165,15.394,11.214,12.624,9.162,7.253,6.649,7.539,11.296,20.783,27.332,27.022,17.639,20.718,26.344,24.602,16.07,48.05,28.467,
Affrettement,,,,,,,,,,,,,,,,,,,,,,,,,0.707,43.101,71.294,106.65,113.498,120.752,73.333,69.105,,,,,,,,,,,,,,
Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.253,9.1309,12.624,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Office national des pêches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Aquacultures, algues, corail, madragues",,,,,,,,,,,,,,,84.06359922288065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) à partir de 2012 les chiffres ont été révisés (voir la publication mer en chiffres et annuaire statistiques),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Quantité en  tonnes (Q),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
