trimestre,Appartement - prix (var. trim. %),Appartement - transactions (var. trim. %),Bureau - prix (var. trim. %),Bureau - transactions (var. trim. %),Foncier - prix (var. trim. %),Foncier - transactions (var. trim. %),Global - prix (var. trim. %),Global - transactions (var. trim. %),Local commercial - prix (var. trim. %),Local commercial - transactions (var. trim. %),Maison - prix (var. trim. %),Maison - transactions (var. trim. %),Professionnel - prix (var. trim. %),Professionnel - transactions (var. trim. %),Résidentiel - prix (var. trim. %),Résidentiel - transactions (var. trim. %),Villa - prix (var. trim. %),Villa - transactions (var. trim. %),Appartement - prix (var. annuelle %),Appartement - transactions (var. annuelle %),Bureau - prix (var. annuelle %),Bureau - transactions (var. annuelle %),Foncier - prix (var. annuelle %),Foncier - transactions (var. annuelle %),Global - prix (var. annuelle %),Global - transactions (var. annuelle %),Local commercial - prix (var. annuelle %),Local commercial - transactions (var. annuelle %),Maison - prix (var. annuelle %),Maison - transactions (var. annuelle %),Professionnel - prix (var. annuelle %),Professionnel - transactions (var. annuelle %),Résidentiel - prix (var. annuelle %),Résidentiel - transactions (var. annuelle %),Villa - prix (var. annuelle %),Villa - transactions (var. annuelle %)
T1-2019,-0.9,-13.0,3.6,8.2,-0.4,-12.2,-0.7,-12.7,0.1,-11.0,-1.3,-15.8,0.9,-8.5,-1.1,-13.4,-5.1,-21.5,-0.2,4.4,-3.2,11.0,0.3,-7.4,-0.2,1.1,-0.2,-6.3,-1.4,6.6,-0.5,-4.0,-0.3,4.5,0.0,2.7
T2-2019,-0.3,-2.6,-1.0,-5.9,-0.8,-19.3,-0.6,-7.3,-1.6,-16.6,-1.1,-11.6,-1.5,-15.0,-0.4,-3.0,0.2,2.4,-0.2,-4.1,-4.3,18.1,-1.9,-20.1,-0.9,-8.0,-1.0,-14.7,-1.0,-5.4,-1.4,-10.5,-0.3,-4.4,-1.5,-11.0
T3-2019,1.0,3.9,1.9,-25.8,,,0.9,6.0,,6.1,,,,,0.9,3.7,,,0.8,-0.5,12.0,-11.0,,,0.9,-0.8,,-1.2,,,,,0.4,-0.8,,
T4-2019,-0.4,-3.4,-6.3,,-0.8,0.0,,,,14.1,-0.4,9.5,,17.0,-0.4,,-0.2,,-0.5,-10.2,-2.8,,-0.9,-14.1,,,,-6.6,-1.4,-8.7,,-4.9,-0.6,,-3.5,
T1-2020,,-33.1,,,-1.1,-27.2,-1.6,,-5.4,-26.2,-3.3,-33.3,-3.3,,-1.8,-32.9,-5.2,,,-30.8,,,-1.2,-28.7,-1.4,,-2.6,-22.1,-3.2,-27.7,-2.0,,-1.5,-30.6,-4.7,
T2-2020,-3.7,-37.2,1.4,-52.9,-3.0,,-3.3,-42.8,-1.5,,-5.1,-59.0,-0.9,,,-38.2,-0.8,-17.9,-3.7,-54.9,2.5,-61.1,-2.7,,-3.3,-56.1,-1.9,,-6.7,-66.6,-1.3,,,-55.3,-3.1,-44.5
T3-2020,3.4,96.0,3.2,,3.6,188.8,3.6,,5.5,,4.8,138.4,5.1,,,96.2,5.4,35.1,-1.1,-14.8,3.8,,-0.4,0.1,-0.8,,3.0,,-2.7,-26.1,3.0,,,-15.3,0.8,-10.1
T4-2020,1.4,39.0,-12.1,33.5,-0.5,,0.6,39.2,1.1,17.6,2.4,,-1.0,19.6,,39.7,-1.5,,0.9,23.3,-6.3,22.9,0.5,,0.6,27.1,-0.1,25.2,0.5,,-1.0,24.9,,22.1,0.8,
T1-2021,-1.1,,7.5,8.6,1.4,,0.0,-17.4,-0.9,1.2,-0.6,,0.3,2.3,,,0.8,,0.9,,1.9,81.3,2.9,,1.8,52.0,3.0,72.2,1.8,,2.9,73.5,,,4.6,
T2-2021,-6.4,22.7,-8.4,-22.2,,29.2,,18.8,-7.1,-20.5,-2.5,,,,-5.6,22.0,,15.0,-3.7,183.6,-13.3,191.2,,393.9,,220.5,-3.1,199.9,4.2,,,,-2.3,186.8,,132.1
