trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T3-2021;Global;transactions;-40.9;-10.1;haute;IPAI T3 2021 VF.pdf
T3-2021;Local commercial;transactions;-3.4;2.8;haute;IPAI T3 2021 VF.pdf
T3-2021;Résidentiel;transactions;-45.1;-17.1;haute;IPAI T3 2021 VF.pdf
T4-2021;Appartement;prix;0.3;-8.8;haute;IPAI-T4-2021 (1).pdf
T4-2021;Bureau;prix;-0.4;-0.6;haute;IPAI-T4-2021 (1).pdf
T4-2021;Foncier;prix;-0.2;-3.7;haute;IPAI-T4-2021 (1).pdf
T4-2021;Global;prix;0.2;-6.0;haute;IPAI-T4-2021 (1).pdf
T4-2021;Local commercial;prix;2.7;-6.3;haute;IPAI-T4-2021 (1).pdf
T4-2021;Maison;prix;0.9;-3.2;haute;IPAI-T4-2021 (1).pdf
T4-2021;Professionnel;prix;2.3;-5.2;haute;IPAI-T4-2021 (1).pdf
T4-2021;Villa;prix;-1.4;-7.1;haute;IPAI-T4-2021 (1).pdf
T4-2021;Appartement;transactions;44.8;-17.6;haute;IPAI-T4-2021 (1).pdf
T4-2021;Foncier;transactions;20.9;-16.5;haute;IPAI-T4-2021 (1).pdf
T4-2021;Global;transactions;35.1;-14.7;haute;IPAI-T4-2021 (1).pdf
T4-2021;Local commercial;transactions;26.8;7.0;haute;IPAI-T4-2021 (1).pdf
T4-2021;Maison;transactions;24.0;4.4;haute;IPAI-T4-2021 (1).pdf
T4-2021;Professionnel;transactions;20.6;6.5;haute;IPAI-T4-2021 (1).pdf
T4-2021;Résidentiel;transactions;43.2;-16.8;haute;IPAI-T4-2021 (1).pdf
T4-2021;Villa;transactions;33.1;-32.3;haute;IPAI-T4-2021 (1).pdf
T1-2022;Appartement;prix;-0.2;-6.6;haute;IPAI-T1-2022.pdf
T1-2022;Bureau;prix;-5.8;-13.5;haute;IPAI-T1-2022.pdf
T1-2022;Foncier;prix;0.0;-2.9;haute;IPAI-T1-2022.pdf
T1-2022;Global;prix;-0.3;-4.9;haute;IPAI-T1-2022.pdf
T1-2022;Local commercial;prix;-0.6;-6.8;haute;IPAI-T1-2022.pdf
T1-2022;Maison;prix;-0.6;-2.4;haute;IPAI-T1-2022.pdf
T1-2022;Professionnel;prix;-2.5;-8.6;haute;IPAI-T1-2022.pdf
T1-2022;Villa;prix;0.5;-6.6;haute;IPAI-T1-2022.pdf
T1-2022;Appartement;transactions;-10.2;-6.7;haute;IPAI-T1-2022.pdf
T1-2022;Foncier;transactions;-11.2;-15.7;haute;IPAI-T1-2022.pdf
T1-2022;Maison;transactions;-10.2;-4.6;haute;IPAI-T1-2022.pdf
T1-2022;Résidentiel;transactions;-9.8;-6.6;haute;IPAI-T1-2022.pdf
T1-2022;Villa;transactions;16.5;-8.2;haute;IPAI-T1-2022.pdf
T2-2022;Appartement;prix;0.2;-0.5;haute;IPAI T2 FR 2022.pdf
T2-2022;Bureau;prix;8.5;1.9;haute;IPAI T2 FR 2022.pdf
T2-2022;Foncier;prix;0.1;1.8;haute;IPAI T2 FR 2022.pdf
T2-2022;Global;prix;0.2;0.4;haute;IPAI T2 FR 2022.pdf
T2-2022;Maison;prix;-0.2;0.5;haute;IPAI T2 FR 2022.pdf
T2-2022;Professionnel;prix;1.1;-0.4;haute;IPAI T2 FR 2022.pdf
T2-2022;Villa;prix;3.7;1.2;haute;IPAI T2 FR 2022.pdf
T2-2022;Foncier;transactions;-3.7;-37.7;haute;IPAI T2 FR 2022.pdf
T2-2022;Global;transactions;4.6;-22.5;haute;IPAI T2 FR 2022.pdf
T2-2022;Local commercial;transactions;-0.8;6.2;haute;IPAI T2 FR 2022.pdf
T2-2022;Professionnel;transactions;-1.9;7.2;haute;IPAI T2 FR 2022.pdf
T2-2022;Résidentiel;transactions;8.1;-20.4;haute;IPAI T2 FR 2022.pdf
T2-2022;Villa;transactions;5.8;-15.8;haute;IPAI T2 FR 2022.pdf
T3-2022;Appartement;prix;0.4;0.6;haute;IPAI T3 2022.pdf
T3-2022;Bureau;prix;1.9;3.0;haute;IPAI T3 2022.pdf
T3-2022;Foncier;prix;0.8;2.3;haute;IPAI T3 2022.pdf
T3-2022;Global;prix;0.6;1.3;haute;IPAI T3 2022.pdf
T3-2022;Local commercial;prix;1.8;2.4;haute;IPAI T3 2022.pdf
T3-2022;Maison;prix;1.6;1.7;haute;IPAI T3 2022.pdf
T3-2022;Professionnel;prix;2.0;2.5;haute;IPAI T3 2022.pdf
T3-2022;Villa;prix;-2.8;0.3;haute;IPAI T3 2022.pdf
T3-2022;Appartement;transactions;11.1;61.7;haute;IPAI T3 2022.pdf
T3-2022;Foncier;transactions;13.8;19.8;haute;IPAI T3 2022.pdf
T3-2022;Local commercial;transactions;4.5;15.1;haute;IPAI T3 2022.pdf
T3-2022;Maison;transactions;14.6;40.7;haute;IPAI T3 2022.pdf
T3-2022;Professionnel;transactions;4.9;11.4;haute;IPAI T3 2022.pdf
T3-2022;Résidentiel;transactions;11.3;60.8;haute;IPAI T3 2022.pdf
T3-2022;Villa;transactions;12.7;92.7;haute;IPAI T3 2022.pdf
T4-2022;Appartement;prix;-0.7;-0.3;haute;IPAI T4 2022.pdf
T4-2022;Bureau;prix;0.1;2.4;haute;IPAI T4 2022.pdf
T4-2022;Foncier;prix;-0.7;1.2;haute;IPAI T4 2022.pdf
T4-2022;Global;prix;-0.7;0.3;haute;IPAI T4 2022.pdf
T4-2022;Local commercial;prix;0.0;0.5;haute;IPAI T4 2022.pdf
T4-2022;Maison;prix;-1.5;0.5;haute;IPAI T4 2022.pdf
T4-2022;Professionnel;prix;0.0;0.5;haute;IPAI T4 2022.pdf
T4-2022;Résidentiel;prix;-0.8;-0.1;haute;IPAI T4 2022.pdf
T4-2022;Villa;prix;-2.2;0.3;haute;IPAI T4 2022.pdf
T4-2022;Bureau;transactions;-12.4;-12.5;haute;IPAI T4 2022.pdf
T4-2022;Foncier;transactions;-1.3;-5.1;haute;IPAI T4 2022.pdf
T4-2022;Global;transactions;-4.8;-5.2;haute;IPAI T4 2022.pdf
T4-2022;Local commercial;transactions;-4.9;-16.8;haute;IPAI T4 2022.pdf
T4-2022;Professionnel;transactions;-6.1;-16.2;haute;IPAI T4 2022.pdf
T4-2022;Résidentiel;transactions;-5.5;-3.5;haute;IPAI T4 2022.pdf
T1-2023;Appartement;prix;0.0;0.0;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Bureau;prix;-0.6;7.1;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Foncier;prix;0.9;2.0;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Global;prix;0.3;0.8;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Local commercial;prix;1.3;2.1;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Professionnel;prix;1.1;3.7;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Résidentiel;prix;-0.2;-0.1;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Villa;prix;-1.2;-0.5;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Bureau;transactions;18.5;12.0;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Foncier;transactions;-10.6;0.0;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Global;transactions;-14.8;2.5;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Local commercial;transactions;-7.4;1.8;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Professionnel;transactions;-3.7;3.5;haute;DSGD-IPAI T1 2023.pdf
T1-2023;Résidentiel;transactions;-17.3;3.0;haute;DSGD-IPAI T1 2023.pdf
T2-2023;Appartement;prix;-0.5;-0.4;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Bureau;prix;0.5;0.6;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Foncier;prix;0.3;0.9;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Global;prix;-0.3;0.1;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Local commercial;prix;-0.3;2.4;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Professionnel;prix;-0.4;2.1;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Résidentiel;prix;-0.5;-0.5;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Villa;prix;-1.5;-5.7;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Bureau;transactions;-7.2;21.0;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Foncier;transactions;-15.7;-6.9;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Global;transactions;-12.0;-4.9;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Local commercial;transactions;-18.8;-7.5;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Professionnel;transactions;-16.9;-3.2;haute;DSGD-IPAI T2 2023 VF.pdf
T2-2023;Résidentiel;transactions;-10.3;-4.7;haute;DSGD-IPAI T2 2023 VF.pdf
T3-2023;Bureau;prix;3.5;3.5;haute;DERI-IPAI T3 2023.pdf
T3-2023;Foncier;prix;0.3;1.1;haute;DERI-IPAI T3 2023.pdf
T3-2023;Global;prix;0.7;0.3;haute;DERI-IPAI T3 2023.pdf
T3-2023;Local commercial;prix;0.8;1.2;haute;DERI-IPAI T3 2023.pdf
T3-2023;Professionnel;prix;1.3;1.7;haute;DERI-IPAI T3 2023.pdf
T3-2023;Bureau;transactions;-9.2;4.0;haute;DERI-IPAI T3 2023.pdf
T3-2023;Global;transactions;-4.5;-7.2;haute;DERI-IPAI T3 2023.pdf
T3-2023;Local commercial;transactions;-15.9;-16.5;haute;DERI-IPAI T3 2023.pdf
T3-2023;Professionnel;transactions;-14.7;-13.2;haute;DERI-IPAI T3 2023.pdf
T4-2023;Foncier;prix;0.3;2.1;haute;IPAI-T4-2023 (1).pdf
T4-2023;Local commercial;prix;-1.4;0.4;haute;IPAI-T4-2023 (1).pdf
T4-2023;Bureau;transactions;-3.1;14.2;haute;IPAI-T4-2023 (1).pdf
T4-2023;Foncier;transactions;13.2;1.6;haute;IPAI-T4-2023 (1).pdf
T4-2023;Global;transactions;2.0;-3.1;haute;IPAI-T4-2023 (1).pdf
T4-2023;Local commercial;transactions;11.3;-1.3;haute;IPAI-T4-2023 (1).pdf
T4-2023;Maison;transactions;-4.7;-10.7;haute;IPAI-T4-2023 (1).pdf
T4-2023;Professionnel;transactions;8.6;1.0;haute;IPAI-T4-2023 (1).pdf
T4-2023;Résidentiel;transactions;-1.4;-4.8;haute;IPAI-T4-2023 (1).pdf
T4-2023;Villa;transactions;3.7;-11.9;haute;IPAI-T4-2023 (1).pdf
T1-2024;Foncier;prix;-0.1;1.2;haute;Publication IPAI T1 2024.pdf
T1-2024;Local commercial;prix;0.7;-1.5;haute;Publication IPAI T1 2024.pdf
T1-2024;Villa;prix;-2.3;-0.2;haute;Publication IPAI T1 2024.pdf
T1-2024;Appartement;transactions;-13.9;-2.2;haute;Publication IPAI T1 2024.pdf
T1-2024;Bureau;transactions;-1.6;-7.5;haute;Publication IPAI T1 2024.pdf
T1-2024;Global;transactions;-13.8;-3.1;haute;Publication IPAI T1 2024.pdf
T1-2024;Local commercial;transactions;-19.9;-16.3;haute;Publication IPAI T1 2024.pdf
T1-2024;Maison;transactions;-21.3;-13.7;haute;Publication IPAI T1 2024.pdf
T1-2024;Résidentiel;transactions;-14.3;-3.1;haute;Publication IPAI T1 2024.pdf
T1-2024;Villa;transactions;-18.5;-21.6;haute;Publication IPAI T1 2024.pdf
T2-2024;Foncier;prix;0.5;-0.6;haute;IPAI T2 2024.pdf
T2-2024;Professionnel;prix;-0.3;0.4;haute;IPAI T2 2024.pdf
T2-2024;Foncier;transactions;-10.2;25.6;haute;IPAI T2 2024.pdf
T2-2024;Global;transactions;-8.2;12.1;haute;IPAI T2 2024.pdf
T2-2024;Local commercial;transactions;-17.2;-3.0;haute;IPAI T2 2024.pdf
T2-2024;Professionnel;transactions;-15.9;-2.3;haute;IPAI T2 2024.pdf
T2-2024;Résidentiel;transactions;-6.7;11.1;haute;IPAI T2 2024.pdf
T2-2024;Villa;transactions;3.0;-2.6;haute;IPAI T2 2024.pdf
T3-2024;Bureau;prix;-4.0;-2.4;haute;IPAI T3-2024 FR.pdf
T3-2024;Foncier;prix;-0.4;-0.6;haute;IPAI T3-2024 FR.pdf
T3-2024;Local commercial;prix;-0.4;-0.7;haute;IPAI T3-2024 FR.pdf
T3-2024;Villa;prix;-0.9;-1.9;haute;IPAI T3-2024 FR.pdf
T3-2024;Appartement;transactions;-31.4;-14.9;haute;IPAI T3-2024 FR.pdf
T3-2024;Bureau;transactions;-29.2;-17.7;haute;IPAI T3-2024 FR.pdf
T3-2024;Foncier;transactions;-15.9;3.4;haute;IPAI T3-2024 FR.pdf
T3-2024;Global;transactions;-28.9;-13.1;haute;IPAI T3-2024 FR.pdf
T3-2024;Local commercial;transactions;-43.7;-31.8;haute;IPAI T3-2024 FR.pdf
T3-2024;Maison;transactions;-11.2;-12.0;haute;IPAI T3-2024 FR.pdf
T3-2024;Professionnel;transactions;-41.1;-29.2;haute;IPAI T3-2024 FR.pdf
T3-2024;Résidentiel;transactions;-30.4;-14.8;haute;IPAI T3-2024 FR.pdf
T3-2024;Villa;transactions;-22.8;-20.1;haute;IPAI T3-2024 FR.pdf
T4-2024;Bureau;prix;2.2;0.1;haute;IPAI T4-2024 (1).pdf
T4-2024;Foncier;prix;1.4;1.0;haute;IPAI T4-2024 (1).pdf
T4-2024;Foncier;transactions;35.2;16.5;haute;IPAI T4-2024 (1).pdf
T4-2024;Global;transactions;43.9;17.7;haute;IPAI T4-2024 (1).pdf
T4-2024;Local commercial;transactions;74.4;1.2;haute;IPAI T4-2024 (1).pdf
T4-2024;Maison;transactions;24.2;6.8;haute;IPAI T4-2024 (1).pdf
T4-2024;Professionnel;transactions;79.9;10.8;haute;IPAI T4-2024 (1).pdf
T4-2024;Résidentiel;transactions;42.7;18.9;haute;IPAI T4-2024 (1).pdf
T4-2024;Villa;transactions;46.1;16.9;haute;IPAI T4-2024 (1).pdf
T1-2025;Foncier;prix;-2.5;-0.1;haute;Publication IPAI T1 2025.pdf
T1-2025;Villa;prix;-1.1;-0.7;haute;Publication IPAI T1 2025.pdf
T1-2025;Appartement;transactions;-29.0;-14.5;haute;Publication IPAI T1 2025.pdf
T1-2025;Bureau;transactions;-40.5;-9.5;haute;Publication IPAI T1 2025.pdf
T1-2025;Foncier;transactions;-33.1;-16.4;haute;Publication IPAI T1 2025.pdf
T1-2025;Global;transactions;-30.3;-15.2;haute;Publication IPAI T1 2025.pdf
T1-2025;Local commercial;transactions;-28.9;-20.0;haute;Publication IPAI T1 2025.pdf
T1-2025;Maison;transactions;-34.6;-15.3;haute;Publication IPAI T1 2025.pdf
T1-2025;Professionnel;transactions;-31.4;-18.2;haute;Publication IPAI T1 2025.pdf
T1-2025;Résidentiel;transactions;-29.3;-14.5;haute;Publication IPAI T1 2025.pdf
T1-2025;Villa;transactions;-31.8;-8.9;haute;Publication IPAI T1 2025.pdf
T2-2025;Professionnel;prix;-0.2;-0.3;haute;IPAI T2 2025.pdf
T2-2025;Global;transactions;-10.8;-21.2;haute;IPAI T2 2025.pdf
T2-2025;Local commercial;transactions;-13.3;-22.5;haute;IPAI T2 2025.pdf
T2-2025;Maison;transactions;-16.2;-26.9;haute;IPAI T2 2025.pdf
T2-2025;Professionnel;transactions;-13.3;-20.9;haute;IPAI T2 2025.pdf
T2-2025;Résidentiel;transactions;-15.1;-25.9;haute;IPAI T2 2025.pdf
T2-2025;Villa;transactions;23.7;11.4;haute;IPAI T2 2025.pdf
T3-2025;Bureau;prix;-0.8;0.9;haute;IPAI T3-2025.pdf
T3-2025;Foncier;prix;1.3;1.0;haute;IPAI T3-2025.pdf
T3-2025;Local commercial;prix;0.7;1.7;haute;IPAI T3-2025.pdf
T3-2025;Villa;prix;-0.8;1.8;haute;IPAI T3-2025.pdf
T3-2025;Appartement;transactions;15.7;26.7;haute;IPAI T3-2025.pdf
T3-2025;Bureau;transactions;12.3;43.6;haute;IPAI T3-2025.pdf
T3-2025;Foncier;transactions;9.3;21.0;haute;IPAI T3-2025.pdf
T3-2025;Global;transactions;14.0;26.6;haute;IPAI T3-2025.pdf
T3-2025;Local commercial;transactions;11.9;59.4;haute;IPAI T3-2025.pdf
T3-2025;Maison;transactions;19.3;1.9;haute;IPAI T3-2025.pdf
T3-2025;Professionnel;transactions;12.0;56.2;haute;IPAI T3-2025.pdf
T3-2025;Résidentiel;transactions;15.7;25.7;haute;IPAI T3-2025.pdf
T3-2025;Villa;transactions;9.7;62.3;haute;IPAI T3-2025.pdf
T4-2025;Appartement;prix;0.1;0.3;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Foncier;prix;0.4;0.0;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Local commercial;prix;0.4;0.2;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Maison;prix;0.5;0.1;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Résidentiel;prix;0.1;0.2;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Villa;prix;2.3;2.4;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Appartement;transactions;15.4;0.4;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Bureau;transactions;49.2;4.7;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Foncier;transactions;25.4;12.0;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Global;transactions;18.4;3.6;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Local commercial;transactions;25.2;8.2;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Maison;transactions;8.5;-0.9;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Professionnel;transactions;29.6;7.5;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Résidentiel;transactions;15.0;0.6;haute;Publication-IPAI T4 2025 (1).pdf
T4-2025;Villa;transactions;13.8;23.0;haute;Publication-IPAI T4 2025 (1).pdf
T1-2026;Foncier;prix;-3.0;-0.6;haute;IPAI T1 2026 (1).pdf
T1-2026;Local commercial;prix;-1.1;0.0;haute;IPAI T1 2026 (1).pdf
T1-2026;Global;transactions;-40.2;-9.3;haute;IPAI T1 2026 (1).pdf
T1-2026;Local commercial;transactions;-40.4;-4.9;haute;IPAI T1 2026 (1).pdf
T1-2026;Maison;transactions;-51.6;-25.3;haute;IPAI T1 2026 (1).pdf
T1-2026;Professionnel;transactions;-40.2;-3.6;haute;IPAI T1 2026 (1).pdf
T1-2026;Résidentiel;transactions;-38.4;-10.7;haute;IPAI T1 2026 (1).pdf
T1-2026;Villa;transactions;-53.1;-13.6;haute;IPAI T1 2026 (1).pdf
