trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T3-2016;Résidentiel;transactions;18.3;26.2;haute;DERI-IPAI T3 2016 .pdf
T3-2016;Villa;transactions;4.4;16.2;haute;DERI-IPAI T3 2016 .pdf
T4-2016;Global;prix (prose, a verifier);2.2;;basse;DERI-IPAI-T4-2016.pdf
T1-2017;Global;prix (prose, a verifier);2.5;;basse;DERI-IPAI T1 2017.pdf
T2-2017;Global;prix (prose, a verifier);-1.2;;basse;DEE-IPAI T2 2017.pdf
T3-2017;Global;prix (prose, a verifier);0.6;;basse;DEE-IPAI T3 2017_.pdf
T4-2017;Appartement;prix;-1.9;0.7;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Bureau;prix;1.9;14.0;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Foncier;prix;-1.2;1.8;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Global;prix;-1.3;0.9;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Local commercial;prix;3.6;2.1;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Maison;prix;-2.2;-2.9;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Professionnel;prix;3.4;4.4;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Résidentiel;prix;-1.7;0.0;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Villa;prix;-1.4;-2.6;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Appartement;transactions;-9.1;-12.2;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Bureau;transactions;-3.6;-29.9;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Foncier;transactions;20.7;-2.5;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Global;transactions;-2.4;-11.2;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Local commercial;transactions;1.9;-13.8;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Maison;transactions;-2.6;-24.8;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Professionnel;transactions;1.2;-16.0;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Résidentiel;transactions;-8.6;-13.2;haute;DERI-IPAI T4 2017 .pdf
T4-2017;Villa;transactions;0.5;-22.9;haute;DERI-IPAI T4 2017 .pdf
T1-2018;Appartement;prix;0.2;-0.2;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Bureau;prix;1.4;-1.0;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Foncier;prix;-1.1;-0.3;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Global;prix;-0.1;-0.4;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Local commercial;prix;-0.2;-0.6;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Maison;prix;1.2;-2.3;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Professionnel;prix;0.1;-0.5;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Résidentiel;prix;0.2;-0.7;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Villa;prix;-2.0;-7.2;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Appartement;transactions;-3.9;-3.1;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Bureau;transactions;29.4;-3.0;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Foncier;transactions;-4.9;16.1;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Global;transactions;-2.3;1.5;haute;DERI-IPAI T1 2018VF .pdf
T1-2018;Local commercial;transactions;11.7;7.5;haute;DERI-IPAI T1 2018VF .pdf
