Date,Taux d’Utilisation des Capacités,Evolution des ventes au cours des trois prochains mois,Evolution des ventes au cours des trois prochains mois (2),Evolution des ventes par rapport au mois précédent
2019-01-01,74.5983,33.0763,3.0906,-19.3566
2019-02-01,75.2523,64.0813,63.2285,25.4925
2019-03-01,74.6288,18.6072,12.5386,47.2289
2019-04-01,75.224,7.107,1.0931,22.9787
2019-05-01,75.139,20.6535,9.7257,-6.8384
2019-06-01,74.6076,33.4081,-7.0203,52.8567
2019-07-01,76.1837,-0.1339,-6.5068,-34.807
2019-08-01,68.7525,54.8967,11.616,-53.8655
2019-09-01,73.4057,22.7397,17.3488,67.9435
2019-10-01,75.8806,2.1309,19.1861,24.2552
2019-11-01,74.1376,12.5507,0.755,-16.2618
2019-12-01,73.1762,23.1464,5.1586,-4.9079
2020-01-01,71.2428,20.329,17.1595,0.4601
2020-02-01,71.6207,-3.5332,1.2199,-0.7202
2020-03-01,55.7715,-12.2963,-16.9787,-65.792
2020-04-01,46.8893,3.571,-15.3982,-91.9424
2020-05-01,56.0863,49.5586,-10.9382,-14.6257
2020-06-01,63.8966,38.5882,42.0322,49.3729
2020-07-01,67.2466,-3.4028,7.0422,52.1623
2020-08-01,63.2483,35.4904,-7.1278,59.5332
2020-09-01,69.6123,4.7494,0.2185,41.0899
2020-10-01,71.6592,3.2745,-5.8544,22.0183
2020-11-01,70.4426,35.266,2.6695,9.2616
2020-12-01,70.4931,32.7792,20.443,26.2088
2021-01-01,71.5197,16.2676,3.9967,22.3186
2021-02-01,71.4757,9.7765,6.1613,22.3239
2021-03-01,71.803,1.7248,0.1737,48.2557
2021-04-01,70.879,5.4359,0.8688,-28.3092
2021-05-01,73.627,5.3127,-0.0613,49.876
2021-06-01,75.2851,-3.7993,19.7303,54.6276
2021-07-01,71.4449,23.769,29.555,-26.7664
2021-08-01,71.0972,19.682,24.0253,59.1221
2021-09-01,73.0,33.8579,8.9246,-21.2537
2021-10-01,71.7832,37.4694,63.1845,53.4877
2021-11-01,73.1002,17.7384,12.6488,43.1715
2021-12-01,72.7198,-40.713,-0.5082,40.8202
2022-01-01,68.5428,53.0517,34.6957,-64.9969
2022-02-01,71.0363,35.2504,26.541,28.9296
2022-03-01,72.0164,27.2127,7.396,37.6819
2022-04-01,72.4921,45.7226,5.9504,39.9134
2022-05-01,73.0817,44.855,1.4157,43.1085
2022-06-01,73.6967,33.3585,-2.3722,59.9127
2022-07-01,71.3364,117.349,30.7049,-64.3626
2022-08-01,68.5494,62.047,17.768,-49.713
2022-09-01,73.9624,59.0857,39.2914,33.4193
2022-10-01,73.9624,47.3342,47.6063,44.096
2022-11-01,75.0,62.7604,37.1807,6.3275
2022-12-01,74.1352,56.624,23.8105,-20.9054
2023-01-01,72.0896,54.1353,9.8703,-36.0667
2023-02-01,73.0,54.2445,58.2496,32.021
2023-03-01,73.4369,37.168,43.2382,45.3839
2023-04-01,71.9566,49.6373,44.6365,-54.8332
2023-05-01,73.4369,36.44,19.3693,8.3014
2023-06-01,74.2301,46.4176,27.396,65.6751
2023-07-01,75.4323,56.8452,63.1366,61.1899
2023-08-01,75.6985,54.491,7.4013,-49.5663
2023-09-01,75.9365,52.9752,55.4793,45.4239
2023-10-01,75.8306,51.1097,22.1282,52.627
2023-11-01,76.3752,35.5663,23.1439,35.6917
2023-12-01,75.5136,-14.3966,-7.07,-12.4879
2024-01-01,78.1182,43.1599,9.3607,2.0501
2024-02-01,78.9205,-1.2406,50.9195,0.5228
2024-03-01,79.3496,51.7952,44.8296,11.4741
2024-04-01,78.0951,52.4801,37.4605,-13.4696
2024-05-01,77.526,33.7368,22.9611,26.999
2024-06-01,74.568,58.35,6.0187,39.2313
2024-07-01,75.6602,45.6596,30.2101,25.7918
2024-08-01,76.7202,28.5401,20.9687,64.2519
2024-09-01,78.87,19.0322,51.477,46.2688
2024-10-01,78.6055,29.9545,55.6184,39.9639
2024-11-01,77.9799,,,
2024-12-01,77.5673,,,
2025-01-01,77.9591,,,
2025-02-01,77.5801,,,
2025-03-01,78.7295,,,
2025-04-01,76.5767,,,
2025-05-01,78.2619,,,
2025-06-01,78.4565,,,
2025-07-01,79.3309,,,
2025-08-01,79.473,,,
