Colonne1,déc-07,janv-08,févr-08,mars-08,avr-08,mai-08,juin-08,juil-08,août-08,sept-08,oct-08,nov-08,déc-08,janv-09,févr-09,mars-09,avr-09,mai-09,juin-09,juil-09,août-09,sept-09,oct-09,nov-09,déc-09,janv-10,févr-10,mars-10,avr-10,mai-10,juin-10,juil-10,août-10,sept-10,oct-10,nov-10,déc-10,janv-11,févr-11,mars-11,avr-11,mai-11,juin-11,juil-11,août-11,sept-11,oct-11,nov-11,déc-11,janv-12,févr-12,mars-12,avr-12,mai-12,juin-12,juil-12,août-12,sept-12,oct-12,nov-12,déc-12,janv-13,févr-13,mars-13,avr-13,mai-13,juin-13,juil-13,août-13,sept-13,oct-13,nov-13,déc-13,janv-14,févr-14,mars-14,avr-14,mai-14,juin-14,juil-14,août-14,sept-14,oct-14,nov-14,déc-14,janv-15,févr-15,mars-15,avr-15,mai-15,juin-15,juil-15,août-15,sept-15,oct-15,nov-15,déc-15,janv-16,févr-16,mars-16,avr-16,mai-16,juin-16,juil-16,août-16,sept-16,oct-16,nov-16,déc-16,janv-17,févr-17,mars-17,avr-17,mai-17,juin-17,juil-17,août-17,sept-17,oct-17,nov-17,déc-17,janv-18,févr-18,mars-18,avr-18,mai-18,juin-18,juil-18,août-18,sept-18,oct-18,nov-18,déc-18,janv-19,févr-19,mars-19,avr-19,mai-19,juin-19,juil-19,août-19,sept-19,oct-19,nov-19,déc-19,janv-20,févr-20,mars-20,avr-20,mai-20,juin-20,juil-20,août-20,sept-20,oct-20,nov-20,déc-20,janv-21,févr-21,mars-21,avr-21,mai-21,juin-21,juil-21,août-21,sept-21,oct-21,nov-21,déc-21,janv-22,févr-22,mars-22,avr-22,mai-22,juin-22,juil-22,août-22,sept-22,oct-22,nov-22,déc-22,janv-23,févr-23,mars-23,avr-23,mai-23,juin-23,juil-23,août-23,sept-23,oct-23,nov-23,déc-23,janv-24,févr-24,mars-24,avr-24,mai-24,juin-24,juil-24,août-24,sept-24,oct-24,nov-24,déc-24,janv-25,févr-25,mars-25,avr-25,mai-25,juin-25,juil-25,août-25,sept-25,oct-25,nov-25,déc-25,janv-26,févr-26,mars-26,avr-26,mai-26
PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6607668.273014999,12330789.419369,19347196.943052,27271051.066792004,33508089.995737005,40627428.11508301,46518868.40436901,52526137.915597014,58715650.71844401,65368590.53954701,71986007.86746101,79483509.64994001,6969723.081902001,14026379.015970001,22440881.030335,30579002.350873,39204257.216229,48133811.945484,57024237.752531,66306058.388317004,73927610.355045,82406253.855678,91091083.61446601,101921466.86220801,9017765.833228001,17125590.607697003,26872185.573712006,34611531.43345401,43668671.10368801,52894380.667049006,60614331.84055801,68460140.484936,77172105.08926201,86311891.04614702,97830083.91914302,107251916.19605002,9247725.113075001,20829999.264676005,30713880.063464,39446294.544067,49302443.244391,58223331.759993,67715101.371169,77253936.919887,85192503.15743601,94799412.94664301,106028104.16668901,117860900.081246,9737993.917376,19005455.507525004,31610331.408828005,42743869.83097101,52298846.82095501,64408644.391683005,73961146.277621,83664627.115431,93992115.80829899,105044902.77445298,114320758.81999399,125047455.82652299,10704076.671720002,20563323.100972,29312692.399842,35971229.072257005,42787578.62255501,51721992.50528101,59384899.85996601,67714075.308886,77674662.57971601,86554580.18018201,96560086.49329701,106966724.63320401,9257590,18538794,29209375.000460006,39343962,49305714,58139937.476035014,66973806.75648202,76893588.33567402,86825765.20591202,95512135.67860402,105953688.82341002,116645727.21797302,9965913.092049995,20484243.683491,31478605.251124002,42263256,54052835.995603,65843711.136455,76665405.584558,88288354.08090399,101884115.69421399,114227089.84525798,126650946.20124298,139704329.75823998,13848029.244993,25711905.334129997,38969809.6385,50314218.224373,64394647.999797,76656514.329879,88986976.62892601,100140769.78743601,112661220.84130001,126897337.57542501,141236492.61303303,155363597.69876802,12438863.678583996,25620989.260872997,39498114.684305,53109672.505819,68000184.532301,80481015.903753,95600736.933621,109485388,123870426.206137,139668515.277035,156205550.946538,174347686.333398,13495375.515702005,27278491.031830005,41075086,58967722,74929725,91704907.52147199,109150235.00974,123369179.881167,140709499.140171,160495519.98043,179438987.188591,197267518.466713,15244855.217225,31233140.195592,51249978.613671005,71917227,89020771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMI PRODUITS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6968018.695191001,13442130.354837,21049420.985995,28748030.447933998,35712192.598997,43256321.490338996,50595085.433427,57152188.528958,63764852.142158,71213272.81457101,78511556.51278201,85988339.51428501,6905852.788175,14572415.426822,23551525.597035997,31294236.501756996,39640637.482714996,47523078.73295599,54613725.86823199,62366715.74006099,69044533.885173,76519420.905994,83949110.833022,91564814.493738,7832524.205689,14914202.662856001,24144483.214754004,32200353.712194003,41294526.751158,48982755.41368,56338788.063816,63788809.493489005,71455462.375153,79582112.753692,87560650.3497,95570940.21705401,8025164.250504001,16104330.914967,24598309.973654,33583879.016095,43324889.678559,50993672.982177,59406877.627376996,66577513.209519,74313803.858672,82937445.28079098,91108904.50792399,99859082.849586,9349200.584869998,17582141.790109,27099320.590673,36470178.736189,45664066.149877004,53800439.238487005,62287406.812185004,69329371.313811,77780898.912699,87355985.764678,95496258.563644,104507353.579025,8829337.178546999,17375891.011568,26165464.278194003,32420159.660279002,38328977.221438006,45093801.369756006,52210717.596879005,59678294.801898,67581690.37179,75741199.017461,83935086.928269,93224020.087048,7934508,16062701,26517211.559380002,36003921,45590408,55868907.736499,64618103.848667994,74326477.248312,84267172.227635,93588981.72776599,104590865.847471,115853811.417729,12389650.849951,24366990.460633,40439698.316240005,55091864,70145724.138168,86663424.30912,100204946.314485,113838614.556318,127356004,141599507.657451,155940275.14037502,169685014.59511203,12011640.235591004,24107505.620575,37707762.144277,49328166.519141994,62622487.880714,75081070.12022,86955348.272125,98274446.79443002,110254493.66400202,123611203.22631902,138083978.365007,151766342.627995,12814678.560014002,25004889.010613002,37546199.071335,51633583.139881,66777323.571126,79746967.63139701,93981545.81743,106275926,119652078.708217,134855425.130878,149117048.707757,163915578.698018,13046445.884631997,25777029.975460995,39214162,55405579,70598862,84691698.074315,100192969.089873,113758357.13134499,128223947.26989499,143531525.020537,157964157.72169098,171891696.232525,11002584.132482996,24382922.372902,40022442.782570995,56923113,70762639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIE  ET  LUBRIFIANTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437865.099259,9033453.624589,16375355.847330999,21113975.077531,28947855.374031,35445839.708041,41947363.786593996,46299319.466883995,51027883.70111399,56268106.73456399,61428552.90483099,66251779.461670995,3381757.6591499997,6749316.924389999,11063583.999632,15328685.675477002,19797352.182297003,24654432.568957,29327169.056837,34556497,39327517.261532,44118348.425172,49080725.657922,54507099.730743,5757289.690891,10318975.095102001,17392422.253352,22660598.790364,28173159.587174002,33608329.277273,39100553.118344,45106388.087894,50706608.560712,56572667.224261,63277263.272739,69542169.055828,6208050.884244,12291000.293985,18409517.092597,24687163.895197,31625963.822677,38690013.263743,45996993.37574,53953494.900235,60774508.085216,68143581.103512,75337380.539012,82301405.017042,5913032.54173,11234617.999319999,18397291.196419,26162901.661659002,32200884.438079003,38385510.551539004,45220489.489408,51908049.170588,57715707.026283,63550318.771147005,69732601.445518,76342263.334622,6684112.060531,12037288.399983998,17403167.814214,20206363.141378,22656034.047836002,26232087.834110003,30713713.214907,34334301.311527,37544322.144089,41139802.931806,44910736.978054,49877775.594524,4737491,8716554,14946195.671124,20259442,25557710,31812489.676195994,38775514.234202996,45160271.184034,51900465.183327995,59322812.90377899,67191621.550811,75792148.911086,8064511.35887,15983243.951467998,28259768.73071,43914609,54882732.688656,71513420.617529,87711806,102694489.559544,115092964,129065683.472884,141163806.19467,153187359.79985198,10996619.218139,21034859.32037,32473085.673279002,42683969.888392,51606682.777236,60587627.299837,69636316.607337,79664271.668964,91080508.626353,100575727.86234999,110879176.47707999,121996512.70335099,9657638.936957,18683482.757516,28080288.741441,39201778.624557,48759618.661476,57288591.846972,66894782.34568801,77444828,85865483.06019801,95208846.72651401,104251092.589908,113826720.139266,8517658.373078,18483912.953612,28175361,37300341,45704006,53187835.138101995,62917168.846387,72664482.320351,81440117.447822,91147070.395852,98830867.36179,107519804.889538,6802862.414634,15923104.912076999,28626809.104011998,41780629,55185247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUITS BRUTS D'ORIGINE MINERALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615351.3819500001,1233645.61421,2096843.46191,2978322.30848,3783528.4066500003,4822649.82723,5681093.876552,6464248.505972,7319403.962182,8102091.064972,8789661.547532,9330843.904842,571985.95686,1011890.35555,1586087.5986199998,2116561.78008,2728020.12507,3234219.255711,3735608.6744750002,4144865.423305,4597944.625305,5076749.070464999,5689263.666865,6182625.636201,521051.598251,934239.400437,1468613.954357,2117590.677107,2628272.796245,3339606.7348950002,4147948.590385,4733576.8260200005,5303615.08934,5949486.66796,6892157.178832,7723755.224022,728081.675172,1897857.761132,2699421.726466,3621758.7083590003,4679325.326758,5434400.329192,6380280.861073,7273730.246321,8289316.109673,9295247.774632,10208529.826785,11327408.954822,1298446.068344,2090507.9868370001,3249953.295621,3990803.547661,4731669.956803,5438203.6162479995,6275217.800926999,6938784.212625999,7564732.956107999,8473901.813968,9008962.210691,9602281.566941999,616529.063324,1025954.858278,1653012.576241,2166880.31581,2804763.470393,3389218.777664,4066531.07209,4728789.412557,5306019.647886001,5920907.0884380005,6585193.322657,7184180.967446,746496,1216058,2294358.962135,3157536,4428082,5840234.556787999,7087461.9574,8487363.027409,9879193.27648,11217402.563622,12604888.990186,13951719.583377,1799641.826099,3520742.289674,5647622.176565,7486612,10705529.770949,13689695.453313,16826944.382997,19060847.180859998,20357361,21559332.215012,22800502.061352998,24277557.730175998,1164277.3547969998,2474217.632576,3964752.963789,5177103.164954,6519949.000377,7673561.704019001,8758930.089395002,9655048.302481001,10504046.649329001,11664377.172238002,12647029.909189,13906703.56873,1039061.367092,1932995.943763,2927765.887573,4422620.044381,5834094.938409,7242568.469883,8392678.084668,9546636,10822675.039769,12150883.5221,13566941.208867,15298978.284959,1221859.8082289998,2578434.6030659997,4006903,5918968,8205448,10146937.217108,11866184.800842,13912375.193503,16439015.486101,18839371.690279998,20839226.869041,22735768.456074998,2657899.7728569997,5261423.21841,8876900.738725,12978981,16192944
"Production d'électricité

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592.377,5001.429999999999,7629.9839999999995,10207.343000000003,12956.947,15861.803999999998,18956.133,22039.666999999994,24964.943999999992,28440.694000000003,31374.531999999992,34519.399,3329.1360000000004,6366.607,9760.645999999999,12974.795,16506.589000000004,19849.18,23590.264,27151.242000000002,30542.858999999997,33976.13,37148.82199999999,40348.208,3267.9098700000004,6375.277832,9462.825626,12165.56608375,15151.61244475,18372.774844749998,22130.04971275,25436.300565750003,29136.39788675,32459.73847475,35604.451400750004,38754.45981275,3326.4158580400003,6235.419783539999,9528.464565100001,12821.140495730002,16246.25487506,19819.83187818,23601.240325639996,27363.043064070003,30939.00147559,34462.92744678,37780.56061462001,41259.791620029995,3440.8313144,6513.4516018,9930.44497568,13279.417886340001,16871.35617267,20447.606156545113,24327.846998885118,28145.685063455116,31611.37714538502,34983.47644982598,38265.86130356332,41420.37074737548,3235.872871482167,6242.746828077831,9671.476446751156,13029.033993014153,16612.55744410749,20324.92032087632,24380.617620695823,28355.74096780949,31935.453047947653,35577.67515211249,38916.20815360532,42409.31666115985,3541.5822525595,6833.517185977333,10223.304102377635,13424.667022086134,17012.405342656297,20579.269916191814,24778.618965873713,29015.384474860213,32708.001011398894,36373.605827954525,39847.84661450219,43697.83730929953,3779.8367679435,7154.479457781665,10731.339916876666,14291.615531392501,18022.958184086165,21842.873182719333,26209.00766780384,30547.951825900167,34623.51331462999,38578.871145487166,42174.163971148664,45898.09269075136,3811.9550659475685,7035.919280935399,10641.845754022735,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consommation d’électricité (en GWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430.483,4691.156,7380.216609000001,9722.006,12150.259,14797.626,17471.748,20040.044,22965.682999999997,25627.449,28044.215000000004,30736.765000000003,2437.235,4617.568962,7317.844,9658.937,12220.671,14936.621,17617.007,20175.438000000002,23132.685,25771.031,28141.675,30836.231,2470.596,4800.053,7442.34462281,9429.692000000001,11537.676,14202.479,16903.476,19526.214,22481.182,25043.247000000003,27526.796,30284.165429779998,2469.16556361,4703.09633218,7473.609280419999,9932.07395258,12377.478881129999,15252.085045824999,17947.942640096997,20783.834601616996,23861.554969757995,26483.115295027994,29024.266087338,31951.159780497997,2511.6241354699996,4832.60748471,7660.15423711,10169.16856114,12877.01358108,15947.443915990001,18813.70465585,21816.568431220003,25037.097795330003,27871.24582882,30508.053061380004,33423.851723693006,2555.1295058100004,5057.615731850001,8076.555613608,10782.725270088,13530.585355078001,16538.489708688,19587.019829698,22764.763929408,25933.137555857997,28781.071857768,31431.809800628,34427.185645288,2672.00429231,5148.61447983,8148.28643672,10705.326059340001,13508.50359097,16465.651820823,19643.975867233,23047.124801693004,25994.146309603002,28972.656274193,32029.868442663002,35268.027303795,3121.3333781099996,5952.52872505,9170.154474725998,12171.772927976,15414.545750925998,18920.348818526,22715.496036946,26589.753758425995,30267.274718446,33912.022268626,37439.527204626,41106.818410625994,3465.996769,6528.25679,9777.765014,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production d'électricité ONEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.68,1911.9279999999999,2674.705,3532.993,4446.818,5352.361,6360.880999999999,7367.291,8266.445000000002,9266.052,10137.231,10991.625,794.053,1486.4270000000001,2186.731,2673.221,3415.0510000000004,4101.998000000001,4963.656,5744.72,6608.378,7564.985,8415.703000000001,9154.284,739.1850000000001,1434.428,2008.5600000000002,2366.668,2812.764,3478.474,4320.01,5088.217000000001,5831.322,6444.6269999999995,7193.546890000001,7889.724033,649.2660410400001,1275.87046154,1887.4035671000004,2606.7789737300004,3172.24286606,3870.4616861800005,4751.167815639999,5655.681471070001,6385.623484590001,7092.918217780001,7916.641843620001,8831.00103203,803.0701003999998,1632.4959238,2537.1575229299997,3283.8127875899995,4140.198340919999,5092.843050795114,6008.0968181351145,6933.325355705116,7698.539533635017,8630.088475075981,9437.780141813315,10156.175471625482,736.1053664821665,1518.6431220778331,2341.009911751167,3036.894367014167,3771.1229221075,4610.744380876334,5436.255508695835,6279.5066588095015,6937.081351947668,7748.420396112501,8466.728137605334,9204.308291159861,729.9704025594997,1450.477562977333,2107.962560377633,2734.759672086133,3519.9779515162995,4269.332104191811,5255.7720868737115,6123.589310860212,6915.103524398891,7729.709597954526,8490.820381502192,9343.771718299526,738.3269029434999,1513.2874062816666,2308.3433923766665,3021.1859607124993,3799.9374242861663,4563.190341219333,5520.406270303834,6473.925623400168,7395.6220721300015,8290.080866987168,8998.157799648669,9736.315855251345,750.8410366975671,1580.6682769354002,2165.775314022733,2849.9006573300667,3477.7445659742334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production d'électricité Privée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.284,2893.7819999999997,4617.071,6178.241,7836.467,9648.567,11498.911999999997,13553.216999999999,15555.233,17484.906,19392.729999999996,21491.447999999997,2319.358,4447.834000000001,6910.855,9412.954,11954.775000000001,14384.393999999998,16925.831,19405.877,21694.44,23942.598999999995,26009.459,28237.690000000002,2318.858724,4498.988554,6775.090881,8889.146850750001,11189.16794075,13498.905288749998,16096.49266975,18527.10972375,21030.18037375,23520.13831275,25744.07666775,27994.035597749997,2448.570724,4530.31682,6975.286786,9329.080695,11894.26978,14475.567269,17045.16088,19611.142875,22245.736920000003,24816.0699,27104.493302000003,29467.542475000002,2390.3752430000004,4407.669337,6655.70852875,8994.81888975,11476.514276750002,13792.236499749999,16417.08824275,18983.95925775,21447.120994750003,23694.024353750003,25959.38476675,28216.518260749996,2265.217268,4304.425489999999,6632.3769889999885,9017.982431999986,11587.83578899999,14207.232716999988,17045.803925999986,19788.245022999985,22364.313148999987,24886.701724999988,27221.607711999983,29720.136888999987,2511.870957,4726.408081,7159.96799,9396.981510000001,11773.392774000002,14183.038894000001,16932.933643,19860.342961000002,22395.709268000002,24970.704881,27473.146365,30175.448732,2752.47815,5067.367935499999,7614.721003499999,10114.056790499999,12723.901707500001,15415.2220755,18375.9649375,21345.9425915,24125.394086499997,26894.6992365,29532.305245499996,32276.001420500004,2728.4947562500015,4803.574448999999,7399.831337000002,9939.804290999999,12683.849527999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consommation de combustibles (Fioul, Charbon, Gaz oil) Tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663285.5314152894,1353845.797808652,1977319.2953319794,2559461.1165674506,3221759.009143907,3872831.670192909,4578598.29927406,5268514.919901304,5943180.197698657,6620112.616221252,7307904.759546978,8086111.243659756,876760.4595384684,1661745.8115380255,2511592.3117201356,3314986.1656092885,4169864.5963937147,5045517.236151009,5955271.331873389,6848014.827783283,7713238.345701106,8585250.677067436,9377106.691074003,10233699.868000856,902518.6321607885,1731032.565358857,2567370.1560327965,3319462.5057637026,4163888.1638805997,5026046.194437488,5938775.2558917375,6807491.922551997,7704886.2989008855,8543010.72182704,9391749.100864949,10209389.269467264,870713.4800818303,1609196.7504896354,2492668.776924363,3332797.1304162685,4222145.70829977,5116171.609638129,6033972.232426432,6966194.042962547,7948904.960560658,8832436.994189983,9831516.915568663,10906777.001898518,1046373.783649633,1959980.0677832463,2976551.159407174,3943650.0465641827,4967204.164286314,5976987.9230695255,7053390.828895741,8108028.712840333,9072455.752343928,10025975.86881696,10919634.301115822,11829317.002883678,868932.6681091469,1686068.24460603,2514455.4204699155,3350100.6365188295,4225308.944558395,5150195.43228023,6104680.6017169915,7025591.141902689,7867040.882206319,8762392.486453576,9566913.657679161,10450123.48679731,856634.9624821413,1629307.299340531,2434064.6382037685,3154156.5438594576,3876567.038673259,4625647.16024061,5528265.6787658,6504513.372719818,7363956.698381447,8247792.083523446,9118977.493179703,10086008.21700026,944633.1187574404,1731105.1995504661,2585362.5980313984,3389842.666049014,4242129.112795121,5065078.68048855,6024561.229059962,6993467.757992368,7887348.318283335,8828643.785516772,9727314.689463781,10663462.589813543,891323.3766047554,1539601.2092532497,2302719.5124823083,3133458.0198012297,3917726.576070414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consommation de Gaz naturel (en Nm3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79255540,129152906.03,197813201.36,262397375.51999998,349489371.31,435161579.43,523859010.51,606768483.24,689102767.02,779735586.44,864170626.51,950598121.42,79937457.09,151915473.68,227492432.4,293067822.31,371176429.06,426390914.06,503429599.94,570312209.63,652411859.9200001,735004460,810539602,884289835.73,65457267.29,128329326.78,161669167.09,161969684.09,162696545.09,197836138.34,281250938.5,356302726.47,432734339.09000003,510600577.28,589393158.6700001,668750984.9000001,67236950.77,137033785.68,179067707.21,247622292.12,285577039.12,350896359.31,439570144.42,521598610.99,580824145.45,661970864.44,661970864.44,661970864.44,0,0,0,0,0,0,6164538.59,12530961.190000001,32105662.19,60109411.120000005,106160520.5,146294933.79,48593566,99270786.99,173541930.7,244402878.7,318811998.7,392227817.7,466158349.7,547298849.7,621282055.7,686115276.7,744780364.1847162,807131832.2547162,71175703,111123450,174246174,239557513,315973500,378636654,458075007,537935742,614218744,692289653,767209220,829941824.7161572,57013318,123851718,196977256,263489377,333446797,412871614,494824108,578490359,578490359,660909603,730353583,805704343,70772181,128165326,166101664,200713611,267687178
Arrivés de touristes étrangers de Séjour (TES),,,,,,,,,,,,,,,,,,,,,,,,,,291.608,618.625,1055.963,1488.301,1919.275,2351,2860,3264.039,3657.948,4146.204,4518.787,4910.435,348,730,1137,1638,2020,2444,2964,3359,3753,4205,4545,4934,305,645,1052,1529,1941,2407,2912,3386,3795,4260,4614,5012,309.813,650.294,1106.285,1572.923,2024.424,2490.937,2986.876,3530.112,3974.55,4475.124,4866.468,5323.333,354.493,750.368,1221.456,1774.752,2255.744,2712.739,3210.915,3725.7,4156.851,4639.985,5013.366,5437.453,329.83,699.116,1150.577,1672.362,2138.667,2524.538,3039.592,3498.591,3933.366,4402.222,4749.094,5151.704,316.871,666.452,1108.197,1605.463,2042.896,2382.203,2907.58,3383.669,3793.099,4256.125,4642.43,5103.204,358.611,762.302,1238.401,1825.264,2294.873,2707.806,3299.59,3825.729,4293.24,4865.197,5334.334,5864.92,431.349,912.79,1538.074,2170.191,2642.158,3162.781,3779.689,4375.268,4898.663,5551.263,6108.448,6679.101,479.056,997.902,1596.308,2285.523,2760.168,3360.257,4094.137,4756.897,5293.18,5950.53,6468.633,7043.48,449.052,1025.909,1234.208,1234.909,1235.482,1236.188,1244.654,1253.292,1268.697,1307.453,1338.113,1407.994,50.534,83.22,120.30000000000001,,156.426,257.411,522.172,710.625,853.431,1102.073,1280.617,1284.335,2.774,122.825,364.745,707.991,1144.407,,,,3339,3975.775,4469.788,5064.774,444.375,986.018,1583.685,2238.613,2868.69,3466.998,4219.205,4835.348,5335.558,5987.151,6513.777,7149.994,494.208,1136.941,1827.967,2582.067,3349.279,4032.636,4892.823,5722.229,6421.663,7293.112,8013.579,8797.771,624.848,1386.225,2154.964,3121.688,,,,,,,,,,,,,
