Colonne1,déc-07,janv-08,févr-08,mars-08,avr-08,mai-08,juin-08,juil-08,août-08,sept-08,oct-08,nov-08,déc-08,janv-09,févr-09,mars-09,avr-09,mai-09,juin-09,juil-09,août-09,sept-09,oct-09,nov-09,déc-09,janv-10,févr-10,mars-10,avr-10,mai-10,juin-10,juil-10,août-10,sept-10,oct-10,nov-10,déc-10,janv-11,févr-11,mars-11,avr-11,mai-11,juin-11,juil-11,août-11,sept-11,oct-11,nov-11,déc-11,janv-12,févr-12,mars-12,avr-12,mai-12,juin-12,juil-12,août-12,sept-12,oct-12,nov-12,déc-12,janv-13,févr-13,mars-13,avr-13,mai-13,juin-13,juil-13,août-13,sept-13,oct-13,nov-13,déc-13,janv-14,févr-14,mars-14,avr-14,mai-14,juin-14,juil-14,août-14,sept-14,oct-14,nov-14,déc-14,janv-15,févr-15,mars-15,avr-15,mai-15,juin-15,juil-15,août-15,sept-15,oct-15,nov-15,déc-15,janv-16,févr-16,mars-16,avr-16,mai-16,juin-16,juil-16,août-16,sept-16,oct-16,nov-16,déc-16,janv-17,févr-17,mars-17,avr-17,mai-17,juin-17,juil-17,août-17,sept-17,oct-17,nov-17,déc-17,janv-18,févr-18,mars-18,avr-18,mai-18,juin-18,juil-18,août-18,sept-18,oct-18,nov-18,déc-18,janv-19,févr-19,mars-19,avr-19,mai-19,juin-19,juil-19,août-19,sept-19,oct-19,nov-19,déc-19,janv-20,févr-20,mars-20,avr-20,mai-20,juin-20,juil-20,août-20,sept-20,oct-20,nov-20,déc-20,janv-21,févr-21,mars-21,avr-21,mai-21,juin-21,juil-21,août-21,sept-21,oct-21,nov-21,déc-21,janv-22,févr-22,mars-22,avr-22,mai-22,juin-22,juil-22,août-22,sept-22,oct-22,nov-22,déc-22,janv-23,févr-23,mars-23,avr-23,mai-23,juin-23,juil-23,août-23,sept-23,oct-23,nov-23,déc-23,janv-24,févr-24,mars-24,avr-24,mai-24,juin-24,juil-24,août-24,sept-24,oct-24,nov-24,déc-24,janv-25,févr-25,mars-25,avr-25,mai-25,juin-25,juil-25,août-25,sept-25,oct-25,nov-25,déc-25,janv-26,févr-26,mars-26,avr-26,mai-26
Production des dérivées de phosphates (Jan 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361.3,3455.7,,6035.9,,,10205.3,,12602.7,13714.07,,,2653.2,3917,,,8054.7,9507.6,11634.042000000001,12516.24282,,15442.042819999999,16854.8,,2737.2,4202.5,,,8900.8,10554,,13772.099999999999,,17004.8,18488.199999999997,,2797.2,4471.3,,7594.6,8982.5,,12162.9,13561.3,,16564.4,18166.3,,2769.2,4267.5,,7391,8767.3,,11702.5,13095.5,,15885.7,16940.2,,2129.2,3465.7,,6158.6,7436.3020000000015,,10356.7125,11886.902000000002,,15297.9291,17109.602000000003,,2869.8999999999996,4581,,7897.4,9772.359678942401,,13375.2596789424,,,,,,3179,4953.1,,8522,10347.7,,,16043.266336087998,,,21662.866336088,,2930.9,4920.9,,
Exportations OCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2767.5176498099995,5792.99161077,9597.3496973,13636.064290060001,19345.70503251,25020.476090409997,29135.56467041,33878.69776691,38390.81045591,42295.33922991,45618.951922910004,51988.71106067001,3416.33599077,6604.062110770001,11584.79936527,15877.53200127,20911.434442269998,25501.02533527,30100.91753527,34467.73451154,38678.124042157004,42406.982563577,45373.408028577,48945.593811577004,3075.165880046,6619.813071185999,11018.658821186002,15544.464954186,20581.188110185998,25080.521205436,28802.236637436003,32578.902633436002,37912.931654659005,41548.528318159006,45550.469006109,50867.821932109,3482.421825982,7258.007013409,13434.019212549,18193.925482549,24269.633626549003,31173.880745348997,37973.45133566899,46445.291136668995,55119.96576556901,61415.63003541899,69780.096112677,80270.73177702699,8771.574313995,14679.453997903,24525.419007455,35507.273680398,47210.09824008,56577.97648851999,68376.882200489,77876.89596511799,91495.028785768,101791.261142145,108394.799683276,115483.73435889099,5348.6743714,10787.075991887,18049,24101,30392,35874,40455,47916,54569,60734,68947,76695,5199.20926753,10804.73743954,17174.55871694,24633.729685759998,31107.261244299996,39174.36871635,47215.35119964,56151.853518658,62627.527194348,70145.478377348,80628.872419373,87085.202188673,5569.062035487999,11465.564817253999,20570,27564.694904839,36824.477491104,46481.224636843006,56216.707575088,65760.052832524,71833.823404474,78700.62010193299,90972.81655221299,99741.33336469698,3151.31637113,9573,19057,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prix internationaux de Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,50","110,50","109,75","109,00","109,00","103,00","97,50","96,88","95,00","97,50","95,63","92,50","92,50","92,50","88,75","85,00","80,00","80,00","80,00","80,00","82,50","84,70","88,00","88,00","86,80","86,88","87,50","87,50","91,25","92,50","99,17","102,50","102,50","98,50","97,50","97,50","97,50","80,00","78,00","77,50","77,50","74,00","72,50","72,50","72,50","71,88","70,75","72,90","75,00","75,00","76,88","79,38","80,00","82,50","83,33","85,00","88,13","96,25","95,00","102,50","125,00","125,00","136,88","147,50","147,50","153,13","176,67","173,13","172,50","178,75","249,50","255,00","287,50","320,00","320,00","320,00","317,50","300,00","300,00","300,00","322,50","345,00","345,00","345,00","344,50","342,50","346,25","347,50","347,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50","152,50",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportations phosphate+derivés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2202.67151036,5367.14741516,9686.67396516,13694.49829766,18139.37503611,22312.50938511,25389.7526844,30490.440549799998,34596.941327839995,37818.065111339994,40988.824412639995,44400.900440369995,2998.276637,5075.47656499,9230.63746788,12718.63449175,16128.22428175,19647.25048075,23463.28876575,26490.04051972,29755.801648369,32768.140528362,35876.715165238,39598.461008333004,2367.13773086,5737.67821074,10305.88077526,14183.902450070002,17572.88351007,21392.96474623,25404.941181230002,28833.252270214,32784.507607264,36874.088109784,40176.546415894,44209.661924174005,2767.5176498099995,5792.99161077,9597.3496973,13636.064290060001,19345.70503251,25020.476090409997,29135.56467041,33878.69776691,38390.81045591,42295.33922991,45618.951922910004,51988.71106067001,3416.33599077,6604.062110770001,11584.79936527,15877.53200127,20911.434442269998,25501.02533527,30100.91753527,34467.73451154,38678.124042157004,42406.982563577,45373.408028577,48945.593811577004,3075.165880046,6619.813071185999,11018.658821186002,15544.464954186,20581.188110185998,25080.521205436,28802.236637436003,32578.902633436002,37912.931654659005,41548.528318159006,45550.469006109,50867.821932109,3482.421825982,7258.007013409,13434.019212549,18193.925482549,24269.633626549003,31173.880745348997,37973.45133566899,46445.291136668995,55119.96576556901,61415.63003541899,69780.096112677,80270.73177702699,8771.574313995,14679.453997903,24525.419007455,35507.273680398,47210.09824008,56577.97648851999,68376.882200489,77876.89596511799,91495.028785768,101791.261142145,108394.799683276,115483.73435889099,5348.6743714,10787.075991887,18049,24101,30392,35874,40455,47916,54569,60734,68947,76695,5199.20926753,10804.73743954,17174.55871694,24633.729685759998,31107.261244299996,39174.36871635,45630.69848565,53671.680968939996,62608.183287957996,69083.856963648,76601.80814664799,87085.20218867299,5569.062035487999,11465.564817253999,20570,27564,36824,46481.224636843006,55249.741449327004,64985.224387572,74528.569645008,80602.340216958,87469.13691441699,99741.33336469698,3151.31637103,9553.98518207,19186.323829805002,27149,32693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportations autres extractions minières (Oct 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747,,,252,537,1072,1333,1674,2231,2489,2663,3158,3487,3687,4201,142,447,789,935,1192,1595,1752,2046,2485,2618,2919,3446,175,533,997,1456,1841,2257,2637,3206,3589,3983,4316,4968,329,702,1390,1805,1805,3009,3261,3709,4278,4553,4939,5636,446,865,1470,1835,2221,2819,3040,3535,4028,4450,4852,5446,337,691,1147,1486,1992,2672,3106,3548,4206,4623,3630,5570,409,782,1379,1720,2055,2552,2895,3255,3703,4178,4503,5643,643,1062,2150,3029,4015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
