Date,Industrie de transformation,Finances et assurances,Hébergement-restauration,Pêche,Industrie d'extraction,Construction,Information-communication,Immobilier,Agriculture,Commerce,Transports,"Électricité, gaz, eau",Services aux entreprises,Administration publique,Éducation-santé,Autres services
1998-01-01,NA,NA,NA,NA,NA,-0.0028168165512240427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01,NA,NA,NA,NA,NA,0.007662629947455842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-07-01,NA,NA,NA,NA,NA,0.009956195407774763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-10-01,NA,NA,NA,NA,NA,0.005620637629500649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01,NA,NA,NA,NA,NA,-0.00790982984914849,-0.024096209153554322,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-04-01,NA,NA,NA,NA,NA,0.014959263507494614,-0.018508965987819544,NA,0.0056402861751621005,NA,NA,NA,0.05660559433585978,-0.20409565942430297,0.006245154202187065,NA
1999-07-01,NA,NA,NA,NA,NA,0.009269301334115455,-0.00991763270645085,NA,0.04898033865468995,NA,NA,NA,0.029054661870036427,0.18524879271202616,0.011611606935364227,NA
1999-10-01,NA,NA,NA,NA,NA,0.002019788282567779,-0.01355949205694149,NA,0.002558422864049708,NA,NA,NA,0.011166556985085403,-0.04138873538655839,0.009479360662740577,NA
2000-01-01,NA,NA,NA,NA,NA,-0.0014515216338220286,-0.03407879572968876,NA,0.08547619534819702,NA,NA,NA,-0.002906921738239362,0.10229181111468165,0.008796732117387436,NA
2000-04-01,NA,NA,NA,NA,NA,0.011168128254334862,-0.02643847077539574,NA,0.03920534148356782,NA,-0.012021796679146499,NA,-0.010916963348879132,-0.06857134249290525,0.0032408529696466657,-0.0457057015993814
2000-07-01,NA,NA,NA,NA,NA,0.007899527950077818,-0.018972805781955978,NA,0.006268855810902002,NA,-0.005936459593362005,NA,0.009522932893034524,-0.019944211649772864,-8.510378421642279e-4,-0.03147570364913359
2000-10-01,NA,NA,NA,NA,NA,5.084845265645437e-4,-0.02111535187350443,NA,0.03621870894041666,NA,-0.04270930459382136,NA,0.009264181245088886,-7.544551798421137e-4,0.012728861174512215,-0.026243447277213682
2001-01-01,NA,NA,NA,NA,NA,0.0023456181036576504,-0.034777901475638764,NA,0.05129772021034014,NA,-0.020318426312535505,NA,0.017700561915820368,0.028429322923459576,0.023240238434855818,0.020648541559725713
2001-04-01,NA,NA,NA,NA,NA,0.012059097575016775,-0.0280492671675351,NA,0.0582666411290775,NA,-0.04878971951273568,NA,0.01097998657208784,0.03048589464857571,0.025829602665644928,0.017105499374876584
2001-07-01,NA,NA,NA,NA,NA,0.006035157145204906,-0.023542053813818988,NA,-0.06367688035641658,NA,0.017133177247049446,NA,0.016260437608194966,0.022279666078865272,0.01683272486828541,0.01392830759859115
2001-10-01,NA,NA,NA,NA,NA,0.0035529670226647635,-0.016251398841579827,NA,0.021498262101941123,NA,-2.0508096187687314e-4,NA,0.008662000894617916,0.011443428094602418,0.012808170721085102,0.013746192880112449
2002-01-01,NA,NA,NA,NA,NA,-0.0019112128269874826,-0.00567989484136321,NA,-0.07650025228568844,NA,-0.03325072466173143,NA,0.0087520900350578,0.006759855364881822,-0.009047050259220705,-0.0011528917138326593
2002-04-01,NA,NA,NA,NA,NA,0.014064047117002898,0.0076371798316416765,NA,0.0021451107096207675,NA,0.004906981570382923,NA,0.008900480571925919,0.002334506827887629,-0.010820914812238812,0.011285727632323198
2002-07-01,NA,NA,NA,NA,NA,0.008523546665705862,0.01840131256243839,NA,-0.003370157634907559,NA,0.017311393582032982,NA,0.009848469909177022,0.006327377318389556,-0.011365313853151813,0.011874259256620895
2002-10-01,NA,NA,NA,NA,NA,-0.0010699212540409711,0.020296975907155165,NA,-0.01639332359083899,NA,0.061079449529892554,NA,-3.633585809031045e-4,0.010291217628276454,0.004138847588873512,0.012903879729335774
2003-01-01,NA,NA,NA,NA,NA,0.0028153956997249616,0.009687454241127044,NA,-0.0023213918035901396,NA,-0.025102578507563707,NA,0.006415456424409143,0.013132624031935276,0.02297509504150868,0.012063872053958839
2003-04-01,NA,NA,NA,NA,NA,0.013369595234756991,0.006511247247073422,NA,0.009880005346061621,NA,-0.009916423140060823,NA,-0.0023018943971345254,0.01151620625970498,0.012449395209009154,0.005641195383316668
2003-07-01,NA,NA,NA,NA,NA,0.007430154259784145,0.004663202423978473,NA,-0.0055741067674704246,NA,-0.0032191669376725593,NA,3.5369763673395727e-5,0.018332172631400082,0.01695994101356614,0.012123117016991763
2003-10-01,NA,NA,NA,NA,NA,-0.0017863509478611853,0.0033167016766421963,NA,-0.04239033338334824,NA,0.039206098203737064,NA,-0.0011384887137506454,0.010685285952389725,0.01264334418603566,0.01630277765197362
2004-01-01,NA,NA,NA,NA,NA,0.004508235218032618,0.0020504386850564993,NA,-0.02086282355867082,NA,0.030831880187999823,NA,-3.478480242970032e-4,0.012018905662378898,-0.0051313654628545435,0.03173036355521211
2004-04-01,NA,NA,NA,NA,NA,0.010798543120558881,0.004452140511401645,NA,-0.09275916583516974,NA,0.012674755132817492,NA,-0.0020367443217074455,0.01119399610405606,-0.0027691422566922183,0.03196140206065835
2004-07-01,NA,NA,NA,NA,NA,0.005411552348250502,0.006654537590752099,NA,0.06680347675963165,NA,-0.0036739311022565575,NA,7.682436966265117e-4,0.014216528361270924,0.0034229991866920467,0.018314203206423966
2004-10-01,NA,NA,NA,NA,NA,0.0026817193149842097,0.008529249603500266,NA,0.009266303043442954,NA,-0.06604199535133709,NA,0.0067694325318491295,0.008692181929810913,0.005103798337553681,0.009209657225400299
2005-01-01,NA,NA,NA,NA,NA,-1.4895455679781247e-4,0.009889436624838783,NA,0.004346091144249193,NA,-0.026565328593927656,NA,-0.004541102614763544,0.01478675706925272,0.017424368983026267,-0.025811132128659098
2005-04-01,NA,NA,NA,NA,NA,0.014321464469197834,0.01227073931549803,NA,-0.05501096444924443,NA,-0.02630625500150155,NA,0.004918003958358031,0.008893719049988657,0.016232343832840872,0.04834172592660174
2005-07-01,NA,NA,NA,NA,NA,0.006115491998843731,0.013844033118145834,NA,0.07677484916351245,NA,-0.034200753053490705,NA,0.010380010536048655,0.012604259865510377,0.015011611015168846,0.03639493162486082
